FB_Name,SC_Name,analysis_position_code,analysis_position_jp,psv99_per_match,assist_cross_proxy_per90,sprint_distance_full_all_per_match,dropping_off_runs_proxy_per90,pressure_engagement_proxy_per90,consecutive_on_ball_engagement_proxy_per90,above_hsr_engagement_proxy_per_match,dribble_success_rate_pct,carry_into_box_proxy_per90,cross_reception_proxy_per90,shot_conversion_rate_pct,pulling_wide_runs_proxy_per90,cross_success_rate_pct,opponent_box_ball_gain_proxy_per90,dribble_shot_proxy_per90
久保　吏久斗,Rikuto Kubo,SH,サイドハーフ,30.348148148148148,1.3892283950617283,316.05555555555554,25.833333333333332,0.9876543209876543,7.253364197530865,58.907407407407405,45.056043956043965,2.191358024691358,0.6172839506172839,5.0,5.0,27.784567901234563,0.6172839506172839,1.2654629629629632
普光院　誠,Makoto Fukoin,SH,サイドハーフ,27.813043478260873,0.2505889375248706,135.1086956521739,58.340628730600876,2.650218861918026,10.816080382013533,43.54347826086956,56.25,0.931157978511739,0.6088340628730601,9.803921568627452,1.1102268205332273,22.570967741935483,0.6804615996816553,0.32232391563867885
城定　幹大,Kanta Jojo,SH,サイドハーフ,26.991935483870968,0.11741682974559686,83.96774193548387,58.12133072407045,1.3502935420743638,12.504657534246576,33.0,51.72758620689656,1.8199608610567513,1.643835616438356,8.0,0.821917808219178,14.285714285714285,1.0567514677103718,0.8806849315068495
村越　凱光,Kaiga Murakoshi,SH,サイドハーフ,28.4864406779661,0.4897959183673469,128.54237288135593,35.673469387755105,0.9387755102040817,6.856816326530613,42.559322033898304,64.85945945945946,1.8367346938775508,0.8979591836734694,14.814814814814813,2.7346938775510203,17.91044776119403,0.4897959183673469,0.9795102040816325
北　龍磨,Ryoma  Kita,SH,サイドハーフ,26.00701754385965,0.21188934667451442,59.421052631578945,59.54090641553856,1.6421424367274868,11.335497351383168,35.175438596491226,45.445454545454545,1.2183637433784578,0.4767510300176574,9.67741935483871,1.3772807533843436,15.384615384615385,0.8475573866980577,0.26480871100647435
長谷川　雄志,Yushi Hasegawa,SH,サイドハーフ,26.686274509803923,0.06535947712418301,66.84313725490196,57.51633986928105,1.6339869281045754,14.05529411764706,32.627450980392155,50.0,0.6535947712418301,0.0,0.0,0.6535947712418301,10.0,0.32679738562091504,0.06535947712418301
曽我　大地,Daichi Soga,SH,サイドハーフ,25.734,0.0,52.44,55.71203363110878,1.8917498686284813,8.60547556489753,30.12,0.0,0.5202312138728323,0.1418812401471361,6.666666666666667,0.37834997372569623,0.0,0.9458749343142406,0.0
稲積　大介,Daisuke Inazumi,SH,サイドハーフ,30.13469387755102,1.2921244019138756,257.9795918367347,44.00956937799043,1.9808612440191387,8.871674641148324,62.30612244897959,47.61428571428571,2.2392344497607657,0.6028708133971292,0.0,6.976076555023923,18.522222222222222,0.6028708133971292,0.861157894736842
古賀　俊太郎,Shuntaro Koga,SH,サイドハーフ,26.589583333333334,0.2631578947368421,86.125,55.13157894736842,2.4342105263157894,12.634473684210525,36.8125,50.0,1.3157894736842104,0.4605263157894737,0.0,0.5263157894736842,50.0,0.5921052631578947,0.13157894736842105
上畑　佑平士,Uheiji Uehata,SH,サイドハーフ,26.508333333333336,0.09873834339001646,86.58333333333333,65.26604498080087,3.1596269884805266,14.416785518376303,36.770833333333336,63.63636363636363,0.9873834339001646,0.24684585847504115,6.25,0.3949533735600658,25.0,0.7899067471201316,0.34558420186505756
井上　怜,Ren Inoue,SH,サイドハーフ,28.340983606557376,1.0623364485981308,137.52459016393442,29.483521888834236,1.1952779144121988,8.278229217904576,40.0655737704918,57.43465346534653,2.6561731431382194,0.7525823905558289,11.11111111111111,5.13526807673389,20.68706896551724,0.22134776192818495,2.568032464338416
安達　秀都,Shuto  Adachi,SH,サイドハーフ,27.21320754716981,0.1409921671018277,104.43396226415095,39.47780678851175,2.1148825065274153,8.365629242819843,41.886792452830186,60.0,0.9869451697127938,0.3289817232375979,0.0,0.5639686684073107,25.0,0.3289817232375979,0.1409921671018277
徳永　裕大,Yudai Tokunaga,SH,サイドハーフ,25.555102040816326,0.3423499577345731,38.775510204081634,40.929839391377854,1.407438715131023,8.4819864750634,26.285714285714285,50.0,1.2172442941673711,0.3423499577345731,12.5,1.1792054099746407,29.03225806451613,0.6466610312764158,0.0760777683854607
荒木　大吾,Daigo Araki,SH,サイドハーフ,28.175675675675677,0.8170391061452514,153.72972972972974,33.59287709497207,1.5712290502793296,8.579224860335195,48.67567567567568,56.252083333333346,2.6710893854748603,0.848463687150838,11.538461538461538,3.6766759776536313,22.22222222222222,0.6599162011173184,1.6969902234636873
高　昇辰,Seung-Jin Koh,SH,サイドハーフ,29.29019607843137,0.49234466588511133,166.94117647058823,27.397420867526378,0.8792497069167644,4.3260140679953105,45.92156862745098,40.625,1.2661195779601409,1.3364595545134819,8.571428571428571,1.9343493552168816,25.452727272727273,0.3165298944900352,0.45720984759671746
鈴木　拳士郎,Kenshiro Suzuki,SH,サイドハーフ,27.533962264150944,0.3055286129970902,115.54716981132076,42.8176527643065,1.833171677982541,7.201745877788553,40.64150943396226,66.66666666666666,0.9165858389912706,0.8292919495635306,8.333333333333332,1.6149369544131909,18.91891891891892,0.5237633365664404,0.08729388942774007
藤原　健介,Kensuke Fujiwara,SH,サイドハーフ,26.47826086956522,0.13167520117044623,70.82608695652173,52.20921726408193,2.765179224579371,11.917856620336503,32.91304347826087,38.46153846153847,1.9092904169714704,0.46086320409656184,8.0,2.370153621068032,5.555555555555555,0.3950256035113387,0.32918800292611555
山中　麗央,Reo Yamanaka,SH,サイドハーフ,27.70754716981132,0.2992021276595745,90.05660377358491,28.72340425531915,2.453457446808511,5.087453457446808,38.735849056603776,20.829166666666666,1.196808510638298,1.196808510638298,8.571428571428571,1.2566489361702127,23.809523809523807,0.7779255319148937,0.2991422872340425
三木　直土,Naoto Miki,SH,サイドハーフ,27.55185185185185,0.07009345794392523,129.62962962962962,30.911214953271028,1.2616822429906542,5.536892523364485,43.888888888888886,50.0,1.0514018691588785,1.191588785046729,13.043478260869565,1.0514018691588785,6.666666666666667,0.7710280373831775,0.49065420560747663
大山　啓輔,Keisuke Oyama,SH,サイドハーフ,25.87608695652174,0.4999,53.65217391304348,53.3,1.8,10.199399999999999,28.717391304347824,75.0,1.3,0.05,5.263157894736842,1.3,38.45384615384615,1.1,0.15000000000000002
前川　大河,Taiga Maekawa,SH,サイドハーフ,27.620408163265306,0.11024908125765619,87.83673469387755,37.447937933850554,1.9109840751327074,8.232151898734179,32.734693877551024,51.84814814814814,0.9554920375663537,0.6247447937933851,12.121212121212121,1.139240506329114,9.67741935483871,0.9554920375663537,0.5144589628419763
森　夢真,Yuma Mori,SH,サイドハーフ,27.951851851851853,0.6580585256049521,108.42592592592592,36.972425436128304,1.570061902082161,7.445132245357344,37.111111111111114,56.7554054054054,2.6336522228474957,1.1142374788970175,5.660377358490567,3.140123804164322,20.956451612903223,0.5064715813168261,2.1271299943725377
岩本　和希,Kazuki Iwamoto,SH,サイドハーフ,26.397872340425533,0.06880733944954129,60.38297872340426,54.56422018348624,1.926605504587156,13.076422018348625,30.19148936170213,50.0,1.1009174311926606,0.3440366972477064,0.0,0.756880733944954,9.090909090909092,1.651376146788991,0.06880733944954129
小島　幹敏,Masato Kojima,SH,サイドハーフ,26.822222222222223,0.31581578947368427,96.03703703703704,55.368421052631575,1.5789473684210527,11.501578947368419,43.111111111111114,75.0,1.5789473684210527,0.23684210526315788,10.0,1.473684210526316,21.430357142857144,0.8947368421052633,0.3157894736842105
高柳　郁弥,Fumiya Takayanagi,SH,サイドハーフ,27.617391304347827,0.21370546318289785,121.91304347826087,47.95724465558195,2.137767220902613,10.7575296912114,43.41304347826087,14.285714285714285,1.4251781472684084,0.3562945368171021,14.285714285714285,1.0688836104513064,19.993333333333332,1.211401425178147,0.07125890736342043
梶浦　勇輝,Yuki Kajiura,SH,サイドハーフ,28.957142857142856,0.4193569431500466,206.03571428571428,26.84063373718546,1.7054986020503262,6.347474370922646,59.464285714285715,37.93218390804598,1.369990680335508,1.0904007455731595,15.686274509803921,1.7893755824790307,23.4359375,0.6430568499534017,0.9226747437092266
澤崎　凌大,Ryota Sawazaki,SH,サイドハーフ,27.54888888888889,0.3642510121457489,134.82222222222222,30.971659919028337,3.4008097165991904,8.38165991902834,46.266666666666666,22.22222222222222,1.2145748987854252,0.3643724696356275,9.090909090909092,1.8218623481781377,19.993333333333332,1.7004048582995952,0.242914979757085
田中　パウロ淳一,Paulo Junichi Tanaka,SH,サイドハーフ,28.72631578947368,,200.1315789473684,,,,51.3421052631579,,,,,,,,
持井　響太,Kyota Mochii,SH,サイドハーフ,28.29655172413793,0.2051155975252361,154.82758620689654,34.816020840117226,1.289482253337675,7.207824812764572,53.37931034482759,51.51212121212121,1.2601758384890915,0.8498860306089222,11.363636363636363,0.8205796157603387,24.99642857142857,0.7033539563660046,0.49817974601107123
岡澤　昂星,Kosei Okazawa,SH,サイドハーフ,26.369999999999997,0.20581509310682783,84.3,64.7435478601764,2.4109768049656974,16.112116955243383,41.0,50.0,1.0290754655341392,0.20581509310682783,8.333333333333332,0.6174452793204834,33.33333333333333,0.8232603724273113,0.32342371773930084
大澤　朋也,Tomoya Osawa,SH,サイドハーフ,29.4921875,0.6698635235732009,153.578125,23.449131513647643,1.7866004962779156,6.5877543424317615,36.953125,36.663333333333334,2.009925558312655,1.1166253101736974,12.5,2.1215880893300247,31.573684210526316,0.6699751861042184,1.2281761786600496
萩野　滉大,Kodai Hagino,SH,サイドハーフ,26.455000000000002,0.06578947368421052,65.125,56.77631578947369,2.763157894736842,9.936184210526317,36.55,0.0,0.5921052631578947,0.2631578947368421,0.0,0.3289473684210526,20.0,0.9868421052631579,0.0
新里　涼,Ryo Niizato,SH,サイドハーフ,26.61923076923077,0.2730030333670374,61.76923076923077,37.52275025278059,1.2740141557128413,8.128998988877655,30.076923076923077,61.54615384615385,1.2740141557128413,0.06066734074823054,6.25,0.7280080889787665,37.5,0.5156723963599595,0.24269969666329633
水野　颯太,Hayata Mizuno,SH,サイドハーフ,28.195744680851064,0.4360420032310177,121.80851063829788,34.894991922455574,2.035541195476575,7.997641357027463,37.91489361702128,68.18863636363636,1.890145395799677,1.1631663974151858,8.333333333333332,4.216478190630048,10.341379310344827,0.0,4.362310177705977
牛之濵　拓,Taku Ushinohama,SH,サイドハーフ,27.048780487804876,0.5466869158878505,78.39024390243902,30.616822429906545,1.5560747663551402,6.8977850467289725,35.36585365853659,40.0,1.5981308411214954,0.7149532710280374,6.896551724137931,2.1448598130841123,25.488235294117644,0.6308411214953271,0.5046728971962616
新井　光,Hikaru Arai,SH,サイドハーフ,27.875999999999998,0.40366459627329193,154.32,43.41614906832298,2.049689440993789,8.665559006211181,54.12,53.34000000000001,1.2111801242236024,0.6211180124223602,5.128205128205128,1.3664596273291927,29.54090909090909,0.9627329192546583,0.49695652173913046
東條　敦輝,Atsuki Tojo,SH,サイドハーフ,27.070731707317076,0.16014234875444838,77.92682926829268,45.320284697508896,1.9217081850533808,8.96829181494662,33.02439024390244,50.0,0.9608540925266904,0.16014234875444838,0.0,1.281138790035587,12.5,0.9608540925266904,0.16014234875444838
山口　卓己,Takumi Yamaguchi,SH,サイドハーフ,26.158333333333335,,77.94444444444444,,,,43.72222222222222,,,,,,,,
西村　真祈,Masaki Nishimura,SH,サイドハーフ,28.967441860465115,0.21978021978021978,175.25581395348837,28.57142857142857,1.6483516483516485,5.165054945054946,47.53488372093023,41.17647058823529,0.7692307692307693,1.6483516483516485,4.166666666666666,1.5384615384615385,14.285714285714285,0.7692307692307693,0.7692307692307693
