対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,山谷　侑士,Yushi Yamaya,FW,Wide Attacker,634.0,699.24,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Yushi Yamaya,岐阜,2025|岐阜|699.24,岐阜,2025|岐阜|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,伊藤　拓巳,Takumi Ito,MF,Wide Attacker,628.0,392.54,SH,サイドハーフ,LW (Position Group: Wide Attacker),LW,Wide Attacker,Takumi Ito,富山,2024|富山|392.54,富山,2024|富山|628.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,西丸　道人,Minto Nishimaru,FW,Wide Attacker,609.0,682.1999999999999,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Minto Nishimaru,讃岐,2025|讃岐|682.20,讃岐,2025|讃岐|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,清水　祐輔,Yusuke Shimizu,MF,Midfield,594.0,645.44,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Yusuke Shimizu,鳥取,2025|鳥取|602.89; 2024|大宮|42.55,大宮,2024|大宮|78.00; 2025|鳥取|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,稲葉　修土,Shuto Inaba,MF,Midfield,577.0,725.18,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Shuto Inaba,鹿児島,2025|鹿児島|725.18,鹿児島,2025|鹿児島|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,野瀬　龍世,Ryusei Nose,MF,Wide Attacker,570.0,707.4200000000001,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Ryusei Nose,FC大阪,2025|FC大阪|707.42,FC大阪,2025|FC大阪|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,坪郷　来紀,Raiki Tsubogo,FW,Wide Attacker,558.0,628.61,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Raiki Tsubogo,北九州,2025|北九州|628.61,北九州,2025|北九州|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,小松　寛太,Kanta Komatsu,MF,Wide Attacker,558.0,395.32,SH,サイドハーフ,LF (Position Group: Wide Attacker),LF,Wide Attacker,Kanta Komatsu,岩手,2024|岩手|395.32,岩手,2024|岩手|558.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=review; issues元候補: Koki Mizuno
2024-2025,J3,弓削　翼,Tsubasa  Yuge,MF,Midfield,540.0,295.0,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Tsubasa Yuge,岩手,2024|岩手|295.00,岩手,2024|岩手|540.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,齋藤　恵太,Keita Saito,FW,Wide Attacker,527.0,617.61,SH,サイドハーフ,Left Forward (Position Group: Wide Attacker),Left Forward,Wide Attacker,Keita Saito,栃木Ｃ,2025|栃木Ｃ|617.61,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,永長　鷹虎,Takatora Einaga,MF,Wide Attacker,511.0,636.2299999999999,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Takatora Einaga,琉球,2025|琉球|435.26; 2024|宮崎|200.97,宮崎,2024|宮崎|151.00; 2025|琉球|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Ryoma Eguchi
2024-2025,J3,櫻井　文陽,Ayahi Sakurai,MF,Wide Attacker,510.0,552.87,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Ayahi Sakurai,群馬,2025|群馬|552.87,群馬,2025|群馬|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Rikiru Nakano
2024-2025,J3,川上　航立,Kotatsu  Kawakami,MF,Midfield,508.0,583.32,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Kotatsu Kawakami,松本,2025|松本|583.32,松本,2025|松本|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,樋口　叶,Kakeru Higuchi,MF,Wide Attacker,505.0,569.92,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Kakeru Higuchi,長野,2025|長野|569.92,長野,2025|長野|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,米澤　令衣,Rei Yonezawa,FW,Wide Attacker,488.0,680.06,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Rei Yonezawa,鹿児島,2025|鹿児島|680.06,鹿児島,2025|鹿児島|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,長谷川　アーリアジャスール,Aria Jasuru Hasegawa,MF,Midfield,451.0,331.76,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Aria Jasuru Hasegawa,鳥取,2024|鳥取|331.76,鳥取,2024|鳥取|451.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,大渕　来珠,Raiju Obuchi,MF,Wide Attacker,440.0,388.56000000000006,SH,サイドハーフ,LW (Position Group: Wide Attacker),LW,Wide Attacker,Raiju Obuchi,宮崎,2024|宮崎|388.56,宮崎,2024|宮崎|440.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Ryoma Eguchi
2024-2025,J3,酒井　達磨,Tatsuma Sakai,FW,Wide Attacker,432.0,559.0,SH,サイドハーフ,RF (Position Group: Wide Attacker),RF,Wide Attacker,Tatsuma Sakai,奈良,2024|奈良|316.17; 2025|奈良|242.83,奈良,2024|奈良|245.00; 2025|奈良|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,堀越　大蔵,Daizo Horikoshi,MF,Wide Attacker,429.0,453.81999999999994,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Daizo Horikoshi,FC大阪,2025|FC大阪|453.82,FC大阪,2025|FC大阪|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,塚元　大,Dai Tsukamoto,MF,Wide Attacker,429.0,367.83,SH,サイドハーフ,LW (Position Group: Wide Attacker),LW,Wide Attacker,Dai Tsukamoto,金沢,2024|金沢|339.56; 2025|金沢|28.27,金沢,2024|金沢|407.00; 2025|金沢|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,前田　陸王,Rio Maeda,MF,Wide Attacker,420.0,479.98,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Rio Maeda,松本,2025|松本|458.30; 2024|松本|21.68,松本,2024|松本|40.00; 2025|松本|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Ryuji Kokubu
2024-2025,J3,田鎖　勇作,Yusaku Takusari,MF,Midfield,414.0,445.55,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Yusaku Takusari,相模原,2025|相模原|445.55,相模原,2025|相模原|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,常安　澪,Tsuneyasu Mio,MF,Midfield,408.0,260.90999999999997,SH,サイドハーフ,RW (Position Group: Wide Attacker),RW,Wide Attacker,Tsuneyasu Mio,鳥取,2024|鳥取|227.94; 2025|鳥取|32.97,鳥取,2024|鳥取|388.00; 2025|鳥取|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=review; issues元候補: Taishi Tamashiro
2024-2025,J3,椎名　伸志,Nobuyuki Shiina,MF,Wide Attacker,404.0,253.48,SH,サイドハーフ,RW (Position Group: Wide Attacker),RW,Wide Attacker,Nobuyuki Shiina,富山,2024|富山|253.48,富山,2024|富山|404.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,中塩　大貴,Daiki Nakashio,DF,Full Back,403.0,448.6,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Daiki Nakashio,相模原,2025|相模原|448.60,相模原,2025|相模原|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小堀　空,Sora Kobori,FW,Wide Attacker,400.0,441.86,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Sora Kobori,栃木SC,2025|栃木SC|441.86,栃木SC,2025|栃木SC|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,若谷　拓海,Takumi Wakaya,MF,Midfield,385.0,99.65,SH,サイドハーフ,RW (Position Group: Wide Attacker),RW,Wide Attacker,Takumi Wakaya,北九州,2024|北九州|99.65,北九州,2024|北九州|385.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
