FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_psv99_per_match,raw_assist_cross_proxy_per90,raw_sprint_distance_full_all_per_match,raw_dropping_off_runs_proxy_per90,raw_pressure_engagement_proxy_per90,raw_consecutive_on_ball_engagement_proxy_per90,raw_above_hsr_engagement_proxy_per_match,raw_dribble_success_rate_pct,raw_carry_into_box_proxy_per90,raw_cross_reception_proxy_per90,raw_shot_conversion_rate_pct,raw_pulling_wide_runs_proxy_per90,raw_cross_success_rate_pct,raw_opponent_box_ball_gain_proxy_per90,raw_dribble_shot_proxy_per90,win_psv99_per_match,win_assist_cross_proxy_per90,win_sprint_distance_full_all_per_match,win_dropping_off_runs_proxy_per90,win_pressure_engagement_proxy_per90,win_consecutive_on_ball_engagement_proxy_per90,win_above_hsr_engagement_proxy_per_match,win_dribble_success_rate_pct,win_carry_into_box_proxy_per90,win_cross_reception_proxy_per90,win_shot_conversion_rate_pct,win_pulling_wide_runs_proxy_per90,win_cross_success_rate_pct,win_opponent_box_ball_gain_proxy_per90,win_dribble_shot_proxy_per90,z_psv99_per_match,z_assist_cross_proxy_per90,z_sprint_distance_full_all_per_match,z_dropping_off_runs_proxy_per90,z_pressure_engagement_proxy_per90,z_consecutive_on_ball_engagement_proxy_per90,z_above_hsr_engagement_proxy_per_match,z_dribble_success_rate_pct,z_carry_into_box_proxy_per90,z_cross_reception_proxy_per90,z_shot_conversion_rate_pct,z_pulling_wide_runs_proxy_per90,z_cross_success_rate_pct,z_opponent_box_ball_gain_proxy_per90,z_dribble_shot_proxy_per90,imputed_psv99_per_match,imputed_assist_cross_proxy_per90,imputed_sprint_distance_full_all_per_match,imputed_dropping_off_runs_proxy_per90,imputed_pressure_engagement_proxy_per90,imputed_consecutive_on_ball_engagement_proxy_per90,imputed_above_hsr_engagement_proxy_per_match,imputed_dribble_success_rate_pct,imputed_carry_into_box_proxy_per90,imputed_cross_reception_proxy_per90,imputed_shot_conversion_rate_pct,imputed_pulling_wide_runs_proxy_per90,imputed_cross_success_rate_pct,imputed_opponent_box_ball_gain_proxy_per90,imputed_dribble_shot_proxy_per90
平松　昇,Sho Hiramatsu,SH,サイドハーフ,27.73090909090909,0.5504057809894386,117.69090909090909,59.132851584213455,1.6509171762090051,12.406592551417456,42.32727272727273,75.86551724137931,1.9010561423012786,0.6003335186214563,4.3478260869565215,2.7515286270150083,20.003636363636364,0.7003891050583657,1.100661478599222,27.73090909090909,0.5504057809894386,117.69090909090909,59.132851584213455,1.6509171762090051,12.406592551417456,42.32727272727273,75.86551724137931,1.9010561423012786,0.6003335186214563,4.3478260869565215,2.7515286270150083,20.003636363636364,0.7003891050583657,1.100661478599222,0.0706571541897683,0.4679497612649508,0.2515602181803794,1.852918174136181,-0.31087243028669315,1.419728771314498,0.5792035793649117,1.6069598496068196,0.5298341509597144,-0.2510835243243226,-0.5916161876153435,0.6481126600051292,-0.17510361919026962,-0.01579625276846017,0.4647175193421011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中島　賢星,Kensei Nakashima,SH,サイドハーフ,27.494444444444444,0.20657995409334354,109.14814814814815,43.00306044376435,1.7214996174445294,6.43899387911247,38.72222222222222,20.0,0.7230298393267023,0.20657995409334354,4.3478260869565215,0.7918898240244836,26.08695652173913,0.5508798775822494,0.03442999234889059,27.494444444444444,0.20657995409334354,109.14814814814815,43.00306044376435,1.7214996174445294,6.43899387911247,38.72222222222222,20.0,0.7230298393267023,0.20657995409334354,4.3478260869565215,0.7918898240244836,26.08695652173913,0.5508798775822494,0.03442999234889059,-0.12441503239939129,-0.6040964108248792,0.07855842805326044,0.3670597079382863,-0.19394438264695202,-0.8086333122164747,0.2525344416899908,-1.457862505934227,-0.8397983435790677,-1.0940003829258336,-0.5916161876153435,-0.822526394651701,0.42163734819246257,-0.5447007590530721,-0.8499625914619663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿野　真拓,Mahiro Ano,SH,サイドハーフ,28.06779661016949,0.3583519108280255,157.96610169491527,26.727707006369428,1.3256369426751593,8.240983280254778,56.05084745762712,59.21710526315789,1.8988853503184713,1.1106687898089174,4.838709677419355,2.3646496815286624,15.154545454545454,1.0748407643312103,1.6124402866242036,28.06779661016949,0.3583519108280255,157.96610169491527,26.727707006369428,1.3256369426751593,8.240983280254778,56.05084745762712,59.21710526315789,1.8988853503184713,1.1106687898089174,4.838709677419355,2.3646496815286624,15.154545454545454,1.0748407643312103,1.6124402866242036,0.34857347698582397,-0.13087266635855863,1.0671841674975993,-1.1322077955740324,-0.8497370824173265,-0.13575212885780544,1.8227557339607037,0.6936160243872652,0.5273102792676904,0.8414023408853419,-0.5120599864379,0.357773804809771,-0.6507733398054968,1.3088655979978778,1.0957487998078606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡野　凜平,Rimpei Okano,SH,サイドハーフ,27.905084745762714,0.4408100979653353,117.59322033898304,29.672192916352675,1.8990203466465712,5.188157498116051,40.67796610169491,26.91923076923077,0.8477769404672194,0.5764883195177091,3.571428571428571,1.322532027128862,33.33076923076923,0.7121326299924642,0.23734363225320268,27.905084745762714,0.4408100979653353,117.59322033898304,29.672192916352675,1.8990203466465712,5.188157498116051,40.67796610169491,26.91923076923077,0.8477769404672194,0.5764883195177091,3.571428571428571,1.322532027128862,33.33076923076923,0.7121326299924642,0.23734363225320268,0.2143438589504096,0.1262313001353088,0.24958189652632318,-0.8609650200257806,0.10013941380199846,-1.27570834811813,0.429752809567308,-1.0782685418604712,-0.6947611038415985,-0.3021294630330836,-0.7174448731510961,-0.42429834020435586,1.1322163891078574,0.02574769312814079,-0.5997668975313653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武井　成豪,Seigo Takei,SH,サイドハーフ,27.272222222222222,0.06132879045996593,109.55555555555556,36.490630323679724,2.2078364565587734,9.077028960817717,42.388888888888886,51.61290322580645,0.766609880749574,0.5519591141396933,5.263157894736842,0.5519591141396933,11.11111111111111,1.011925042589438,0.4906303236797274,27.272222222222222,0.06132879045996593,109.55555555555556,36.490630323679724,2.2078364565587734,9.077028960817717,42.388888888888886,51.61290322580645,0.766609880749574,0.5519591141396933,5.263157894736842,0.5519591141396933,11.11111111111111,1.011925042589438,0.4906303236797274,-0.30773789036442706,-1.0569883746732311,0.08680894697387422,-0.23285813012867848,0.6117293245454039,0.17643583768765822,0.5847868848841521,0.2764440451244798,-0.789130000524762,-0.354639668917841,-0.443270789931088,-1.0025858381724344,-1.047412487333463,1.0862946616943778,-0.28746044265366805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安永　玲央,Reo Yasunaga,SH,サイドハーフ,27.611666666666668,0.2751349974528783,108.8,37.137035150280184,1.696383087111564,7.6584819154355595,37.4,44.004000000000005,1.5588385124808968,0.45848191543555783,6.0606060606060606,1.696383087111564,16.21891891891892,0.7794192562404484,0.5043759551706573,27.611666666666668,0.2751349974528783,108.8,37.137035150280184,1.696383087111564,7.6584819154355595,37.4,44.004000000000005,1.5588385124808968,0.45848191543555783,6.0606060606060606,1.696383087111564,16.21891891891892,0.7794192562404484,0.5043759551706573,-0.027712224822832653,-0.39034233517991135,0.07150798461200848,-0.17331203459450328,-0.23555284509043972,-0.35326406728492926,0.13272219702300522,-0.1409858447097275,0.13195476166041226,-0.5547483505420642,-0.3140304813425319,-0.14373644859637824,-0.5463640313556155,0.2637811606004573,-0.270511863883856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長谷川　隼,Hayato Hasegawa,SH,サイドハーフ,26.086274509803925,0.08534850640113797,56.86274509803921,43.57041251778094,1.0668563300142246,11.524480796586062,29.666666666666668,100.0,0.6401137980085349,0.21337126600284498,11.76470588235294,0.5547652916073968,15.384615384615385,0.5120910384068279,0.29871977240398295,26.086274509803925,0.08534850640113797,56.86274509803921,43.57041251778094,1.0668563300142246,11.524480796586062,29.666666666666668,89.06783333333324,0.6401137980085349,0.21337126600284498,11.76470588235294,0.5547652916073968,15.384615384615385,0.5120910384068279,0.29871977240398295,-1.2860888485337143,-0.9820950929151963,-0.9802875803735381,0.41932355160198126,-1.278437355116734,1.0903392637684066,-0.5680284104410444,2.331248382168175,-0.9362006940368854,-1.0794620731396087,0.6104178436203157,-1.0004799020315471,-0.6282047178905809,-0.6819203285723303,-0.5240891560890072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
久保　吏久斗,Rikuto Kubo,SH,サイドハーフ,30.348148148148148,1.3892283950617283,316.05555555555554,25.833333333333332,0.9876543209876543,7.253364197530865,58.907407407407405,45.056043956043965,2.191358024691358,0.6172839506172839,5.0,5.0,27.784567901234563,0.6172839506172839,1.2654629629629632,30.348148148148148,1.3892283950617283,254.90244897959153,25.833333333333332,0.9876543209876543,7.253364197530865,58.907407407407405,45.056043956043965,2.191358024691358,0.6172839506172839,5.0,5.0,27.784567901234563,0.6172839506172839,1.2654629629629632,2.229756001968285,3.083391947783244,3.030268669217617,-1.214596506156443,-1.4096447223105029,-0.5045391465115172,2.081600921900274,-0.08326995851173619,0.867353687105258,-0.21479736420540535,-0.48592009176531137,2.3355102606973532,0.5881638880607801,-0.30978941574155117,0.6679203289739395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
普光院　誠,Makoto Fukoin,SH,サイドハーフ,27.813043478260873,0.2505889375248706,135.1086956521739,58.340628730600876,2.650218861918026,10.816080382013533,43.54347826086956,56.25,0.931157978511739,0.6088340628730601,9.803921568627452,1.1102268205332273,22.570967741935483,0.6804615996816553,0.32232391563867885,27.813043478260873,0.2505889375248706,135.1086956521739,58.340628730600876,2.650218861918026,10.816080382013533,43.54347826086956,56.25,0.931157978511739,0.6088340628730601,9.803921568627452,1.1102268205332273,22.570967741935483,0.6804615996816553,0.32232391563867885,0.13841415200918084,-0.46687675326962774,0.6042925813286589,1.779939483717569,1.3445873847564997,0.8258153387402309,0.6894091957186773,0.5308385009557954,-0.5978181248556589,-0.23288622351879967,0.29263873191433704,-0.5836258284384399,0.07673777177082387,-0.08629188417981677,-0.494984878037384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
城定　幹大,Kanta Jojo,SH,サイドハーフ,26.991935483870968,0.11741682974559686,83.96774193548387,58.12133072407045,1.3502935420743638,12.504657534246576,33.0,51.72758620689656,1.8199608610567513,1.643835616438356,8.0,0.821917808219178,14.285714285714285,1.0567514677103718,0.8806849315068495,26.991935483870968,0.11741682974559686,83.96774193548387,58.12133072407045,1.3502935420743638,12.504657534246576,33.0,51.72758620689656,1.8199608610567513,1.643835616438356,8.0,0.821917808219178,14.285714285714285,1.0567514677103718,0.8806849315068495,-0.5389612370235534,-0.8821063177928569,-0.4313768703950009,1.7597379946352691,-0.8088905492184556,1.4563472340259191,-0.2659807348099885,0.28273563574426064,0.4355487075313233,1.9827642156701883,0.00028194914483632575,-0.7999914631010783,-0.7360010014616077,1.2448728220348764,0.19348299378636466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
