SC_Name,FB_Name,Match_Score,Status,SC_Teams,FB_Teams,Shared_Teams,Tie_On_Best_Score
Thonny Anderson Da Silva Carvalho,,51,,徳島,徳島,徳島,False
Ekanit Panya,,50,,愛媛,愛媛,愛媛,False
Fuchi Honda,,50,,京都,京都,京都,False
Gen  Matsumura,,50,,松本,松本,松本,False
Hideatsu Ozawa,,50,,鳥取,横浜FC / 鳥取,鳥取,False
Kaiga Murakoshi,,50,,松本,今治 / 千葉 / 松本,松本,False
Kanji Okunuki,,50,,G大阪,G大阪 / 東京V / 熊本,G大阪,False
Katsuya Nakano,,50,,栃木SC,栃木SC,栃木SC,False
Kazuki Oiwa,,50,,湘南,横浜FC / 湘南,湘南,False
Keigo Enomoto,,50,,山形,北九州 / 山形 / 札幌,山形,False
Keisuke Ogasawara,,50,,相模原,八戸 / 栃木SC / 相模原,相模原,False
Kento Hamasaki,,50,,神戸,神戸,神戸,False
Koki Sugimori,,50,,徳島,富山 / 徳島,徳島,False
Koshi Osaki,,50,,水戸,水戸,水戸,False
Kotaro Fujikawa,,50,,長野,長野,長野,False
Kotaro Tokunaga,,50,,沼津,沼津,沼津,False
Manato Shinada,,50,,千葉,千葉 / 浦和,千葉,True
Marcus Vinicius Ferreira Teixeira,,50,,今治,今治 / 名古屋,今治,False
Marukomutsuyoshi Moyo,,50,,徳島,富山 / 徳島,徳島,False
Masakazu Yoshioka,,50,,秋田,秋田 / 鹿児島,秋田,False
Motoki Ohara,,50,,新潟,新潟 / 藤枝,新潟,False
Naoto Ando,,50,,八戸,八戸 / 大宮 / 沼津,八戸,False
Naoto Miki,,50,,鳥取,鳥取,鳥取,False
Naoto Misawa,,50,,山口,大宮 / 山口 / 柏 / 栃木SC,山口,False
Naoya Takahashi,,50,,湘南,湘南,湘南,False
Neemias Benavenuto Barbosa,,50,,甲府,甲府,甲府,False
Origbaajo Ismaila,,50,,八戸 / 栃木SC / 相模原,八戸 / 栃木SC / 相模原,八戸 / 栃木SC / 相模原,False
Raisei Abe,,50,,大宮,八戸 / 大宮 / 沼津,大宮,False
Rei Umeki,,50,,今治,今治,今治,False
