SC_Name,FB_Name,Match_Score,Status,SC_Teams,FB_Teams,Shared_Teams,Tie_On_Best_Score
Akito Takagi,髙木　彰人,100,確定,相模原,相模原,相模原,False
Amadou Bakayoko,アマドゥ　バカヨコ,100,確定,札幌,札幌,札幌,False
Asahi Uenaka,植中　朝日,100,確定,横浜FM,横浜FM,横浜FM,False
Atsushi Yoshida,吉田　篤志,100,確定,栃木C,栃木C,栃木C,False
Ayumu  Furuya,古屋　歩夢,100,確定,仙台,仙台,仙台,False
Ayumu Yokoyama,横山　歩夢,100,確定,鳥栖,鳥栖,鳥栖,False
Daichi Ishikawa,石川　大地,100,確定,千葉,千葉 / 熊本,千葉,False
Daichi Suzuki,鈴木　大馳,100,確定,鳥栖,鳥栖,鳥栖,False
Daigo Furukawa,古川　大悟,100,確定,山口,FC大阪 / 山口,山口,False
Daisuke Takagi,高木　大輔,100,確定,琉球,琉球,琉球,False
Hayato Asakawa,浅川　隼人,100,確定,松本 / 琉球,松本 / 琉球,松本 / 琉球,False
Hayato Kanda,閑田　隼人,100,確定,藤枝,藤枝,藤枝,False
Himan Morimoto,森本　ヒマン,100,確定,滋賀,滋賀,滋賀,False
Hiroto Asada,浅田　大翔,100,確定,横浜FM,横浜FM,横浜FM,False
Hiroto Yamada,山田　寛人,100,確定,湘南 / 鳥栖,C大阪 / 湘南 / 鳥栖,湘南 / 鳥栖,False
Hiroto Yamami,山見　大登,100,確定,東京V,東京V,東京V,False
Ibuki Yoshida,吉田　伊吹,100,確定,秋田 / 鳥取,秋田 / 鳥取,秋田 / 鳥取,False
Junya  Takahashi,高橋　潤哉,100,確定,山形,山形,山形,False
Kagetora Hoshi,星　景虎,100,確定,鳥取,鳥取,鳥取,False
Kai  Sasaki,佐々木　快,100,確定,八戸 / 岐阜 / 相模原,八戸 / 岐阜 / 相模原,八戸 / 岐阜 / 相模原,False
Kaito Taniguchi,谷口　海斗,100,確定,新潟,新潟,新潟,False
Kaito Umeda,梅田　魁人,100,確定,水戸 / 秋田,水戸 / 秋田,水戸 / 秋田,False
Kazuma Takai,高井　和馬,100,確定,相模原,松本 / 相模原,相模原,False
Kazumasa  Shimizu,清水　一雅,100,確定,福島,福島,福島,False
Kazushi Fujii,藤井　一志,100,確定,大宮,大宮 / 甲府,大宮,False
Kazuya  Noyori,野寄　和哉,100,確定,山口,山口,山口,False
Kazuyoshi Miura,三浦　知良,100,確定,福島,福島,福島,False
Keigo Hashimoto,橋本　啓吾,100,確定,宮崎,宮崎,宮崎,False
Keigo Watanabe,渡邊　啓吾,100,確定,湘南,湘南,湘南,False
Keisuke Tada,多田　圭佑,100,確定,水戸,水戸,水戸,False
Keisuke Tada,多田　圭佑,100,確定,水戸,水戸,水戸,False
Keita Buwanika,ブワニカ　啓太,100,確定,いわき / 金沢,いわき / 金沢,いわき / 金沢,False
Keito  Kawamura,河村　慶人,100,確定,鹿児島,東京V / 秋田 / 鹿児島,鹿児島,False
Kengo Kawamata,川又　堅碁,100,確定,沼津,沼津,沼津,False
Kiichi Yajima,矢島　輝一,100,確定,福島,福島,福島,False
Kokoro  Kobayashi,小林　心,100,確定,仙台 / 高知,仙台 / 高知,仙台 / 高知,False
Matsumura Takumi,松村　拓実,100,確定,千葉,千葉,千葉,False
Motohiko Nakajima,中島　元彦,100,確定,C大阪,C大阪 / 仙台,C大阪,False
Musashi Suzuki,鈴木　武蔵,100,確定,札幌 / 栃木C / 横浜FC,札幌 / 栃木C / 横浜FC,札幌 / 栃木C / 横浜FC,False
Naoki Maeda,前田　直輝,100,確定,広島,広島 / 浦和,広島,False
Naoya Komazawa,駒沢　直哉,100,確定,北九州 / 横浜FC,北九州 / 横浜FC,北九州 / 横浜FC,False
Oura Ishihara,石原　央羅,100,確定,熊本,熊本,熊本,False
Renji Hidano,肥田野　蓮治,100,確定,浦和,浦和,浦和,False
Seiya Nakano,中野　誠也,100,確定,八戸,八戸 / 大宮 / 沼津,八戸,False
Shin Yamada,山田　新,100,確定,川崎F,川崎F,川崎F,False
Shion Shinkawa,新川　志音,100,確定,鳥栖,鳥栖,鳥栖,False
Shun Ayukawa,鮎川　峻,100,確定,大分,大分,大分,False
Shun Nagasawa,長沢　駿,100,確定,京都,京都 / 大分,京都,False
Shungo Sugiura,杉浦　駿吾,100,確定,名古屋,名古屋,名古屋,False
Shunmei Horikane,堀金　峻明,100,確定,山形,山形,山形,False
Shunsuke Yamamoto,山本　駿亮,100,確定,奈良 / 山口,奈良 / 山口,奈良 / 山口,False
Shunta Araki,荒木　駿太,100,確定,仙台,仙台 / 町田,仙台,False
Sora Kobori,小堀　空,100,確定,栃木SC,栃木SC,栃木SC,False
Taichi Hara,原　大智,100,確定,京都,京都,京都,False
Taisei Miyashiro,宮代　大聖,100,確定,神戸,神戸,神戸,False
Takashi Usami,宇佐美　貴史,100,確定,G大阪,G大阪,G大阪,False
Takuma Nishimura,西村　拓真,100,確定,町田,横浜FM / 町田,町田,False
Takumi  Fujiwara,藤原　拓海,100,確定,栃木C,栃木C,栃木C,False
Takumi Miyayoshi,宮吉　拓実,100,確定,山口,京都 / 山口,山口,False
Takumi Shimada,島田　拓海,100,確定,FC大阪,FC大阪,FC大阪,False
Teruhito Nakagawa,仲川　輝人,100,確定,FC東京,FC東京,FC東京,False
Tomoya Sekiguchi,関口　智也,100,確定,奈良,奈良,奈良,False
Tomoya Yokoyama,横山　智也,100,確定,岐阜,岐阜,岐阜,False
Tsubasa Umeki,梅木　翼,100,確定,仙台 / 山口 / 秋田,仙台 / 山口 / 秋田,仙台 / 山口 / 秋田,False
Yamato  Wakatsuki,若月　大和,100,確定,山口 / 新潟,山口 / 新潟,山口 / 新潟,False
Yoshiki Fujimoto,藤本　佳希,100,確定,山形 / 愛媛,山形 / 愛媛,山形 / 愛媛,False
Yutaka Michiwaki,道脇　豊,100,確定,福岡,熊本 / 福岡,福岡,False
Kiyoshiro Tsuboi,坪井　清志郎,97,確定,富山 / 徳島,富山 / 徳島,富山 / 徳島,False
Kohei Matsumoto,松本　孝平,97,確定,FC大阪 / 讃岐,FC大阪 / 富山 / 讃岐,FC大阪 / 讃岐,False
Kosuke Kinoshita,木下　康介,97,確定,広島 / 柏,広島 / 柏,広島 / 柏,False
Ryonosuke Kabayama,樺山　諒乃介,97,確定,北九州 / 愛媛,北九州 / 愛媛 / 群馬 / 鳥栖,北九州 / 愛媛,False
Ryoya Yamashita,山下　諒也,97,確定,G大阪,G大阪,G大阪,False
Ryunosuke Sugawara,菅原　龍之助,97,確定,FC大阪 / 仙台 / 栃木SC,FC大阪 / 仙台 / 栃木SC,FC大阪 / 仙台 / 栃木SC,False
Shuntaro Kawabe,河辺　駿太郎,97,確定,北九州,北九州 / 岩手 / 鹿児島,北九州,False
Taiyo Yamaguchi,山口　太陽,97,確定,FC東京,FC東京 / 愛媛,FC東京,False
Hisashi Jogo,城後　寿,96,確定,福岡,福岡,福岡,False
Kosuke  Sagawa,佐川　洸介,96,確定,秋田,秋田 / 群馬,秋田,False
Kosuke Fujioka,藤岡　浩介,96,確定,今治 / 山口,今治 / 山口 / 岐阜,今治 / 山口,False
Koya Kitagawa,北川　航也,96,確定,清水,清水,清水,False
Kyohei Sugiura,杉浦　恭平,96,確定,金沢,金沢,金沢,False
Raiki Tsubogo,坪郷　来紀,96,確定,北九州,北九州,北九州,False
Ryo Shiohama,塩浜　遼,96,確定,熊本 / 鳥栖,熊本 / 福島 / 鳥栖,熊本 / 鳥栖,False
Ryo Watanabe,渡邉　りょう,96,確定,磐田,C大阪 / 磐田,磐田,False
Ryuji Sawakami,澤上　竜二,96,確定,八戸,八戸 / 福島,八戸,False
Seiichiro Kubo,久保　征一郎,96,確定,水戸,水戸,水戸,False
Shahab Zahedi,シャハブ　ザヘディ,96,確定,福岡,福岡,福岡,False
Shingo  Omori,大森　真吾,96,確定,山形 / 札幌,北九州 / 山形 / 札幌,山形 / 札幌,False
Shohei Aihara,粟飯原　尚平,96,確定,岐阜 / 水戸,岐阜 / 水戸,岐阜 / 水戸,False
Shota Suzuki,鈴木　翔大,96,確定,秋田 / 藤枝,秋田 / 鹿児島,秋田,False
Shota Tamura,田村　翔太,96,確定,奈良,奈良,奈良,False
Shota Tanaka,田中　翔太,96,確定,群馬,群馬 / 鳥取,群馬,False
Sota Nakamura,中村　草太,96,確定,広島,広島,広島,False
Taiyo Nishino,西野　太陽,96,確定,徳島 / 栃木SC,徳島 / 栃木SC,徳島 / 栃木SC,False
Tomoya Osawa,大澤　朋也,96,確定,金沢,大宮 / 金沢,金沢,False
Tsubasa Ando,安藤　翼,96,確定,松本 / 相模原,松本 / 相模原,松本 / 相模原,False
Yamato Naito,内藤　大和,96,確定,甲府,甲府,甲府,False
Yudai Kimura,木村　勇大,96,確定,名古屋 / 東京V,名古屋 / 東京V,名古屋 / 東京V,False
Yuhi  Murakami,村上　悠緋,96,確定,愛媛 / 讃岐,徳島 / 愛媛 / 横浜FM / 讃岐,愛媛 / 讃岐,False
Yusei  Uchida,内田　優晟,96,確定,水戸 / 高知,水戸 / 高知,水戸 / 高知,False
Yusei Yashiki,屋敷　優成,96,確定,大分,大分,大分,False
Yusuke Kikui,菊井　悠介,96,確定,松本,松本 / 藤枝,松本,False
Yuta Togashi,富樫　佑太,96,確定,鳥取,奈良 / 鳥取,鳥取,False
Yuta Toyokawa,豊川　雄太,96,確定,大宮,京都 / 大宮,大宮,False
Yuya Taguchi,田口　裕也,96,確定,愛媛,岐阜 / 愛媛 / 金沢,愛媛,False
Yuya Yamagishi,山岸　祐也,96,確定,名古屋,名古屋,名古屋,False
Yū Kobayashi,小林　悠,96,確定,川崎F,川崎F,川崎F,False
Aren Inoue,井上　愛簾,95,確定,松本,広島 / 松本,松本,False
Daiya Tono,遠野　大弥,95,確定,横浜FM,川崎F / 横浜FM,横浜FM,False
Keita Saito,齋藤　恵太,95,確定,岡山 / 栃木C,岡山 / 栃木C,岡山 / 栃木C,False
Ko  Miyazaki,宮崎　鴻,95,確定,仙台 / 栃木SC,仙台 / 栃木SC,仙台 / 栃木SC,False
Koya Handa,半田　航也,95,確定,鳥取,秋田 / 鳥取,鳥取,False
Mizuki Ando,安藤　瑞季,95,確定,水戸,水戸,水戸,False
Ryo Tanada,棚田　遼,95,確定,鳥取,いわき / 鳥取,鳥取,False
Shota Aoki,青木　翔大,95,確定,群馬,秋田 / 群馬,群馬,False
Shota Fujio,藤尾　翔太,95,確定,町田,町田,町田,False
Taiga Kimoto,木許　太賀,95,確定,大分 / 讃岐,大分 / 讃岐,大分 / 讃岐,False
Tatsuya Ito,伊藤　達哉,95,確定,川崎F,川崎F,川崎F,False
Yosuke Ueno,上野　瑶介,95,確定,琉球,宮崎 / 琉球,琉球,False
Yuma Suzuki,鈴木　優磨,95,確定,鹿島,鹿島,鹿島,False
Yuta  Inami,井波　勇太,95,確定,八戸,八戸,八戸,False
Yuta  Inami,井波　勇太,95,確定,八戸,八戸,八戸,False
Kohei Isa,伊佐　耕平,94,確定,大分,大分,大分,False
Solomon Sakuragawa,櫻川　ソロモン,94,確定,C大阪 / 横浜FC,C大阪 / 横浜FC,C大阪 / 横浜FC,False
Takamitsu Tomiyama,富山　貴光,94,確定,大宮,大宮,大宮,False
Manato Furukawa,古川　真人,93,確定,富山,富山 / 東京V,富山,False
Sang-Ho Na,ナ　サンホ,93,確定,町田,町田,町田,False
Sena Ishibashi,石橋　瀬凪,93,確定,湘南,湘南,湘南,False
Yuji Ono,小野　裕二,93,確定,新潟,新潟,新潟,False
Atsuhito Ihara,庵原　篤人,92,確定,琉球,琉球,琉球,False
Kotaro Arima,有馬　幸太郎,92,確定,大分,いわき / 大分,大分,False
Makoto Mitsuta,満田　誠,92,確定,G大阪,G大阪 / 広島,G大阪,False
Reo Sugiyama,杉山　伶央,92,確定,高知,いわき / 高知,高知,False
Ryunosuke Ota,太田　龍之介,92,確定,栃木SC / 甲府,岡山 / 栃木SC / 甲府,栃木SC / 甲府,False
Daiju Sasaki,佐々木　大樹,91,確定,神戸,神戸,神戸,False
Naoki Kumata,熊田　直紀,91,確定,いわき,いわき,いわき,False
Rikuto Kubo,久保　吏久斗,91,確定,FC大阪,FC大阪,FC大阪,False
Shusuke Ota,太田　修介,91,確定,湘南,新潟 / 湘南,湘南,False
Sora Tanaka,田中　想来,91,確定,松本,松本,松本,False
Yuki Ohashi,大橋　祐紀,91,確定,広島,広島,広島,False
Yusuke Goto,後藤　優介,91,確定,讃岐,山形 / 讃岐,讃岐,False
Harumi Minamino,南野　遥海,90,確定,G大阪 / 栃木SC,G大阪 / 栃木SC,G大阪 / 栃木SC,False
Hiroki Higuchi,樋口　寛規,90,確定,福島,福島,福島,False
Kyota Funahashi,舩橋　京汰,90,確定,愛媛,愛媛,愛媛,False
Pieros Sotiriou,ピエロス　ソティリウ,90,確定,広島,広島,広島,False
Sora Mochizuki,望月　想空,90,確定,FC大阪 / 奈良,FC大阪 / 奈良,FC大阪 / 奈良,False
Yutaro Oda,小田　裕太郎,90,確定,湘南,湘南,湘南,False
Yūya Ōsako,大迫　勇也,90,確定,神戸,神戸,神戸,False
Ado  Onaiwu,オナイウ　阿道,89,確定,浦和,浦和,浦和,False
Kaito Mori,森　海渡,89,確定,千葉 / 横浜FC,千葉 / 横浜FC,千葉 / 横浜FC,False
Shinya Utsumoto,宇津元　伸弥,89,確定,大分,大分,大分,False
Soshi Iwagishi,岩岸　宗志,89,確定,讃岐,讃岐,讃岐,False
Tete  Yengi,テテ　イェンギ,89,確定,町田,町田,町田,False
Yuki Muto,武藤　雄樹,89,確定,相模原,柏 / 相模原,相模原,False
Yota Komi,小見　洋太,88,確定,新潟 / 柏,新潟 / 柏,新潟 / 柏,False
Yuta Fujihara,藤原　悠汰,88,確定,愛媛,愛媛,愛媛,False
Atsushi Kawata,河田　篤秀,87,確定,群馬 / 高知,群馬 / 高知 / 鳥栖,群馬 / 高知,False
Hiroto  Konishi,小西　宏登,87,確定,群馬,群馬,群馬,False
Kanta  Tanaka,田中　幹大,87,確定,いわき,いわき,いわき,False
Kusini Yengi,イェンギ　クシニ,87,確定,C大阪,C大阪,C大阪,False
Mikhael Akatsuka,赤塚　ミカエル,87,確定,沼津,沼津,沼津,False
Takumu Fujinuma,藤沼　拓夢,87,確定,相模原,相模原,相模原,False
Beka Mikeltadze,ベカ　ミケルタゼ,86,確定,山形,山形,山形,False
Kazuki Nishiya,西谷　和希,86,確定,金沢,徳島 / 栃木C / 金沢,金沢,False
Keito Kumashiro,神代　慶人,86,確定,熊本,熊本,熊本,False
Leon Nozawa,野澤　零温,86,確定,FC東京,FC東京,FC東京,False
Sho Ito,伊藤　翔,86,確定,横浜FC,横浜FC,横浜FC,False
Taisei Kato,加藤　大晟,86,確定,いわき,いわき,いわき,False
Takuya Fujiwara,藤原　拓海,86,確定,栃木C,栃木C,栃木C,False
Tsuyoshi Ogashiwa,小柏　剛,86,確定,FC東京,FC東京,FC東京,False
Isa Sakamoto,坂本　一彩,85,確定,G大阪,G大阪,G大阪,False
Kaina Tanimura,谷村　海那,85,確定,いわき / 横浜FM,いわき / 横浜FM,いわき / 横浜FM,False
Nassim Ben Khalifa,ナッシム　ベン　カリファ,85,確定,福岡,福岡,福岡,False
Ryunosuke Sagara,菅原　龍之助,85,確定,仙台,FC大阪 / 仙台 / 栃木SC,仙台,False
Shinzo Koroki,興梠　慎三,85,確定,浦和,浦和,浦和,False
Toranosuke Onozeki,小野関　虎之介,85,確定,群馬,群馬,群馬,False
Koya Okuda,奥田　晃也,84,確定,栃木SC / 水戸,栃木SC / 水戸,栃木SC / 水戸,False
Issam Jebali,イッサム　ジェバリ,83,確定,G大阪,G大阪,G大阪,False
Reiju Tsuruno,鶴野　怜樹,83,確定,愛媛,愛媛 / 福岡,愛媛,False
Shu Morooka,師岡　柊生,83,確定,鹿島,鹿島,鹿島,False
