対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,玉城　大志,Taishi Tamashiro,MF,Midfield,544.0,622.29,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Taishi Tamashiro,群馬,2025|群馬|498.96; 2024|鳥取|123.33,鳥取,2024|鳥取|98.00; 2025|群馬|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Rikiru Nakano
2024-2025,J3,大串　昇平,Shohei Ogushi,DF,Full Back,486.0,566.52,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Shohei Ogushi,岐阜,2025|岐阜|566.52,岐阜,2025|岐阜|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小泉　隆斗,Ryuto Koizumi,DF,Full Back,469.0,609.22,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Ryuto Koizumi,鳥取,2024|鳥取|421.09; 2025|MIO Biwako Shiga|188.13,鳥取,2024|鳥取|469.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,秋山　陽介,Yosuke Akiyama,MF,Full Back,450.0,96.58,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Yosuke Akiyama,福島,2024|福島|96.58,福島,2024|福島|450.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,川島　功奨,Kosuke K Kawashima,DF,Full Back,421.0,455.23,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Kosuke K Kawashima,鹿児島,2025|鹿児島|455.23,鹿児島,2025|鹿児島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,黒﨑　隼人,Hayato Kurosaki,DF,Full Back,369.0,385.37,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Hayato Kurosaki,FC大阪,2025|FC大阪|385.37,FC大阪,2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,西山　峻太,Shunta Nishiyama,DF,Full Back,357.0,382.95,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Shunta Nishiyama,YS横浜,2024|YS横浜|382.95,YS横浜,2024|YS横浜|357.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,大竹　優心,Yushin Otake,MF,Full Back,351.0,93.31,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Yushin Otake,YS横浜,2024|YS横浜|93.31,YS横浜,2024|YS横浜|351.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,五月田　星矢,Seiya Satsukida,MF,Full Back,336.0,282.53000000000003,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Seiya Satsukida,宮崎,2024|宮崎|273.91; 2025|宮崎|8.62,宮崎,2024|宮崎|334.00; 2025|宮崎|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Ryoma Eguchi
2024-2025,J3,大熊　健太,Kenta Okuma,MF,Midfield,306.0,376.26,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Kenta Okuma,宮崎,2024|宮崎|195.11; 2025|宮崎|181.15,宮崎,2024|宮崎|180.00; 2025|宮崎|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,寺島　はるひ,Haruhi Terashima,DF,Full Back,301.0,248.54,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Haruhi Terashima,奈良,2024|奈良|248.54,奈良,2024|奈良|301.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
