FB_Name,SC_Name,analysis_position_code,analysis_position_jp,psv99_per_match,total_metersperminute_full_all_per_match,hi_distance_full_all_per_match,sprint_count_full_all_per_match,dropping_off_runs_proxy_per90,overlap_runs_proxy_per90,underlap_runs_proxy_per90,cross_success_rate_pct,early_cross_proxy_success_rate_pct,pa_entry_per90,tackle_win_rate_pct,cross_block_proxy_per90,pulling_half_space_runs_proxy_per90,successful_on_ball_actions_per90,attacking_third_entry_proxy_per90
濱　託巳,Takumi Hama,SB,サイドバック,29.3,106.921,742.7333333333333,9.8,41.438250692947335,2.7440714505697565,,27.27070707070707,27.64227642276423,1.3858946720049277,66.66296296296296,1.9125346473668001,,21.536193409300893,
高野　遼,Ryo Takano,SB,サイドバック,30.145652173913046,109.2754347826087,661.0434782608696,10.108695652173912,15.200000000000001,5.8,0.0,22.41896551724138,24.996875,2.15,71.05789473684212,1.8,0.0,8.70065,0.0
外山　凌,Ryo Toyama,SB,サイドバック,28.93333333333333,109.30888888888889,777.3611111111111,9.916666666666666,,,0.0,,,,,,0.0,,0.0
オタボー　ケネス,Kenneth Otabor,SB,サイドバック,27.858974358974358,107.1348717948718,501.64102564102564,6.82051282051282,10.485756026296567,2.0379839298758218,0.0,25.808064516129036,41.18235294117647,1.4134404674945216,59.995,1.47918188458729,0.0,5.456340394448502,0.0
石田　崚真,Ryoma Ishida,SB,サイドバック,29.64848484848485,110.08764705882353,636.7352941176471,9.323529411764707,17.324110671936758,3.8063241106719365,0.0,19.628037383177567,30.121686746987947,1.814229249011858,52.62894736842105,1.743083003952569,0.0,9.107288537549408,0.0
安光　将作,Shosaku Yasumitsu,SB,サイドバック,28.02608695652174,112.9813043478261,978.0,11.73913043478261,23.270750988142293,2.3715415019762847,,28.74625,32.998000000000005,1.74901185770751,58.82745098039216,2.5790513833992095,,11.976343873517786,
吉田　源太郎,Gentaro Yoshida,SB,サイドバック,29.96666666666667,104.32875,796.3333333333334,12.333333333333334,12.96195652173913,5.013586956521739,,15.243292682926826,31.343283582089555,2.3845108695652173,69.86712328767123,1.4979619565217392,,9.660417798913043,
青木　義孝,Yoshitaka Aoki,SB,サイドバック,27.79705882352941,113.57117647058824,792.8529411764706,9.294117647058824,,,0.0,,,,,,0.0,,0.0
泉　柊椰,Toya Izumi,SB,サイドバック,29.151851851851852,111.07629629629629,984.1481481481482,14.296296296296296,13.638246461857095,4.473593372454263,,27.075694444444444,29.033870967741933,3.4794615119088714,66.66,2.9823955816361756,,11.276282361063167,
忽那　喬司,Kyoji Kutsuna,SB,サイドバック,28.795454545454547,115.30113636363636,598.4772727272727,8.181818181818182,21.08433734939759,2.048192771084337,0.0,17.638235294117646,38.220588235294116,1.566265060240964,51.61935483870968,2.4096385542168672,0.0,9.156566265060242,0.0
