FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_sprint_distance_full_all_per_match,win_sprint_distance_full_all_per_match,z_sprint_distance_full_all_per_match,imputed_sprint_distance_full_all_per_match,raw_hsr_count_full_all_per_match,win_hsr_count_full_all_per_match,z_hsr_count_full_all_per_match,imputed_hsr_count_full_all_per_match,raw_dribble_success_rate_pct,win_dribble_success_rate_pct,z_dribble_success_rate_pct,imputed_dribble_success_rate_pct,raw_crosses_per90,win_crosses_per90,z_crosses_per90,imputed_crosses_per90,raw_cross_success_rate_pct,win_cross_success_rate_pct,z_cross_success_rate_pct,imputed_cross_success_rate_pct,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_pa_entry_per90,win_pa_entry_per90,z_pa_entry_per90,imputed_pa_entry_per90,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_regain_within_5s_per90,win_regain_within_5s_per90,z_regain_within_5s_per90,imputed_regain_within_5s_per90,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center
平松　昇,Sho Hiramatsu,SH,サイドハーフ,117.69090909090909,117.69090909090909,0.251560,0,42.32727272727273,42.32727272727273,0.579204,0,75.86551724137931,75.86551724137931,1.606960,0,2.7515286270150083,2.7515286270150083,0.648113,0,20.003636363636364,20.003636363636364,-0.175104,0,1.3007226236798222,1.3007226236798222,0.415571,0,1.9010561423012786,1.9010561423012786,0.529834,0,4.3478260869565215,4.3478260869565215,-0.591616,0,1.500833796553641,1.500833796553641,0.705474,0,0,0.0000,0,2.133243
中島　賢星,Kensei Nakashima,SH,サイドハーフ,109.14814814814815,109.14814814814815,0.078558,0,38.72222222222222,38.72222222222222,0.252534,0,20.0,20.0,-1.457863,0,0.7918898240244836,0.7918898240244836,-0.822526,0,26.08695652173913,26.08695652173913,0.421637,0,1.4116296863045141,1.4116296863045141,0.645361,0,0.7230298393267023,0.7230298393267023,-0.839798,0,4.3478260869565215,4.3478260869565215,-0.591616,0,1.2050497322111706,1.2050497322111706,0.125367,0,0,0.0000,1,2.041313
阿野　真拓,Mahiro Ano,SH,サイドハーフ,157.96610169491527,157.96610169491527,1.067184,0,56.05084745762712,56.05084745762712,1.822756,0,59.21710526315789,59.21710526315789,0.693616,0,2.3646496815286624,2.3646496815286624,0.357774,0,15.154545454545454,15.154545454545454,-0.650773,0,1.4331210191082802,1.4331210191082802,0.689889,0,1.8988853503184713,1.8988853503184713,0.527310,0,4.838709677419355,4.838709677419355,-0.512060,0,1.4689490445859872,1.4689490445859872,0.642940,0,0,0.0000,0,1.662608
岡野　凜平,Rimpei Okano,SH,サイドハーフ,117.59322033898304,117.59322033898304,0.249582,0,40.67796610169491,40.67796610169491,0.429753,0,26.91923076923077,26.91923076923077,-1.078269,0,1.322532027128862,1.322532027128862,-0.424298,0,33.33076923076923,33.33076923076923,1.132216,0,1.2207987942727958,1.2207987942727958,0.249976,0,0.8477769404672194,0.8477769404672194,-0.694761,0,3.571428571428571,3.571428571428571,-0.717445,0,1.2886209495101735,1.2886209495101735,0.289271,0,0,0.0000,1,2.157029
武井　成豪,Seigo Takei,SH,サイドハーフ,109.55555555555556,109.55555555555556,0.086809,0,42.388888888888886,42.388888888888886,0.584787,0,51.61290322580645,51.61290322580645,0.276444,0,0.5519591141396933,0.5519591141396933,-1.002586,0,11.11111111111111,11.11111111111111,-1.047412,0,0.766609880749574,0.766609880749574,-0.691065,0,0.766609880749574,0.766609880749574,-0.789130,0,5.263157894736842,5.263157894736842,-0.443271,0,2.0545144804088586,2.0545144804088586,1.791381,0,0,0.0000,1,2.627381
安永　玲央,Reo Yasunaga,SH,サイドハーフ,108.8,108.8,0.071508,0,37.4,37.4,0.132722,0,44.004000000000005,44.004000000000005,-0.140986,0,1.696383087111564,1.696383087111564,-0.143736,0,16.21891891891892,16.21891891891892,-0.546364,0,1.2379011716760062,1.2379011716760062,0.285410,0,1.5588385124808968,1.5588385124808968,0.131955,0,6.0606060606060606,6.0606060606060606,-0.314030,0,0.7794192562404484,0.7794192562404484,-0.709402,0,0,0.0000,3,1.175845
長谷川　隼,Hayato Hasegawa,SH,サイドハーフ,56.86274509803921,56.86274509803921,-0.980288,0,29.666666666666668,29.666666666666668,-0.568028,0,100.0,89.06783333333324,2.331248,0,0.5547652916073968,0.5547652916073968,-1.000480,0,15.384615384615385,15.384615384615385,-0.628205,0,0.8534850640113799,0.8534850640113799,-0.511067,0,0.6401137980085349,0.6401137980085349,-0.936201,0,11.76470588235294,11.76470588235294,0.610418,0,1.4509246088193457,1.4509246088193457,0.607589,0,0,0.0000,3,2.771863
久保　吏久斗,Rikuto Kubo,SH,サイドハーフ,316.05555555555554,254.90244897959153,3.030269,0,58.907407407407405,58.907407407407405,2.081601,0,45.056043956043965,45.056043956043965,-0.083270,0,5.0,5.0,2.335510,0,27.784567901234563,27.784567901234563,0.588164,0,1.6049382716049383,1.6049382716049383,1.045880,0,2.191358024691358,2.191358024691358,0.867354,0,5.0,5.0,-0.485920,0,0.6172839506172839,0.6172839506172839,-1.027390,0,0,0.0000,0,3.352712
普光院　誠,Makoto Fukoin,SH,サイドハーフ,135.1086956521739,135.1086956521739,0.604293,0,43.54347826086956,43.54347826086956,0.689409,0,56.25,56.25,0.530839,0,1.1102268205332273,1.1102268205332273,-0.583626,0,22.570967741935483,22.570967741935483,0.076738,0,1.5399920413847992,1.5399920413847992,0.911317,0,0.931157978511739,0.931157978511739,-0.597818,0,9.803921568627452,9.803921568627452,0.292639,0,1.2534818941504178,1.2534818941504178,0.220354,0,0,0.0000,0,1.688465
城定　幹大,Kanta Jojo,SH,サイドハーフ,83.96774193548387,83.96774193548387,-0.431377,0,33.0,33.0,-0.265981,0,51.72758620689656,51.72758620689656,0.282736,0,0.821917808219178,0.821917808219178,-0.799991,0,14.285714285714285,14.285714285714285,-0.736001,0,0.9980430528375733,0.9980430528375733,-0.211555,0,1.8199608610567513,1.8199608610567513,0.435549,0,8.0,8.0,0.000282,0,1.8786692759295498,1.8786692759295498,1.446504,0,0,0.0000,3,2.037165
村越　凱光,Kaiga Murakoshi,SH,サイドハーフ,128.54237288135593,128.54237288135593,0.471316,0,42.559322033898304,42.559322033898304,0.600231,0,64.85945945945946,64.85945945945946,1.003160,0,2.7346938775510203,2.7346938775510203,0.635479,0,17.91044776119403,17.91044776119403,-0.380434,0,0.8571428571428572,0.8571428571428572,-0.503488,0,1.8367346938775508,1.8367346938775508,0.455051,0,14.814814814814813,14.814814814814813,1.104741,0,0.653061224489796,0.653061224489796,-0.957222,0,0,0.0000,0,1.896977
北　龍磨,Ryoma  Kita,SH,サイドハーフ,59.421052631578945,59.421052631578945,-0.928479,0,35.175438596491226,35.175438596491226,-0.068855,0,45.445454545454545,45.445454545454545,-0.061907,0,1.3772807533843436,1.3772807533843436,-0.383211,0,15.384615384615385,15.384615384615385,-0.628205,0,1.748087110064744,1.748087110064744,1.342472,0,1.2183637433784578,1.2183637433784578,-0.263898,0,9.67741935483871,9.67741935483871,0.272137,0,1.3772807533843436,1.3772807533843436,0.463155,0,0,0.0000,3,1.839460
長谷川　雄志,Yushi Hasegawa,SH,サイドハーフ,66.84313725490196,66.84313725490196,-0.778172,0,32.627450980392155,32.627450980392155,-0.299739,0,50.0,50.0,0.187959,0,0.6535947712418301,0.6535947712418301,-0.926312,0,10.0,10.0,-1.156407,0,0.5228758169934641,0.5228758169934641,-1.196061,0,0.6535947712418301,0.6535947712418301,-0.920527,0,0.0,0.0,-1.296257,0,0.8496732026143791,0.8496732026143791,-0.571617,0,0,0.0000,3,2.367516
曽我　大地,Daichi Soga,SH,サイドハーフ,52.44,52.44,-1.069854,0,30.12,30.12,-0.526950,0,0.0,0.0,-2.555077,0,0.37834997372569623,0.37834997372569623,-1.132873,0,0.0,0.0,-2.137353,0,0.5202312138728323,0.5202312138728323,-1.201540,0,0.5202312138728323,0.5202312138728323,-1.075582,0,6.666666666666667,6.666666666666667,-0.215808,0,1.4661061481870732,1.4661061481870732,0.637364,0,0,0.0000,1,3.029719
稲積　大介,Daisuke Inazumi,SH,サイドハーフ,257.9795918367347,254.90244897959153,3.030269,0,62.30612244897959,60.27230769230768,2.205280,0,47.61428571428571,47.61428571428571,0.057077,0,6.976076555023923,6.976076555023923,3.818485,0,18.522222222222222,18.522222222222222,-0.320422,0,1.5502392344497606,1.5502392344497606,0.932548,0,2.2392344497607657,2.2392344497607657,0.923017,0,0.0,0.0,-1.296257,0,1.2057416267942584,1.2057416267942584,0.126724,0,0,0.0000,0,4.547157
古賀　俊太郎,Shuntaro Koga,SH,サイドハーフ,86.125,86.125,-0.387690,0,36.8125,36.8125,0.079486,0,50.0,50.0,0.187959,0,0.5263157894736842,0.5263157894736842,-1.021830,0,50.0,50.0,2.767378,0,0.5921052631578947,0.5921052631578947,-1.052624,0,1.3157894736842104,1.3157894736842104,-0.150626,0,0.0,0.0,-1.296257,0,2.5,2.5,2.665091,0,0,0.0000,1,3.505848
上畑　佑平士,Uheiji Uehata,SH,サイドハーフ,86.58333333333333,86.58333333333333,-0.378408,0,36.770833333333336,36.770833333333336,0.075711,0,63.63636363636363,63.63636363636363,0.936060,0,0.3949533735600658,0.3949533735600658,-1.120413,0,25.0,25.0,0.315013,0,0.4443225452550741,0.4443225452550741,-1.358817,0,0.9873834339001646,0.9873834339001646,-0.532448,0,6.25,6.25,-0.283336,0,1.67855183763028,1.67855183763028,1.054024,0,0,0.0000,3,2.352438
井上　怜,Ren Inoue,SH,サイドハーフ,137.52459016393442,137.52459016393442,0.653218,0,40.0655737704918,40.0655737704918,0.374261,0,57.43465346534653,57.43465346534653,0.595829,0,5.13526807673389,5.13526807673389,2.437024,0,20.68706896551724,20.68706896551724,-0.108063,0,1.8593212001967534,1.8593212001967534,1.572940,0,2.6561731431382194,2.6561731431382194,1.407771,0,11.11111111111111,11.11111111111111,0.504491,0,0.3984259714707329,0.3984259714707329,-1.456626,0,0,0.0000,0,3.248021
安達　秀都,Shuto  Adachi,SH,サイドハーフ,104.43396226415095,104.43396226415095,-0.016910,0,41.886792452830186,41.886792452830186,0.539290,0,60.0,60.0,0.736566,0,0.5639686684073107,0.5639686684073107,-0.993573,0,25.0,25.0,0.315013,0,0.5639686684073107,0.5639686684073107,-1.110920,0,0.9869451697127938,0.9869451697127938,-0.532957,0,0.0,0.0,-1.296257,0,0.9869451697127938,0.9869451697127938,-0.302392,0,0,0.0000,3,2.295363
徳永　裕大,Yudai Tokunaga,SH,サイドハーフ,38.775510204081634,38.775510204081634,-1.346577,0,26.285714285714285,26.285714285714285,-0.874391,0,50.0,50.0,0.187959,0,1.1792054099746407,1.1792054099746407,-0.531860,0,29.03225806451613,29.03225806451613,0.710556,0,0.989010989010989,0.989010989010989,-0.230269,0,1.2172442941673711,1.2172442941673711,-0.265200,0,12.5,12.5,0.729585,0,0.874894336432798,0.874894336432798,-0.522152,0,0,0.0000,3,1.576120
荒木　大吾,Daigo Araki,SH,サイドハーフ,153.72972972972974,153.72972972972974,0.981392,0,48.67567567567568,48.67567567567568,1.154460,0,56.252083333333346,56.252083333333346,0.530953,0,3.6766759776536313,3.6766759776536313,1.342403,0,22.22222222222222,22.22222222222222,0.042528,0,1.005586592178771,1.005586592178771,-0.195926,0,2.6710893854748603,2.6710893854748603,1.425113,0,11.538461538461538,11.538461538461538,0.573751,0,0.691340782122905,0.691340782122905,-0.882146,0,0,0.0000,0,1.834574
高　昇辰,Seung-Jin Koh,SH,サイドハーフ,166.94117647058823,166.94117647058823,1.248941,0,45.92156862745098,45.92156862745098,0.904898,0,40.625,40.625,-0.326360,0,1.9343493552168816,1.9343493552168816,0.034849,0,25.452727272727273,25.452727272727273,0.359423,0,1.0550996483001172,1.0550996483001172,-0.093339,0,1.2661195779601409,1.2661195779601409,-0.208375,0,8.571428571428571,8.571428571428571,0.092892,0,0.492379835873388,0.492379835873388,-1.272359,0,0,0.0000,0,1.366164
鈴木　拳士郎,Kenshiro Suzuki,SH,サイドハーフ,115.54716981132076,115.54716981132076,0.208147,0,40.64150943396226,40.64150943396226,0.426449,0,66.66666666666666,66.66666666666666,1.102304,0,1.6149369544131909,1.6149369544131909,-0.204859,0,18.91891891891892,18.91891891891892,-0.281509,0,1.0475266731328807,1.0475266731328807,-0.109029,0,0.9165858389912706,0.9165858389912706,-0.614760,0,8.333333333333332,8.333333333333332,0.054304,0,0.6110572259941804,0.6110572259941804,-1.039603,0,0,0.0000,3,1.639914
