Issue_Type,FB_Name,FB_Pos,FB_Minutes,SC_Name,SC_Position_Group,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes,Match_Vector_Score
low_confidence_top_candidate,津覇　実樹,MF,504.0,Taiga Ishiura,Midfield,1038.31,auto_j3_outfield,70.66,7.54,41.67,87.14,48.54,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,藤川　虎太朗,MF,1919.0,Ji-hoon Lim,Midfield,787.85,auto_j3_outfield,68.06,0.9,38.71,85.26,41.06,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,橋内　優也,DF,453.0,Yuya Hashiuchi,Central Defender,155.82,auto_j3_outfield,78.48,1.27,78.57,83.6,34.4,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,河上　将平,MF,1661.0,Kazuki Iwamoto,Midfield,3175.96,auto_j3_outfield,68.59,0.99,40.0,83.38,52.3,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,藤森　亮志,MF,1252.0,Ji-hoon Lim,Midfield,787.85,auto_j3_outfield,65.7,2.04,27.78,82.83,62.93,9,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,髙橋　大悟,MF,1396.0,Kohei Kiyama,Midfield,1121.45,auto_j3_outfield,65.72,6.25,23.53,81.97,80.33,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,吉長　真優,MF,652.0,Yamato Machida,Midfield,181.9,auto_j3_outfield,67.34,0.99,46.67,81.83,27.9,11,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,永長　鷹虎,MF,511.0,Taiga Ishiura,Midfield,1038.31,auto_j3_outfield,68.14,4.94,42.86,81.47,49.21,11,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,川上　竜,MF,5102.0,Ryota Sawazaki,Midfield,3328.06,auto_j3_outfield,75.27,14.75,61.54,81.33,65.23,11,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,星　広太,MF,1467.0,Kohei Kiyama,Midfield,1121.45,auto_j3_outfield,70.27,8.88,41.67,81.0,76.45,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,牧山　晃政,MF,1679.0,Kazuki Iwamoto,Midfield,3175.96,auto_j3_outfield,68.13,4.46,45.0,79.51,52.87,13,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,中村　仁郎,MF,1440.0,Tatsuya Hakozaki,Midfield,1974.67,auto_j3_outfield,66.6,2.09,33.33,79.44,72.92,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,野瀬　龍世,MF,570.0,Asahi Haga,Midfield,1659.97,auto_j3_outfield,60.96,1.24,28.57,78.76,34.34,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,五月田　星矢,MF,336.0,Kenta Okuma,Midfield,376.26,auto_j3_outfield,67.62,3.72,34.48,77.59,89.3,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,堀越　大蔵,MF,429.0,Asahi Haga,Midfield,1659.97,auto_j3_outfield,62.44,2.95,40.0,76.64,25.84,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,四宮　悠成,MF,1274.0,Shunya Mouri,Midfield,1020.8,auto_j3_outfield,71.86,2.28,57.14,74.43,80.13,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
