FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,cluster_id,cluster_distance_to_center
深港　壮一郎,Soichiro Fukaminato,CB,センターバック,0.590865,1.008310,-0.533169,0.298861,0.401001,-1.236608,-0.431233,-0.744814,-0.794967,-0.100992,1,2.036499
花房　稔,Minoru Hanafusa,CB,センターバック,-1.047990,-0.000979,1.203165,0.251542,-0.630018,-0.319783,-0.545298,-0.299335,0.405626,-0.385834,3,2.135243
井上　航希,Koki Inoue,CB,センターバック,0.730715,0.293393,0.769631,-1.191647,-0.992574,1.629105,2.976285,0.459551,0.345494,0.246898,0,2.344560
水口　湧斗,Yuto Minakuchi,CB,センターバック,0.449984,0.968493,-0.279478,-0.181213,-0.509450,-1.851900,-1.260296,-0.703919,-0.917921,0.011218,1,2.576581
杉田　隼,Hayato Sugita,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.050921,1.183784,3,0.873114
ピトリック,Kevin Pytlik,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.952147,2.184831,3,1.688733
當麻　颯,Hayate Toma,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.103654,0.206367,3,0.770459
左合　修土,Shuto Sago,CB,センターバック,2.209650,-4.135422,-0.964506,-3.290832,0.747692,-0.373841,-0.866910,-2.226394,-0.517723,0.433086,1,5.833438
綿引　康,Ko Watahiki,CB,センターバック,-2.614344,0.099640,0.345192,2.456236,-1.631482,-1.565911,-2.390035,-1.167439,1.081209,1.530375,2,3.476385
野瀬　翔也,Shoya  Nose,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.145081,0.138275,3,0.724489
深津　康太,Kota Fukatsu,CB,センターバック,1.423357,-1.057169,3.109160,0.022318,1.720026,0.232288,-0.731602,0.860818,-0.368745,-0.023308,3,4.177085
長谷川　光基,Koki Hasegawa,CB,センターバック,-2.945847,1.519743,-0.964506,2.556277,-1.233147,0.671832,-0.292648,-0.404767,-0.775195,-0.517662,2,4.127159
砂森　和也,Kazuya Sunamori,CB,センターバック,-0.454423,1.371393,3.648469,-0.498813,-1.866993,-0.273740,0.519177,0.259321,0.556137,0.144012,2,4.017391
齊藤　隆成,Ryusei Saito,CB,センターバック,-0.976830,-0.550481,0.080038,-0.682949,1.201442,-2.181451,-1.414561,-0.854468,0.038285,0.033190,1,3.032818
大城　蛍,Kei Oshiro,CB,センターバック,-0.081574,0.292156,0.081789,0.746287,0.509499,0.551490,1.117957,-0.041637,-0.091501,-0.230466,3,1.815250
柳　雄太郎,Yutaro Yanagi,CB,センターバック,-3.678265,0.244569,1.245368,1.056152,-1.431490,-0.403736,-1.644898,-1.184595,-0.402524,-1.017665,2,2.672306
吉田　知樹,Tomoki Yoshida,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.196790,0.809466,3,0.877605
藤原　拓也,Takuya Fujiwara,CB,センターバック,-0.545438,0.008288,1.822500,-0.001485,0.312625,-0.158486,-0.004549,-1.325360,-0.019401,-1.169149,3,2.887954
堂鼻　起暉,Kazuki Dohana,CB,センターバック,0.866755,-0.122468,0.710689,0.173386,0.226235,0.917391,2.960495,-0.759608,0.932071,0.194208,0,2.996232
岡崎　慎,Makoto Okazaki,CB,センターバック,0.375713,0.967480,-0.964506,-0.456933,-0.601014,-0.419845,1.204105,-0.754959,-0.410172,-0.725843,1,2.753312
平　智広,Tomohiro Taira,CB,センターバック,-0.454936,1.979961,-0.964506,-1.170227,-1.578582,0.184048,2.573166,0.434170,-0.257210,0.209744,0,3.020047
小林　大智,Daichi Kobayashi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.298234,0.473871,3,0.481340
