FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,distance_to_cluster_center_3,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
近石　哲平,Teppei Chikaishi,CB,1,センターバック,2.447483,0.661536,-1.563552,-0.09984,1.550085,0.988726,-0.748955,-1.052503,0.074388,-0.048799,-0.784613,3.070747081867538,-1.72707,1.6990610000000002,-1.663392,-3.070747081867538,126,23,136,90
永野　修都,Shuto Nagano,CB,3,センターバック,0.982612,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.385221,0.225281,0.9826112728469993,-0.021795000000000023,-1.379218,-0.11054,-0.9826112728469993,78,123,82,22
藤谷　匠,Takumi Fujitani,CB,3,センターバック,0.538666,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.545182,0.962477,0.5386647840215657,-0.021795000000000023,-0.5391790000000001,-0.11054,-0.5386647840215657,87,93,91,6
黒石　貴哉,Takaya Kuroishi,CB,2,センターバック,4.360698,0.04739,-0.81925,3.182677,0.160551,-0.030726,-2.603188,-1.286758,-1.472147,0.666936,1.633954,4.681650299109278,-5.362093,-0.650272,2.3634269999999997,-4.681650299109278,144,102,7,134
神山　京右,Kyosuke Kamiyama,CB,0,センターバック,1.633321,0.030559,0.292793,1.110924,0.477651,-0.374687,0.531656,0.778604,1.267615,0.281982,0.287429,2.1671404951652304,2.5778749999999997,-0.6261099999999999,1.403717,-2.1671404951652304,22,100,19,54
田代　真一,Masakazu Tashiro,CB,3,センターバック,2.681813,-0.490219,0.562488,0.409571,-1.315627,0.304007,0.976654,-1.365648,0.365281,-0.051136,-0.437623,2.681812510823417,-0.02371299999999993,-0.13507599999999997,0.972059,-2.681812510823417,93,78,28,73
長倉　颯,Hayate Nagakura,CB,3,センターバック,0.580521,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.92457,0.359137,0.5805205824921285,-0.021795000000000023,-0.918567,-0.11054,-0.5805205824921285,90,111,94,9
加藤　慎太郎,Shintaro Kato,CB,1,センターバック,3.503961,-0.314229,-2.486865,-0.066679,1.871592,-0.149137,-1.761115,-0.469274,-0.471904,0.108683,-0.305796,3.765721571439264,-2.702293,-0.5720489999999999,-2.553544,-3.765721571439264,133,96,146,105
深港　壮一郎,Soichiro Fukaminato,CB,1,センターバック,2.036499,0.590865,1.00831,-0.533169,0.298861,0.401001,-1.236608,-0.431233,-0.744814,-0.794967,-0.100992,2.469809480446417,-2.412655,1.786833,0.47514100000000004,-2.469809480446417,132,19,35,65
花房　稔,Minoru Hanafusa,CB,3,センターバック,2.135243,-1.04799,-0.000979,1.203165,0.251542,-0.630018,-0.319783,-0.545298,-0.299335,0.405626,-0.385834,2.1352439240655854,-1.1644160000000001,-2.083634,1.202186,-2.1352439240655854,116,134,21,51
井上　航希,Koki Inoue,CB,0,センターバック,2.34456,0.730715,0.293393,0.769631,-1.191647,-0.992574,1.629105,2.976285,0.459551,0.345494,0.246898,4.068227095598278,5.064941,-0.607353,1.063024,-4.068227095598278,3,99,25,118
水口　湧斗,Yuto Minakuchi,CB,1,センターバック,2.576581,0.449984,0.968493,-0.279478,-0.181213,-0.50945,-1.8519,-1.260296,-0.703919,-0.917921,0.011218,3.0987339932880653,-3.816115,0.858455,0.689015,-3.0987339932880653,140,42,30,93
杉田　隼,Hayato Sugita,CB,3,センターバック,0.873114,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.050921,1.183784,0.8731131920312508,-0.021795000000000023,-0.044918,-0.11054,-0.8731131920312508,74,74,78,20
ピトリック,Kevin Pytlik,CB,3,センターバック,1.688733,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.952147,2.184831,1.6887328169210192,-0.021795000000000023,-0.946144,-0.11054,-1.6887328169210192,53,113,57,34
當麻　颯,Hayate Toma,CB,3,センターバック,0.770459,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.103654,0.206367,0.7704576329565436,-0.021795000000000023,-1.097651,-0.11054,-0.7704576329565436,81,115,85,14
左合　修土,Shuto Sago,CB,1,センターバック,5.833438,2.20965,-4.135422,-0.964506,-3.290832,0.747692,-0.373841,-0.86691,-2.226394,-0.517723,0.433086,6.473502914082683,-3.467145,3.475065,-5.099928,-6.473502914082683,139,8,149,144
綿引　康,Ko Watahiki,CB,2,センターバック,3.476385,-2.614344,0.09964,0.345192,2.456236,-1.631482,-1.565911,-2.390035,-1.167439,1.081209,1.530375,5.080710858827729,-5.123385,-5.327035,0.444832,-5.080710858827729,143,149,38,137
野瀬　翔也,Shoya  Nose,CB,3,センターバック,0.724489,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.145081,0.138275,0.724488414313162,-0.021795000000000023,-0.13907799999999998,-0.11054,-0.724488414313162,89,79,93,13
深津　康太,Kota Fukatsu,CB,3,センターバック,4.177085,1.423357,-1.057169,3.10916,0.022318,1.720026,0.232288,-0.731602,0.860818,-0.368745,-0.023308,4.177085137822786,0.361504,3.512128,2.051991,-4.177085137822786,47,7,8,122
長谷川　光基,Koki Hasegawa,CB,2,センターバック,4.127159,-2.945847,1.519743,-0.964506,2.556277,-1.233147,0.671832,-0.292648,-0.404767,-0.775195,-0.517662,4.831050456361122,-0.025583000000000022,-3.4037990000000002,0.5552370000000001,-4.831050456361122,94,144,34,135
