FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
石田　崚真,Ryoma Ishida,SB,2,サイドバック,1.831505,-0.692455,0.071251,0.374255,0.533533,-0.166468,0.691306,-1.130962,-0.888755,0.361424,-0.374778,1.831504453489535,-0.24694900000000009,-0.902109,-1.831504453489535,0.09387699999999999,71,89,24,42
安光　将作,Shosaku Yasumitsu,SB,0,サイドバック,2.040553,1.61743,2.083014,1.266802,-0.484935,1.101176,0.571172,-0.444972,0.330429,0.682925,0.185079,4.150377800392514,4.967246,1.198433,-4.150377800392514,-0.35873499999999997,5,26,101,80
吉田　源太郎,Gentaro Yoshida,SB,3,サイドバック,2.303801,0.646995,1.012085,1.486355,1.390498,-0.77605,1.741798,0.776793,-1.246242,0.497969,-0.237001,3.8480616984301332,3.145435,-0.9852740000000001,-3.8480616984301332,3.9090890000000003,17,94,97,9
青木　義孝,Yoshitaka Aoki,SB,0,サイドバック,1.148654,1.926616,0.991568,0.363387,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.983743935319015,3.281571,-0.161028,-2.983743935319015,-0.093431,15,70,62,74
泉　柊椰,Toya Izumi,SB,3,サイドバック,3.240279,0.629932,2.111284,2.211656,1.007188,0.86893,3.225872,0.421859,0.918671,0.239833,-0.860764,5.435486556578721,4.952872,0.29774,-5.435486556578721,4.654919,6,38,117,3
忽那　喬司,Kyoji Kutsuna,SB,2,サイドバック,2.29151,-0.195906,-0.154281,-0.047599,-0.714461,-0.443097,0.234541,-1.242694,0.083356,1.266681,0.370012,2.291508609148785,-0.39778600000000003,1.720049,-2.291508609148785,-1.722614,73,19,38,103
田中　恵太,Keita Tanaka,SB,2,サイドバック,2.12967,-0.889177,-1.204178,-1.412997,0.477801,-0.450551,-0.084976,0.791867,-1.280111,0.551559,-0.249976,2.1296697027041542,-3.5063519999999997,-0.978528,-2.1296697027041542,1.184692,108,93,33,26
大谷　駿斗,Hayato Otani,SB,3,サイドバック,1.937702,-0.751395,0.113283,0.759213,2.005513,-0.057729,1.43876,0.423058,-1.06826,-0.76993,-1.057804,3.0793613600430203,0.12110100000000001,-2.895994,-3.0793613600430203,3.867331,65,119,69,11
近藤　高虎,Takatora Kondo,SB,0,サイドバック,1.765197,1.884675,1.584775,0.911589,-0.191804,0.459713,0.297207,-0.557297,0.770083,-0.211333,0.774701,3.816004114194061,4.381039,1.333451,-3.816004114194061,-0.451894,8,23,96,85
吉村　弦,Yuzuru Yoshimura,SB,0,サイドバック,2.44313,1.066098,0.508879,0.203395,0.338936,0.996874,1.253281,-1.420525,-0.340063,0.041965,0.86117,3.1182772222162995,1.778372,0.563072,-3.1182772222162995,0.17169200000000018,35,35,74,40
