cluster_id,cluster_label,rank,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90
2,平均型,9,高橋　秀典,Hidenori Takahashi,SB,2,平均型,-0.9354330320397073,0.9354330320397073,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.165796,-0.074385,0.209926,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,10,三鬼　海,Kai Miki,SB,2,平均型,-0.9689553141146396,0.9689553141146396,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.873147,-0.753004,-0.821635,-0.005555,0.314077,0.371517,-0.315205,-0.354551,0.188144,-0.261057
3,攻撃参加型,1,宮脇　茂夫,Shigeo Miyawaki,SB,3,攻撃参加型,6.391444,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,0.246141,0.283823,0.311558,3.796978,1.449256,3.225872,-0.631406,3.584364,-1.989297,2.739642
3,攻撃参加型,2,櫻井　風我,Fuga  Sakurai,SB,3,攻撃参加型,5.6241270000000005,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,-1.450065,-1.24395,-0.931553,1.865164,1.590745,2.414113,1.34485,-1.820128,0.987337,-0.743361
3,攻撃参加型,3,泉　柊椰,Toya Izumi,SB,3,攻撃参加型,4.654919,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,0.629932,2.111284,2.211656,1.007188,0.86893,3.225872,0.421859,0.918671,0.239833,-0.860764
3,攻撃参加型,4,田中　康介,Kosuke Tanaka,SB,3,攻撃参加型,4.610423,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,-0.144594,-0.362241,-0.315361,1.995976,0.376405,0.909196,1.705251,0.092115,-1.185578,-0.519036
3,攻撃参加型,5,高野　遼,Ryo Takano,SB,3,攻撃参加型,4.167117,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,-0.281925,0.214548,0.664368,1.948726,0.221536,1.309815,0.908576,-0.805747,-0.211403,-1.175841
3,攻撃参加型,6,森　璃太,Riita Mori,SB,3,攻撃参加型,4.165465,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,-1.007928,-0.555205,-0.25026,0.841968,1.222442,1.978647,1.34485,0.463299,0.099433,0.492121
3,攻撃参加型,7,下川　陽太,Yota Shimokawa,SB,3,攻撃参加型,4.010162,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,0.828241,0.452431,0.426718,1.584213,0.857809,1.352133,1.073816,0.920695,0.720806,-0.253879
3,攻撃参加型,8,大迫　暁,Akira Osako,SB,3,攻撃参加型,3.946626,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,0.697384,0.130288,0.254713,1.160361,1.382417,1.003975,1.78229,-0.668966,0.419395,0.719131
3,攻撃参加型,9,吉田　源太郎,Gentaro Yoshida,SB,3,攻撃参加型,3.9090890000000003,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,0.646995,1.012085,1.486355,1.390498,-0.77605,1.741798,0.776793,-1.246242,0.497969,-0.237001
3,攻撃参加型,10,山脇　樺織,Kaoru Yamawaki,SB,3,攻撃参加型,3.880924,,score_cluster_3 = z_pa_entry_per90 + z_crosses_per90 + z_tackle_win_rate_pct,サイドバック,1.263527,1.627308,2.267129,1.650901,1.125193,1.281056,0.948967,1.368033,-0.121273,0.779927
