FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,cluster_id,cluster_distance_to_center
高橋　秀典,Hidenori Takahashi,SB,サイドバック,-0.165796,-0.074385,0.209926,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,0.935433
西矢　慎平,Shimpei Nishiya,SB,サイドバック,0.747744,0.504720,0.008385,0.678040,0.536422,0.267502,-1.026262,-1.264929,0.853473,-1.188696,0,2.517088
下川　太陽,Taiyo Shimokawa,SB,サイドバック,-0.766753,-0.370744,-0.226747,-0.576894,0.082855,1.184280,-0.315205,-1.796012,0.720407,0.172128,2,2.304239
橋本　陸斗,Rikuto Hashimoto,SB,サイドバック,0.877660,0.669191,0.295768,-0.065120,0.581849,0.175829,-0.699664,-0.575796,-1.515099,-0.475740,0,2.049289
青山　生,Ikiru Aoyama,SB,サイドバック,-0.135697,0.092069,0.180814,-0.650878,-0.114757,-0.780112,1.612601,0.388348,-0.003185,0.049104,2,2.339401
弓場　堅真,Kenshin Yuba,SB,サイドバック,1.753806,1.211354,0.489845,-0.054205,-0.368284,1.040157,-2.112907,-0.903676,1.185339,-0.556681,0,2.984780
河上　将平,Shohei Kawakami,SB,サイドバック,0.153726,0.148219,0.208526,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.193037
福宮　弘乃介,Konosuke  Fukumiya,SB,サイドバック,0.219281,-0.126999,0.351948,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.203346
佐藤　尚輝,Naoki Sato,SB,サイドバック,-0.755294,-1.533272,-1.845561,-0.910210,-1.350519,-1.562305,0.949599,-0.845956,-0.212451,1.245071,1,2.365781
小暮　大器,Daiki Kogure,SB,サイドバック,-0.966145,-0.788844,-0.638228,1.064213,0.579994,-0.111955,0.555138,-1.158794,0.021579,-0.918235,2,1.840894
馬渡　和彰,Kazuaki Mawatari,SB,サイドバック,-1.525650,-1.107372,-0.632069,1.554866,-0.025384,1.183461,-0.630879,-0.638185,-1.061518,0.080850,2,2.557506
ユ　イェチャン,Ye-chan Yu,SB,サイドバック,0.607634,0.550576,0.674591,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.637618
星　広太,Kota Hoshi,SB,サイドバック,0.890304,0.609258,0.131549,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.773750
森　璃太,Riita Mori,SB,サイドバック,-1.007928,-0.555205,-0.250260,0.841968,1.222442,1.978647,1.344850,0.463299,0.099433,0.492121,3,2.375309
西久保　駿介,Shunsuke   Nishikubo,SB,サイドバック,0.298340,-0.198640,-0.396298,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.010025
吉田　朋恭,Tomoyasu Yoshida,SB,サイドバック,0.670444,0.359047,0.336823,-0.511375,0.579201,-0.500657,-1.421540,0.919127,-0.865772,0.587224,0,2.056937
小西　宏登,Hiroto Konishi,SB,サイドバック,-0.669084,0.124280,0.453671,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.136770
伊川　拓,Taku Ikawa,SB,サイドバック,-0.642421,-0.815652,-0.946138,-0.206575,-1.685720,-1.322558,-0.807073,0.599701,0.721028,-0.204915,1,2.206063
高橋　峻希,Shunki Takahashi,SB,サイドバック,-0.197604,0.290391,0.456254,-0.951946,1.554079,-0.377850,-1.180840,-0.531837,0.188543,-0.370621,0,2.317886
坂本　翔,Kakeru Sakamoto,SB,サイドバック,-1.131182,-1.024399,-0.869161,-0.246128,-0.442688,0.283642,0.677775,0.634594,0.906140,2.226328,1,2.050897
木實　快斗,Kaito Konomi,SB,サイドバック,-0.730485,-0.451138,-0.070441,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,0.633641
四宮　悠成,Yusei Shinomiya,SB,サイドバック,-0.615464,0.161433,0.611889,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.267927
西　大伍,Daigo Nishi,SB,サイドバック,-0.882559,-1.430955,-1.559160,-1.823518,-2.895222,-1.042346,1.782872,-0.035395,2.042841,1.132695,1,3.138189
西田　恵,Megumu Nishida,SB,サイドバック,-0.449804,-0.480142,-0.730601,0.171584,-0.308096,-0.249972,1.345773,-1.083018,1.186836,-1.026435,2,2.357899
生地　慶充,Yoshiatsu Oiji,SB,サイドバック,-1.183346,-1.359679,-1.508775,-1.287171,-0.578168,-0.935590,0.423651,0.189995,1.184740,0.700534,1,1.336263
三鬼　海,Kai Miki,SB,サイドバック,-0.873147,-0.753004,-0.821635,-0.005555,0.314077,0.371517,-0.315205,-0.354551,0.188144,-0.261057,2,0.968955
一丸　大地,Daichi Ichimaru Daichi Ichimaru,SB,サイドバック,0.878748,0.741723,0.580736,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.484863
梅木　怜,Rei Umeki,SB,サイドバック,-0.141376,0.240593,0.624206,-0.179237,-0.033387,0.385750,0.653161,1.857854,0.938259,1.806204,0,3.126123
高安　孝幸,Takayuki Takayasu,SB,サイドバック,-1.198725,-1.041348,-0.558171,0.321489,-0.861413,1.919516,-3.266415,0.312183,-1.142515,-0.050678,2,4.090922
大迫　暁,Akira Osako,SB,サイドバック,0.697384,0.130288,0.254713,1.160361,1.382417,1.003975,1.782290,-0.668966,0.419395,0.719131,3,2.045161
松本　歩夢,Ayumu Matsumoto,SB,サイドバック,-1.186156,-1.120046,-1.149359,0.329971,1.473684,0.498383,-1.421909,-1.377704,-1.608245,0.374461,2,3.033460
桐　蒼太,Sota Kiri,SB,サイドバック,-1.826656,-1.762309,-1.555801,0.182420,-2.895222,-0.676976,-0.120230,0.120438,2.068920,-0.174829,1,2.955641
