FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,win_running_distance_full_all_per_match,z_running_distance_full_all_per_match,imputed_running_distance_full_all_per_match,raw_ball_gains_per90,win_ball_gains_per90,z_ball_gains_per90,imputed_ball_gains_per90,raw_interceptions_per90,win_interceptions_per90,z_interceptions_per90,imputed_interceptions_per90,raw_pass_success_rate_pct,win_pass_success_rate_pct,z_pass_success_rate_pct,imputed_pass_success_rate_pct,raw_forward_pass_success_rate_pct,win_forward_pass_success_rate_pct,z_forward_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,raw_short_pass_share_pct,win_short_pass_share_pct,z_short_pass_share_pct,imputed_short_pass_share_pct,raw_long_pass_share_pct,win_long_pass_share_pct,z_long_pass_share_pct,imputed_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_opponent_half_gain_share_pct,z_opponent_half_gain_share_pct,imputed_opponent_half_gain_share_pct,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_1,score_cluster_0,score_cluster_1,score_cluster_2,rank_cluster_0,rank_cluster_1,rank_cluster_2
小島　秀仁,Shuto Kojima,CMF,セントラルMF,1364.1,1364.1,0.006049,0,5.357821405953135,5.357821405953135,-1.097465,0,0.2279924002533249,0.2279924002533249,0.082358,0,78.70587155963302,78.70587155963302,0.114372,0,54.76488095238095,54.76488095238095,-0.325994,0,61.46788990825688,61.46788990825688,0.503391,0,8.256880733944955,8.256880733944955,-0.354676,0,36.17021276595745,36.17021276595745,0.33581,0,0,0.0,1,1.54351,1.5435095840923696,-1.5665129999999998,-1.5435095840923696,0.29176900000000006,26,10,11
岩上　祐三,Yuzo Iwakami,CMF,セントラルMF,940.2,940.2,-1.174269,0,5.620915032679738,5.620915032679738,-0.929922,0,0.326797385620915,0.326797385620915,0.905704,0,71.96473684210527,71.96473684210527,-1.432912,0,48.29315589353612,48.29315589353612,-1.287106,0,44.86842105263158,50.54869144013882,-1.542785,0,18.421052631578945,14.197038097335376,2.323432,0,30.23255813953488,30.23255813953488,-0.858081,0,0,0.0,0,2.814897,4.096075820442171,2.826422,-4.096075820442171,-4.262803,4,27,31
高橋　耕平,Kohei Takahashi,CMF,セントラルMF,1166.888888888889,1166.888888888889,-0.543071,0,8.222591362126247,8.222591362126247,0.726883,0,0.0,0.0,-1.81751,0,75.42163934426229,75.42163934426229,-0.639454,0,65.52972972972974,65.52972972972974,1.272687,0,59.67213114754099,59.67213114754099,0.166879,0,9.836065573770492,9.836065573770492,0.357296,0,25.454545454545453,25.454545454545453,-1.818802,0,0,0.0,0,2.875109,3.5217037696524107,1.723633,-3.5217037696524107,0.8001119999999999,7,22,9
河合　駿樹,Toshiki  Kawai,CMF,セントラルMF,1589.111111111111,1589.111111111111,0.632575,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.579185,0.5791847187435111,-0.099841,-0.5791847187435111,-0.047646999999999995,19,4,18
渡邉　綾平,Ryohei Watanabe,CMF,セントラルMF,1562.0,1562.0,0.557086,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.553498,0.5534977340323988,-0.099841,-0.5534977340323988,-0.047646999999999995,20,1,19
加藤　匠人,Takuto Kato,CMF,セントラルMF,1046.125,1046.125,-0.879329,0,5.6103896103896105,5.6103896103896105,-0.936624,0,0.0,0.0,-1.81751,0,86.08164556962025,86.08164556962025,1.807325,0,69.22500000000001,68.241726836394,1.675443,0,65.66455696202532,65.66455696202532,1.289815,0,5.537974683544303,5.537974683544303,-1.58049,0,31.25,31.25,-0.653503,0,0,0.0,2,2.54324,4.199528095861844,-4.324439,-4.199528095861844,4.772583,31,29,3
岡澤　韻生,Hibiki Okazawa,CMF,セントラルMF,1294.7857142857142,1294.7857142857142,-0.186952,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,0.793316,0.793315582559047,-0.099841,-0.793315582559047,-0.047646999999999995,16,6,15
宮崎　智彦,Tomohiko Miyazaki,CMF,セントラルMF,687.25,693.744212962963,-1.860506,0,6.212389380530974,6.212389380530974,-0.553258,0,0.3185840707964602,0.3185840707964602,0.837262,0,86.10592255125285,86.08710789048759,1.808579,0,62.11290322580646,62.11290322580646,0.765256,0,70.84282460136674,70.84282460136674,2.260184,0,4.328018223234624,4.328018223234624,-2.125997,0,30.76923076923077,30.76923076923077,-0.750172,0,0,0.0,2,1.864423,4.625831893286655,-4.487833999999999,-4.625831893286655,4.834019,32,31,1
ガブリエル　エンリケ,Gabriel Nascimento,CMF,セントラルMF,1257.2,1257.2,-0.291606,0,8.571428571428571,8.571428571428571,0.949031,0,0.0,0.0,-1.81751,0,75.31171548117155,75.31171548117155,-0.664684,0,56.97906976744186,56.97906976744186,0.002834,0,55.64853556485355,55.64853556485355,-0.587112,0,12.97071129707113,12.97071129707113,1.770545,0,34.0,34.0,-0.100557,0,0,0.0,0,2.152827,3.0143352437326874,3.3842600000000003,-3.0143352437326874,-1.2489620000000001,3,19,24
由井　航太,Kota Yui,CMF,セントラルMF,1039.6,1039.6,-0.897497,0,,6.897988045551083,-0.116653,1,,0.2206312712167098,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.875,1,1.404047,1.4040465512033422,-0.099841,-1.4040465512033422,-0.047646999999999995,21,8,20
坪川　潤之,Hiroyuki Tsubokawa,CMF,セントラルMF,840.7272727272727,840.7272727272727,-1.451243,0,9.81042654028436,9.81042654028436,1.738052,0,0.2132701421800948,0.2132701421800948,-0.040323,0,77.79055555555556,77.79055555555556,-0.095719,0,48.97551020408164,48.97551020408164,-1.18577,0,62.22222222222222,62.22222222222222,0.644747,0,7.777777777777778,7.777777777777778,-0.570679,0,26.08695652173913,26.08695652173913,-1.691643,0,0,0.0,0,2.887058,3.6593300986084873,1.2630919999999999,-3.6593300986084873,-0.636742,8,26,23
山田　尚幸,Naoyuki Yamada,CMF,セントラルMF,1766.3333333333333,1766.3333333333333,1.126037,0,10.384615384615383,10.384615384615383,2.103708,0,0.0,0.0,-1.81751,0,69.64494382022473,69.64494382022473,-1.965372,0,42.84603174603174,43.28216202090592,-2.031285,0,57.30337078651685,57.30337078651685,-0.277008,0,9.550561797752808,9.550561797752808,0.228577,0,25.0,25.352272727272727,-1.839367,0,0,0.0,0,3.224872,4.748007088801574,4.297657,-4.748007088801574,-4.273664999999999,2,32,32
