対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,髙木　彰人,Akito Takagi,FW,Center Forward,2399.0,2527.48,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Akito Takagi,相模原,2025|相模原|1623.39; 2024|相模原|904.09,相模原,2024|相模原|987.00; 2025|相模原|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,古川　大悟,Daigo Furukawa,FW,Center Forward,2372.0,1883.47,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Daigo Furukawa,FC大阪,2024|FC大阪|1883.47,FC大阪,2024|FC大阪|2372.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,高木　大輔,Daisuke Takagi,FW,Center Forward,2336.0,2402.62,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Daisuke Takagi,琉球,2025|琉球|1782.58; 2024|琉球|620.04,琉球,2024|琉球|687.00; 2025|琉球|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,武　颯,Hayate Take,FW,Center Forward,2293.0,2259.86,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Hayate Take,宮崎,2025|宮崎|1103.87; 2024|宮崎|1062.79; 2024|FC大阪|93.20,宮崎,2024|宮崎|1176.00; 2024|FC大阪|245.00; 2025|宮崎|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,武藤　雄樹,Yuki Muto,FW,Center Forward,2273.0,2313.35,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Yuki Muto,相模原,2025|相模原|1821.26; 2024|相模原|492.09,相模原,2024|相模原|622.00; 2025|相模原|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,アンジェロッティ,Rodrigo Luiz Angelotti,FW,Center Forward,2195.0,2196.15,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Rodrigo Luiz Angelotti,鹿児島,2025|鹿児島|2031.38; 2024|今治|164.77,今治,2024|今治|418.00; 2025|鹿児島|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,大野　耀平,Yohei Ono,FW,Center Forward,2185.0,2047.18,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Yohei Ono,讃岐,2025|讃岐|1623.28; 2024|讃岐|423.90,讃岐,2024|讃岐|669.00; 2025|讃岐|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,吉澤　柊,Shu Yoshizawa,FW,Center Forward,2157.0,2238.5,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Shu Yoshizawa,宮崎,2025|宮崎|1317.83; 2024|宮崎|920.67,宮崎,2024|宮崎|1078.00; 2025|宮崎|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,矢島　輝一,Kiichi Yajima,FW,Center Forward,2137.0,2013.58,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kiichi Yajima,福島,2025|福島|1073.64; 2024|福島|939.94,福島,2024|福島|1213.00; 2025|福島|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,伊藤　恵亮,Keisuke Ito,MF,Center Forward,2099.0,1921.01,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Keisuke Ito,相模原,2024|相模原|1185.16; 2025|長野|735.85,相模原,2024|相模原|1427.00; 2025|長野|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Rio Yoshitake
2024-2025,J3,庵原　篤人,Atsuhito Ihara,FW,Center Forward,2096.0,1788.08,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Atsuhito Ihara,琉球,2025|琉球|918.21; 2024|琉球|869.87,琉球,2024|琉球|1314.00; 2025|琉球|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,田村　翔太,Shota Tamura,FW,Center Forward,2066.0,2144.08,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Shota Tamura,奈良,2025|奈良|2144.08,奈良,2025|奈良|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
