FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,raw_ball_gains_per90,raw_interceptions_per90,raw_pass_success_rate_pct,raw_forward_pass_success_rate_pct,raw_short_pass_share_pct,raw_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_running_distance_full_all_per_match,win_ball_gains_per90,win_interceptions_per90,win_pass_success_rate_pct,win_forward_pass_success_rate_pct,win_short_pass_share_pct,win_long_pass_share_pct,win_opponent_half_gain_share_pct,z_running_distance_full_all_per_match,z_ball_gains_per90,z_interceptions_per90,z_pass_success_rate_pct,z_forward_pass_success_rate_pct,z_short_pass_share_pct,z_long_pass_share_pct,z_opponent_half_gain_share_pct,imputed_running_distance_full_all_per_match,imputed_ball_gains_per90,imputed_interceptions_per90,imputed_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,imputed_short_pass_share_pct,imputed_long_pass_share_pct,imputed_opponent_half_gain_share_pct
米原　秀亮,Shusuke Yonehara,CMF,セントラルMF,1250.2,5.611192930780559,0.2650957290132548,73.67704081632652,57.36004901960785,52.346938775510196,10.816326530612246,30.708661417322837,1250.2,5.611192930780559,0.2650957290132548,73.67704081632652,57.36004901960785,52.346938775510196,10.816326530612246,30.708661417322837,-0.3110971557050396,-0.9361128842533682,0.39154163105318146,-1.0398893410145598,0.05941257768285967,-1.2058067338988234,0.7992449427046584,-0.7623507915500235,0,0,0,0,0,0,0,0
末木　裕也,Hiroya Sueki,CMF,セントラルMF,1842.5833333333333,6.680073126142596,0.263254113345521,81.60878938640133,64.55436893203886,60.19900497512438,6.550580431177446,42.857142857142854,1842.5833333333333,6.680073126142596,0.263254113345521,81.60878938640133,64.55436893203886,60.19900497512438,6.550580431177446,42.857142857142854,1.3383495710443434,-0.25542633434625484,0.37619538522551316,0.7806755313446146,1.1278363269521048,0.2656116590988956,-1.1239586963376225,1.6803595406530931,0,0,0,0,0,0,0,0
工藤　真人,Manato Kudo,CMF,セントラルMF,1428.6451612903227,,,,,,,,1428.6451612903227,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,0.18576994137948633,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
岡庭　裕貴,Yuki Okaniwa,CMF,セントラルMF,1586.6875,,,,,,,,1586.6875,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,0.6258269173339549,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
島川　俊郎,Toshio Shimakawa,CMF,セントラルMF,1601.9032258064517,,,,,,,,1601.9032258064517,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,0.668193958596484,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
土井　紅貴,Koki Doi,CMF,セントラルMF,2312.8636363636365,,,,,,,,2012.5524912587405,6.897988045551083,0.22063127121670983,78.60197687570692,57.589421672924495,57.54542629573295,9.281646751306944,33.92307692307692,1.811615875838669,-0.11665329382302907,0.021017795979899424,0.09052541042509861,0.09347656054980932,-0.2316491098328535,0.1073374387124196,-0.11602425215534076,0,1,1,1,1,1,1,1
岩本　翔,Sho Iwamoto,CMF,セントラルMF,961.8918918918919,6.107784431137725,0.35928143712574845,81.84483985765127,66.67435897435897,70.8185053380783,3.9145907473309607,44.11764705882353,961.8918918918919,6.107784431137725,0.35928143712574845,81.84483985765127,66.67435897435897,70.8185053380783,4.2349970411563,44.11764705882353,-1.1138693446832795,-0.6198724332112141,1.1763943315767351,0.8348559169512421,1.4426746628892324,2.255626485930605,-2.1679351305620096,1.933810694402927,0,0,0,0,0,0,0,0
河井　陽介,Yosuke Kawai,CMF,セントラルMF,753.6842105263158,7.367256637168142,0.19911504424778761,83.74658385093169,62.263052208835326,52.484472049689444,10.041407867494824,36.486486486486484,753.6842105263158,7.367256637168142,0.19911504424778761,83.74658385093169,62.263052208835326,52.484472049689444,10.041407867494824,36.486486486486484,-1.6936079348628275,0.1821873246051145,-0.15827765319235415,1.2713609674830875,0.787554377585579,-1.1800340284564665,0.4498743148872481,0.39940370953907095,0,0,0,0,0,0,0,0
喜山　康平,Kohei Kiyama,CMF,セントラルMF,695.6296296296297,7.115902964959569,0.16172506738544476,70.86683501683501,51.338783269961986,53.03030303030303,10.606060606060606,39.77272727272727,695.6296296296297,7.115902964959569,0.16172506738544476,70.86683501683501,51.338783269961986,53.03030303030303,10.606060606060606,39.77272727272727,-1.8552565381312849,0.022119746700196705,-0.46984959867131265,-1.6849125559405502,-0.8348016643703944,-1.07774939102151,0.7044469444557978,1.0601722477652442,0,0,0,0,0,0,0,0
柴田　壮介,Sosuke Shibata,CMF,セントラルMF,1808.0,10.885766646304216,0.38485033598045204,75.73633841886269,57.81879432624114,60.05547850208044,9.153952843273231,48.484848484848484,1808.0,10.49737441849537,0.38485033598045204,75.73633841886269,57.81879432624114,60.05547850208044,9.153952843273231,45.10026737967913,1.2420548869151207,2.1755155597240012,1.3894608330416822,-0.567221196810457,0.12754054341675897,0.23871587307899128,0.049766879450464,2.1313873892579083,0,0,0,0,0,0,0,0
