FB_Name,SC_Name,analysis_position_code,analysis_position_jp,total_distance_full_all_per_match,loose_ball_gain_proxy_per90,mid_third_aerial_win_rate_proxy_pct,mid_third_tackle_win_rate_proxy_pct,out_box_shot_conversion_rate_pct,shot_on_target_rate_pct,interception_engagement_proxy_per90,pressure_engagement_proxy_per90,pass_success_rate_pct,forward_pass_success_rate_pct,short_pass_share_pct,long_pass_share_pct,forward_momentum_proxy_per90,vital_area_entry_proxy_per90,opponent_half_loose_ball_gain_share_proxy_pct
米原　秀亮,Shusuke Yonehara,CMF,セントラルMF,7950.742857142857,5.611192930780559,73.07435897435897,75.0,20.0,25.0,0.2650957290132548,1.2371134020618557,73.67704081632652,57.36004901960785,52.346938775510196,10.816326530612246,0.0,0.0,30.708661417322837
末木　裕也,Hiroya Sueki,CMF,セントラルMF,10368.291666666666,6.680073126142596,51.279487179487184,60.523684210526305,5.555555555555555,34.619230769230775,0.263254113345521,1.250457038391225,81.60878938640133,64.55436893203886,60.19900497512438,6.550580431177446,,,42.857142857142854
工藤　真人,Manato Kudo,CMF,セントラルMF,9848.967741935483,,,,,,,,,,,,0.0,0.0,
岡庭　裕貴,Yuki Okaniwa,CMF,セントラルMF,9771.09375,,,,,,,,,,,,0.0,0.0,
島川　俊郎,Toshio Shimakawa,CMF,セントラルMF,10256.290322580646,,,,,,,,,,,,0.0,0.0,
土井　紅貴,Koki Doi,CMF,セントラルMF,11674.772727272728,,,,,,,,,,,,0.0,0.0,
岩本　翔,Sho Iwamoto,CMF,セントラルMF,5542.864864864865,6.107784431137725,25.0,76.92307692307693,0.0,20.0,0.35928143712574845,2.3353293413173652,81.84483985765127,66.67435897435897,70.8185053380783,3.9145907473309607,0.0,0.0,44.11764705882353
河井　陽介,Yosuke Kawai,CMF,セントラルMF,6018.526315789473,7.367256637168142,38.70322580645161,66.67179487179487,0.0,9.090909090909092,0.19911504424778761,1.9413716814159292,83.74658385093169,62.263052208835326,52.484472049689444,10.041407867494824,,,36.486486486486484
喜山　康平,Kohei Kiyama,CMF,セントラルMF,4650.111111111111,7.115902964959569,59.09318181818182,65.625,0.0,11.11111111111111,0.16172506738544476,2.587601078167116,70.86683501683501,51.338783269961986,53.03030303030303,10.606060606060606,0.0,0.0,39.77272727272727
柴田　壮介,Sosuke Shibata,CMF,セントラルMF,9783.181818181818,10.885766646304216,51.72586206896551,80.55694444444445,5.555555555555555,19.052380952380954,0.38485033598045204,3.958460598656078,75.73633841886269,57.81879432624114,60.05547850208044,9.153952843273231,,,48.484848484848484
小島　秀仁,Shuto Kojima,CMF,セントラルMF,8973.0,5.357821405953135,42.6485294117647,73.07692307692307,0.0,9.090909090909092,0.2279924002533249,1.4819506016466117,78.70587155963302,54.76488095238095,61.46788990825688,8.256880733944955,,,36.17021276595745
岩上　祐三,Yuzo Iwakami,CMF,セントラルMF,6908.4,5.620915032679738,51.022448979591836,30.0,5.263157894736842,30.0,0.32679738562091504,1.3071895424836601,71.96473684210527,48.29315589353612,44.86842105263158,18.421052631578945,,,30.23255813953488
高橋　耕平,Kohei Takahashi,CMF,セントラルMF,8021.888888888889,8.222591362126247,64.99499999999999,73.33333333333333,0.0,0.0,0.0,2.2425249169435215,75.42163934426229,65.52972972972974,59.67213114754099,9.836065573770492,0.0,0.0,25.454545454545453
河合　駿樹,Toshiki  Kawai,CMF,セントラルMF,7872.611111111111,,,,,,,,,,,,0.0,0.0,
渡邉　綾平,Ryohei Watanabe,CMF,セントラルMF,9312.307692307691,,,,,,,,,,,,0.0,0.0,
