cluster_id,cluster_label,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,top10_filter_mode,top10_imputed_ratio_threshold_used,official_top10_eligible_count,analysis_position_jp,imputed_count,imputed_ratio,z_shot_conversion_rate_pct,z_out_box_shots_per90,z_box_shots_per90,z_shot_on_target_rate_pct,z_goals_per90,z_aerial_wins_per90,z_successful_forward_passes_per90,z_last_passes_per90,z_attacking_third_gains_per90,z_sprint_count_full_all_per_match
2,空中戦・前進関与型,7,7,赤星　魁麻,Kaima Akahoshi,FW,2,空中戦・前進関与型,4.7234,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,-0.227522,-0.632274,1.396527,-0.284589,0.242934,3.205944,0.158515,0.120929,0.722558,-0.438745
2,空中戦・前進関与型,8,8,妹尾　直哉,Naoya Senoo,FW,2,空中戦・前進関与型,4.333728000000001,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,-0.262283,3.077396,2.368212,-0.450695,1.605296,-0.806237,1.998225,2.771753,-0.187831,-1.199341
2,空中戦・前進関与型,9,9,杉浦　恭平,Kyohei Sugiura,FW,2,空中戦・前進関与型,4.088507,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,0.500296,0.710148,0.881917,-1.096416,1.20536,1.47881,1.496679,1.72778,0.497725,-1.315363
2,空中戦・前進関与型,10,10,吉澤　柊,Shu Yoshizawa,FW,2,空中戦・前進関与型,3.938546,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,0.846923,-0.922603,0.849746,-0.32692,1.179391,1.011899,0.624504,2.076901,0.079268,-0.670286
3,前線守備・回収型,1,1,増田　隼司,Shunji Masuda,FW,3,前線守備・回収型,4.45711,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-0.262283,0.279378,-1.194782,-1.267303,-0.7075,-0.73835,2.558997,1.271739,1.898113,0.485961
3,前線守備・回収型,2,2,川西　翔太,Shota Kawanishi,FW,3,前線守備・回収型,4.444291,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,1.206388,-0.402434,-0.955651,0.710603,0.233836,-0.922996,3.73473,-0.403057,0.709561,-1.08211
3,前線守備・回収型,3,3,髙尾　流星,Ryusei Takao,FW,3,前線守備・回収型,4.328275,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-1.61798,0.683462,0.776662,-2.079181,-1.59419,-0.254099,0.144366,-1.544281,4.183909,-1.480938
3,前線守備・回収型,4,4,渡邉　颯太,Sota Watanabe,FW,2,空中戦・前進関与型,4.308311,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-0.714182,2.429145,3.22645,-0.659536,0.601052,2.561187,0.124402,1.644998,4.183909,-0.432991
3,前線守備・回収型,5,5,アンジェロッティ,Rodrigo Luiz Angelotti,FW,3,前線守備・回収型,4.015577,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-1.61798,-1.816666,-0.813929,1.471453,-1.59419,0.325442,0.80843,1.997515,3.207147,0.047903
3,前線守備・回収型,6,6,清水　一雅,Kazumasa  Shimizu,FW,2,空中戦・前進関与型,3.948518,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,0.846923,-0.254593,1.215791,-0.188999,1.63641,1.017651,1.812273,0.563675,2.136245,-0.121838
3,前線守備・回収型,7,7,岩渕　良太,Ryota Iwabuchi,FW,3,前線守備・回収型,3.671699,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-0.714182,1.976885,-1.401603,-0.260452,-0.858663,-0.633424,3.73473,0.809007,-0.063031,-1.857128
3,前線守備・回収型,8,8,中村　充孝,Atsutaka Nakamura,FW,3,前線守備・回収型,2.9012680000000004,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,0.641514,-0.656859,-1.91754,-1.267608,-0.694696,-0.962095,2.875637,0.0676,0.025631,-1.857128
3,前線守備・回収型,9,9,山本　宗太朗,Sotaro Yamamoto,FW,3,前線守備・回収型,2.593876,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,-1.61798,-0.786966,-2.190395,-0.811098,-1.59419,-0.254136,2.214073,-0.95911,0.379803,-1.446065
3,前線守備・回収型,10,10,脇坂　崚平,Ryohei Wakizaka,FW,3,前線守備・回収型,2.520245,,score_cluster_3 = z_successful_forward_passes_per90 + z_attacking_third_gains_per90,strict,0.25,82,フォワード,0,0.0,0.390459,0.264412,-0.686696,0.963882,0.019802,-1.114871,0.963655,-0.379184,1.55659,-0.344165
