FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_out_box_shots_per90,win_out_box_shots_per90,z_out_box_shots_per90,imputed_out_box_shots_per90,raw_box_shots_per90,win_box_shots_per90,z_box_shots_per90,imputed_box_shots_per90,raw_shot_on_target_rate_pct,win_shot_on_target_rate_pct,z_shot_on_target_rate_pct,imputed_shot_on_target_rate_pct,raw_goals_per90,win_goals_per90,z_goals_per90,imputed_goals_per90,raw_aerial_wins_per90,win_aerial_wins_per90,z_aerial_wins_per90,imputed_aerial_wins_per90,raw_successful_forward_passes_per90,win_successful_forward_passes_per90,z_successful_forward_passes_per90,imputed_successful_forward_passes_per90,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_attacking_third_gains_per90,win_attacking_third_gains_per90,z_attacking_third_gains_per90,imputed_attacking_third_gains_per90,raw_sprint_count_full_all_per_match,win_sprint_count_full_all_per_match,z_sprint_count_full_all_per_match,imputed_sprint_count_full_all_per_match,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center
浮田　健誠,Kensei Ukita,FW,フォワード,18.84057971014493,18.84057971014493,0.936231,0,0.755984880302394,0.755984880302394,0.881918,0,1.7009659806803865,1.7009659806803865,-0.252728,0,38.456923076923076,38.456923076923076,0.417547,0,0.4913901721965561,0.4913901721965561,1.126583,0,2.002717345653087,2.002717345653087,-0.469326,0,1.662977740445191,1.662977740445191,-0.735666,0,0.6047879042419152,0.6047879042419152,-0.887193,0,0.377992440151197,0.377992440151197,-0.406896,0,5.73469387755102,5.73469387755102,-0.242470,0,0,0.0000,0,2.073915
百田　真登,Manato Hyakuda,FW,フォワード,13.953488372093023,13.953488372093023,0.273690,0,0.19057702488088937,0.19057702488088937,-1.136377,0,1.858125992588671,1.858125992588671,-0.037136,0,30.23255813953488,30.23255813953488,-0.333354,0,0.285865537321334,0.285865537321334,-0.011385,0,2.0486553732133403,2.0486553732133403,-0.447305,0,0.7621651667548967,0.7621651667548967,-1.431924,0,0.4287983059820011,0.4287983059820011,-1.341410,0,0.142932768660667,0.142932768660667,-1.336474,0,4.977777777777778,4.977777777777778,-0.529659,0,0,0.0000,0,2.199722
國武　勇斗,Yuto Kunitake,FW,フォワード,4.3478260869565215,4.3478260869565215,-1.028547,0,0.30434782608695654,0.30434782608695654,-0.730258,0,0.6956521739130435,0.6956521739130435,-1.631813,0,43.47826086956522,43.47826086956522,0.876005,0,0.043478260869565216,0.043478260869565216,-1.353456,0,0.7825652173913044,0.7825652173913044,-1.054210,0,2.260913043478261,2.260913043478261,-0.273509,0,0.9565217391304348,0.9565217391304348,0.020608,0,0.9130434782608695,0.9130434782608695,1.709039,0,5.7272727272727275,5.7272727272727275,-0.245286,0,0,0.0000,3,2.136660
マルクス　ヴィニシウス,Marcus Vinicius Ferreira Teixeira,FW,フォワード,12.025316455696203,12.025316455696203,0.012288,0,1.2622309197651662,1.2622309197651662,2.689027,0,3.1996086105675143,3.1996086105675143,1.803103,0,30.925657894736847,30.925657894736847,-0.270073,0,0.557729941291585,0.557729941291585,1.493899,0,7.073542074363992,7.073542074363992,1.961391,0,4.549549902152642,4.549549902152642,1.495428,0,1.5264187866927592,1.5264187866927592,1.491473,0,0.6751467710371819,0.6751467710371819,0.768243,0,11.73076923076923,11.73076923076923,2.032563,0,0,0.0000,2,3.429175
中野　誠也,Seiya Nakano,FW,フォワード,7.142857142857142,7.142857142857142,-0.649625,0,0.48582995951417,0.48582995951417,-0.082434,0,1.2145748987854252,1.2145748987854252,-0.919957,0,35.714285714285715,35.714285714285715,0.167139,0,0.1214574898785425,0.1214574898785425,-0.921694,0,1.2148178137651824,1.2148178137651824,-0.847008,0,0.97165991902834,0.97165991902834,-1.270001,0,0.242914979757085,0.242914979757085,-1.821162,0,0.48582995951417,0.48582995951417,0.019562,0,8.173913043478262,8.173913043478262,0.683019,0,0,0.0000,0,2.509909
川西　翔太,Shota Kawanishi,FW,フォワード,20.833333333333336,20.833333333333336,1.206388,0,0.3961848862802641,0.3961848862802641,-0.402434,0,1.1885546588407925,1.1885546588407925,-0.955651,0,41.66666666666667,41.66666666666667,0.710603,0,0.3301540719002201,0.3301540719002201,0.233836,0,1.056294937637564,1.056294937637564,-0.922996,0,7.658451944240644,7.446740066375142,3.734730,0,0.7923697725605282,0.7923697725605282,-0.403057,0,0.6603081438004402,0.6603081438004402,0.709561,0,3.5217391304347827,3.5217391304347827,-1.082110,0,0,0.0000,3,3.534162
佐々木　快,Kai  Sasaki,FW,フォワード,16.94915254237288,16.94915254237288,0.679811,0,0.5110410094637224,0.5110410094637224,0.007560,0,2.782334384858044,2.782334384858044,1.230688,0,36.210344827586205,36.210344827586205,0.212430,0,0.5678233438485805,0.5678233438485805,1.549785,0,5.849034700315459,5.849034700315459,1.374419,0,2.0450157728706624,2.0450157728706624,-0.440381,0,0.8517350157728707,0.8517350157728707,-0.249839,0,0.3974763406940063,0.3974763406940063,-0.329845,0,6.584905660377358,6.584905660377358,0.080118,0,0,0.0000,0,2.556299
河村　慶人,Keito  Kawamura,FW,フォワード,,11.200716845878135,-0.099503,1,,0.48721914685770107,-0.077475,1,,1.8918585262617842,0.009138,1,,32.56792929292929,-0.120130,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.3116036390353534,-0.234329,1,,0.9122721406419549,-0.093597,1,,0.4614799583110335,-0.076733,1,13.55,13.410800000000004,2.670001,0,9,0.9000,0,2.534547
安藤　翼,Tsubasa Ando,FW,フォワード,10.16949152542373,10.16949152542373,-0.239306,0,0.7809110629067245,0.7809110629067245,0.970895,0,1.5227765726681128,1.5227765726681128,-0.497167,0,30.508474576271187,30.508474576271187,-0.308163,0,0.23427331887201736,0.23427331887201736,-0.297045,0,1.3664381778741863,1.3664381778741863,-0.774328,0,3.006468546637744,3.006468546637744,0.302747,0,1.0151843817787418,1.0151843817787418,0.172012,0,0.5075921908893709,0.5075921908893709,0.105624,0,4.894736842105263,4.894736842105263,-0.561167,0,0,0.0000,0,1.922024
杉本　健勇,Kenyu Sugimoto,FW,フォワード,14.084507042253522,14.084507042253522,0.291452,0,0.49073064340239914,0.49073064340239914,-0.064941,0,1.766630316248637,1.766630316248637,-0.162650,0,36.233333333333334,36.233333333333334,0.214529,0,0.3271537622682661,0.3271537622682661,0.217224,0,3.174078516902945,3.174078516902945,0.092170,0,5.071112322791712,5.071112322791712,1.898555,0,1.3086150490730644,1.3086150490730644,0.929337,0,0.45801526717557256,0.45801526717557256,-0.090435,0,7.375,7.375,0.379896,0,0,0.0000,2,2.654027
和田　育,Hagumi Wada,FW,フォワード,18.64406779661017,18.64406779661017,0.909590,0,0.38428693424423566,0.38428693424423566,-0.444905,0,1.8445772843723314,1.8445772843723314,-0.055722,0,34.484482758620686,34.484482758620686,0.054855,0,0.4227156276686592,0.4227156276686592,0.746339,0,1.8446541417591802,1.8446541417591802,-0.545094,0,0.9604483347566182,0.9604483347566182,-1.278667,0,0.9222886421861657,0.9222886421861657,-0.067745,0,0.26900085397096496,0.26900085397096496,-0.837919,0,10.153846153846153,10.153846153846153,1.434246,0,0,0.0000,0,2.071525
