FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_out_box_shots_per90,win_out_box_shots_per90,z_out_box_shots_per90,imputed_out_box_shots_per90,raw_box_shots_per90,win_box_shots_per90,z_box_shots_per90,imputed_box_shots_per90,raw_shot_on_target_rate_pct,win_shot_on_target_rate_pct,z_shot_on_target_rate_pct,imputed_shot_on_target_rate_pct,raw_goals_per90,win_goals_per90,z_goals_per90,imputed_goals_per90,raw_aerial_wins_per90,win_aerial_wins_per90,z_aerial_wins_per90,imputed_aerial_wins_per90,raw_successful_forward_passes_per90,win_successful_forward_passes_per90,z_successful_forward_passes_per90,imputed_successful_forward_passes_per90,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_attacking_third_gains_per90,win_attacking_third_gains_per90,z_attacking_third_gains_per90,imputed_attacking_third_gains_per90,raw_sprint_count_full_all_per_match,win_sprint_count_full_all_per_match,z_sprint_count_full_all_per_match,imputed_sprint_count_full_all_per_match,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_0,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
武　颯,Hayate Take,FW,フォワード,20.454545454545457,20.454545454545457,1.155036,0,0.8866995073891626,0.8866995073891626,1.34852,0,1.900070372976777,1.900070372976777,0.020403,0,45.456818181818186,45.456818181818186,1.056652,0,0.5700211118930331,0.5700211118930331,1.561953,0,2.153666432090078,2.153666432090078,-0.396968,0,4.5601688951442645,4.5601688951442645,1.503636,0,1.4567206192821955,1.4567206192821955,1.311587,0,0.633356790992259,0.633356790992259,0.602978,0,6.571428571428571,6.571428571428571,0.075004,0,0,0.0,2,2.790637,3.821331128780258,-3.821331128780258,3.7736409999999996,0.935022,2.106614,91,11,29,13
武藤　雄樹,Yuki Muto,FW,フォワード,30.0,30.0,2.449109,0,0.1446945337620578,0.1446945337620578,-1.30016,0,1.157556270096463,1.157556270096463,-0.998175,0,44.44444444444444,44.44444444444444,0.96422,0,0.4340836012861737,0.4340836012861737,0.809282,0,0.1446945337620578,0.1493247588424437,-1.357756,0,4.630225080385852,4.630225080385852,1.557784,0,1.0128617363344052,1.0128617363344052,0.166018,0,0.1446945337620578,0.1446945337620578,-1.329506,0,4.775,4.775,-0.606597,0,0,0.0,0,4.175968,4.175967635059089,-4.175967635059089,4.222611,-2.1899129999999998,0.22827799999999998,98,4,102,34
アンジェロッティ,Rodrigo Luiz Angelotti,FW,フォワード,0.0,0.0,-1.61798,0,0.0,0.0,-1.816666,0,1.291866028708134,1.291866028708134,-0.813929,0,50.0,50.0,1.471453,0,0.0,0.0,-1.59419,0,3.660717703349283,3.660717703349283,0.325442,0,3.660717703349283,3.660717703349283,0.80843,0,1.7224880382775118,1.7224880382775118,1.997515,0,1.291866028708134,1.291866028708134,3.207147,0,6.5,6.5,0.047903,0,0,0.0,3,4.081679,5.544734930097831,-5.544734930097831,-1.740717,1.5090279999999998,4.015577,109,97,24,5
大野　耀平,Yohei Ono,FW,フォワード,13.636363636363637,13.636363636363637,0.230697,0,0.4035874439461883,0.4035874439461883,-0.376009,0,2.286995515695067,2.286995515695067,0.551185,0,5.0,5.977777777777777,-2.547865,0,0.4035874439461883,0.4035874439461883,0.640429,0,7.399775784753362,7.399775784753362,2.117772,0,0.6723766816143497,0.6723766816143497,-1.501324,0,0.5381165919282511,0.5381165919282511,-1.059267,0,0.0,0.0,-1.901722,0,5.317073170731708,5.317073170731708,-0.400924,0,0,0.0,0,4.015882,4.015881452426602,-4.015881452426602,-1.6767389999999998,1.60969,-3.403046,95,94,22,116
吉澤　柊,Shu Yoshizawa,FW,フォワード,18.181818181818183,18.181818181818183,0.846923,0,0.2504638218923933,0.2504638218923933,-0.922603,0,2.504638218923933,2.504638218923933,0.849746,0,30.303030303030305,30.303030303030305,-0.32692,0,0.5009276437847866,0.5009276437847866,1.179391,0,5.092764378478664,5.092764378478664,1.011899,0,3.4227551020408167,3.4227551020408167,0.624504,0,1.7532467532467533,1.7532467532467533,2.076901,0,0.5009276437847866,0.5009276437847866,0.079268,0,4.607142857142857,4.607142857142857,-0.670286,0,0,0.0,2,2.343733,3.4930223580156197,-3.4930223580156197,1.6993940000000003,3.938546,0.703772,83,19,10,26
矢島　輝一,Kiichi Yajima,FW,フォワード,4.444444444444445,4.444444444444445,-1.015448,0,0.8161582852431987,0.8161582852431987,1.096714,0,2.522671063478978,2.522671063478978,0.874483,0,19.997777777777777,19.997777777777777,-1.267811,0,0.1483924154987634,0.1483924154987634,-0.772558,0,2.5222258862324813,2.5222258862324813,-0.220298,0,3.6350948062654584,3.6350948062654584,0.788626,0,1.706512778235779,1.706512778235779,1.956284,0,0.7419620774938169,0.7419620774938169,1.032474,0,2.784313725490196,2.784313725490196,-1.361904,0,0,0.0,2,2.689844,4.006929850092711,-4.006929850092711,-3.055817,2.610469,1.8211,94,110,15,17
伊藤　恵亮,Keisuke Ito,FW,フォワード,19.230769230769234,19.230769230769234,0.989129,0,0.7568325157673441,0.7568325157673441,0.884943,0,0.7568325157673441,0.7568325157673441,-1.547886,0,33.33333333333333,33.33333333333333,-0.050247,0,0.3153468815697267,0.3153468815697267,0.15185,0,0.3781639803784162,0.3781639803784162,-1.248061,0,1.954772249474422,1.954772249474422,-0.510132,0,0.7568325157673441,0.7568325157673441,-0.494776,0,0.4414856341976174,0.4414856341976174,-0.155804,0,7.064516129032258,7.064516129032258,0.262092,0,0,0.0,0,2.44347,2.4434702407837916,-2.4434702407837916,1.090732,-3.2907230000000003,-0.6659360000000001,51,28,112,80
庵原　篤人,Atsuhito Ihara,FW,フォワード,2.941176470588235,2.941176470588235,-1.219246,0,0.8904109589041096,0.8904109589041096,1.361769,0,1.4383561643835616,1.4383561643835616,-0.612975,0,26.47058823529412,26.47058823529412,-0.67683,0,0.0684931506849315,0.0684931506849315,-1.214951,0,1.0275342465753423,1.0275342465753423,-0.936783,0,1.7124657534246577,1.7124657534246577,-0.697416,0,0.821917808219178,0.821917808219178,-0.326796,0,0.547945205479452,0.547945205479452,0.265206,0,7.795454545454546,7.795454545454546,0.539425,0,0,0.0,0,2.708742,2.708742995810972,-2.708742995810972,-3.111027,-1.876554,-0.43221000000000004,62,111,97,76
田村　翔太,Shota Tamura,FW,フォワード,,11.200716845878135,-0.099503,1,,0.487219146857701,-0.077475,1,,1.891858526261784,0.009138,1,,32.56792929292929,-0.12013,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.311603639035354,-0.234329,1,,0.9122721406419548,-0.093597,1,,0.4614799583110335,-0.076733,1,9.419354838709678,9.419354838709678,1.155565,0,9,0.9,0,1.081086,1.081085594477144,-1.081085594477144,-0.388015,-0.321657,-0.311062,28,70,69,65
碓井　聖生,Shosei Usui,FW,フォワード,11.538461538461538,11.538461538461538,-0.053715,0,1.2413793103448276,1.2413793103448276,2.614594,0,2.1724137931034484,2.1724137931034484,0.394002,0,38.95844155844156,38.95844155844156,0.463337,0,0.3990147783251231,0.3990147783251231,0.61511,0,4.478763546798029,4.478763546798029,0.717575,0,2.5266945812807884,2.5266945812807884,-0.068081,0,1.1527093596059113,1.1527093596059113,0.526955,0,0.3990147783251231,0.3990147783251231,-0.323761,0,6.708333333333333,6.708333333333333,0.126949,0,0,0.0,2,2.576124,3.1539576380000724,-3.1539576380000724,1.0247320000000002,1.6385319999999999,-0.391842,72,31,20,74
太田　龍之介,Ryunosuke Ota,FW,フォワード,,11.200716845878135,-0.099503,1,,0.487219146857701,-0.077475,1,,1.891858526261784,0.009138,1,,32.56792929292929,-0.12013,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.311603639035354,-0.234329,1,,0.9122721406419548,-0.093597,1,,0.4614799583110335,-0.076733,1,7.12,7.12,0.283143,0,9,0.9,0,0.473009,0.4730100973404267,-0.4730100973404267,-0.388015,-0.321657,-0.311062,2,56,55,51
東家　聡樹,Toshiki Toya,FW,フォワード,,11.200716845878135,-0.099503,1,,0.487219146857701,-0.077475,1,,1.891858526261784,0.009138,1,,32.56792929292929,-0.12013,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.311603639035354,-0.234329,1,,0.9122721406419548,-0.093597,1,,0.4614799583110335,-0.076733,1,8.297297297297296,8.297297297297296,0.729834,0,9,0.9,0,0.719321,0.7193219288086524,-0.7193219288086524,-0.388015,-0.321657,-0.311062,19,63,62,58
進　昂平,Kohei Shin,FW,フォワード,50.0,46.80000000000007,4.72668,0,0.0,0.0,-1.816666,0,1.7704918032786887,1.7704918032786887,-0.157353,0,83.33333333333334,82.00000000000004,4.393118,0,0.8852459016393444,0.8668942286099264,3.205707,0,3.54039344262295,3.54039344262295,0.267765,0,1.1794426229508197,1.1794426229508197,-1.109401,0,0.8852459016393444,0.8852459016393444,-0.16335,0,0.5901639344262295,0.5901639344262295,0.432166,0,4.17948717948718,4.17948717948718,-0.832547,0,0,0.0,1,2.27051,7.595134569153795,-7.595134569153795,12.325505,-0.05293800000000001,-0.677235,116,1,39,81
田中　想来,Sora Tanaka,FW,フォワード,,11.200716845878135,-0.099503,1,,0.487219146857701,-0.077475,1,,1.891858526261784,0.009138,1,,32.56792929292929,-0.12013,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.311603639035354,-0.234329,1,,0.9122721406419548,-0.093597,1,,0.4614799583110335,-0.076733,1,9.5,9.5,1.186164,0,9,0.9,0,1.108838,1.1088383285966446,-1.1088383285966446,-0.388015,-0.321657,-0.311062,29,69,68,64
木匠　貴大,Takahiro Kitsui,FW,フォワード,0.0,0.0,-1.61798,0,0.3529411764705882,0.3529411764705882,-0.556798,0,0.9411764705882352,0.9411764705882352,-1.295003,0,54.54545454545454,54.54545454545454,1.886463,0,0.0,0.0,-1.59419,0,2.9416470588235293,2.9416470588235293,-0.019247,0,4.117647058823529,4.117647058823529,1.161601,0,0.3529411764705882,0.3529411764705882,-1.537192,0,0.7058823529411764,0.7058823529411764,0.889791,0,5.552631578947368,5.552631578947368,-0.311548,0,0,0.0,3,2.627017,4.1195119996678,-4.1195119996678,-1.325707,-2.8514419999999996,2.051392,96,89,108,14
河辺　駿太郎,Shuntaro Kawabe,FW,フォワード,23.52941176470588,23.52941176470588,1.571894,0,0.8181818181818181,0.8181818181818181,1.103938,0,0.5727272727272728,0.5727272727272728,-1.80044,0,29.411764705882355,29.411764705882355,-0.408294,0,0.3272727272727272,0.3272727272727272,0.217883,0,0.4906636363636363,0.4906636363636363,-1.194134,0,1.8819,1.8819,-0.566457,0,1.309090909090909,1.309090909090909,0.930565,0,0.0818181818181818,0.0818181818181818,-1.57816,0,10.035714285714286,10.035714285714286,1.389425,0,0,0.0,0,3.641504,3.6415040070251194,-3.6415040070251194,1.381483,-2.064009,-2.144617,89,20,100,112
岩渕　良太,Ryota Iwabuchi,FW,フォワード,6.666666666666667,6.666666666666667,-0.714182,0,1.062730627306273,1.062730627306273,1.976885,0,0.8634686346863468,0.8634686346863468,-1.401603,0,31.031034482758624,31.031034482758624,-0.260452,0,0.1328413284132841,0.1328413284132841,-0.858663,0,1.6603837638376384,1.6603837638376384,-0.633424,0,7.838369003690037,7.446740066375142,3.73473,0,1.2619926199261993,1.2619926199261993,0.809007,0,0.4649446494464945,0.4649446494464945,-0.063031,0,1.4705882352941178,1.4791036414565828,-1.857128,0,0,0.0,3,3.780735,5.561852028087137,-5.561852028087137,-1.833297,-1.2260199999999999,3.671699,110,98,88,7
新谷　聖基,Masaki Shintani,FW,フォワード,,11.200716845878135,-0.099503,1,,0.487219146857701,-0.077475,1,,1.891858526261784,0.009138,1,,32.56792929292929,-0.12013,1,,0.2575107296137339,-0.168382,1,,2.4869689742446455,-0.237198,1,,2.311603639035354,-0.234329,1,,0.9122721406419548,-0.093597,1,,0.4614799583110335,-0.076733,1,6.21875,6.21875,-0.058809,0,9,0.9,0,0.51826,0.5182603243872715,-0.5182603243872715,-0.388015,-0.321657,-0.311062,6,61,60,56
松木　駿之介,Shunnosuke Matsuki,FW,フォワード,21.153846153846153,21.153846153846153,1.24984,0,0.4879518072289157,0.4879518072289157,-0.07486,0,2.2771084337349397,2.2771084337349397,0.537622,0,45.1,45.1,1.024073,0,0.5963855421686747,0.5963855421686747,1.70793,0,4.0659939759036146,4.0659939759036146,0.519713,0,1.9519156626506025,1.9519156626506025,-0.51234,0,0.7048192771084338,0.7048192771084338,-0.629019,0,0.7048192771084338,0.7048192771084338,0.885587,0,11.0,11.0,1.755294,0,0,0.0,0,3.226447,3.2264469130494,-3.2264469130494,3.981843,0.42831600000000003,0.373247,74,7,34,32
