対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,福森　直也,Naoya Fukumori,DF,Central Defender,2607.0,2555.21,CB,センターバック,CB (Position Group: Central Defender),CB,Central Defender,Naoya Fukumori,今治,2024|今治|2555.21,今治,2024|今治|2607.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,浦上　仁騎,Niki Urakami,DF,Central Defender,2597.0,2159.51,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Niki Urakami,大宮,2024|大宮|2159.51,大宮,2024|大宮|2597.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,平松　航,Wataru Hiramatsu,DF,Central Defender,2565.0,2842.66,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Wataru Hiramatsu,栃木SC,2025|栃木SC|2842.66,栃木SC,2025|栃木SC|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,井上　竜太,Ryota Inoue,DF,Central Defender,2563.0,1919.58,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Ryota Inoue,金沢,2024|金沢|1919.58,金沢,2024|金沢|2563.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,高橋　祥平,Shohei Takahashi,DF,Central Defender,2498.0,2651.73,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Shohei Takahashi,松本,2025|松本|1645.82; 2024|松本|1005.91,松本,2024|松本|1015.00; 2025|松本|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,森　侑里,Yuri Mori,DF,Central Defender,2496.0,1842.74,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Yuri Mori,琉球,2024|琉球|1842.74,琉球,2024|琉球|2496.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,松本　大輔,Daisuke Matsumoto,DF,Central Defender,2480.0,2856.49,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Daisuke Matsumoto,金沢,2025|金沢|2856.49,金沢,2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,中里　崇宏,Takahiro Nakazato,MF,Midfield,2453.0,1470.2,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Takahiro Nakazato,YS横浜,2024|YS横浜|1470.20,YS横浜,2024|YS横浜|2453.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,柳下　大樹,Daiki Yagishita,DF,Central Defender,2405.0,1970.62,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Daiki Yagishita,八戸,2024|八戸|1652.49; 2025|八戸|318.13,八戸,2024|八戸|2145.00; 2025|八戸|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,山下　諒時,Ryoji Yamashita,DF,Central Defender,2357.0,1607.88,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Ryoji Yamashita,相模原,2024|相模原|1607.88,相模原,2024|相模原|2357.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,大和　優槻,Yuzuki  Yamato,DF,Central Defender,2353.0,1753.45,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Yuzuki Yamato,岩手,2024|岩手|1377.53; 2025|琉球|375.92,岩手,2024|岩手|2030.00; 2025|琉球|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,近石　哲平,Teppei Chikaishi,DF,Central Defender,2347.0,1781.13,CB,センターバック,CB (Position Group: Central Defender),CB,Central Defender,Teppei Chikaishi,八戸,2024|八戸|1577.90; 2025|八戸|203.23,八戸,2024|八戸|2166.00; 2025|八戸|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,永野　修都,Shuto Nagano,DF,Central Defender,2330.0,2462.06,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Shuto Nagano,鳥取,2025|鳥取|2462.06,鳥取,2025|鳥取|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
