FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_aerial_duel_win_rate_pct,raw_tackle_win_rate_pct,raw_interceptions_per90,raw_blocks_per90,raw_clearances_per90,raw_pass_success_rate_pct,raw_successful_forward_passes_per90,raw_successful_long_passes_per90,raw_medaccel_count_full_all_per_match,raw_highaccel_count_full_all_per_match,win_aerial_duel_win_rate_pct,win_tackle_win_rate_pct,win_interceptions_per90,win_blocks_per90,win_clearances_per90,win_pass_success_rate_pct,win_successful_forward_passes_per90,win_successful_long_passes_per90,win_medaccel_count_full_all_per_match,win_highaccel_count_full_all_per_match,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,imputed_aerial_duel_win_rate_pct,imputed_tackle_win_rate_pct,imputed_interceptions_per90,imputed_blocks_per90,imputed_clearances_per90,imputed_pass_success_rate_pct,imputed_successful_forward_passes_per90,imputed_successful_long_passes_per90,imputed_medaccel_count_full_all_per_match,imputed_highaccel_count_full_all_per_match
野々村　鷹人,Takato Nonomura,CB,センターバック,67.73410138248848,59.45945945945946,0.0818926296633303,2.8662420382165603,4.422202001819836,76.05244407622203,12.48817561419472,2.293157415832575,101.96,5.26,67.73410138248848,59.45945945945946,0.0818926296633303,2.8662420382165603,4.422202001819836,76.05244407622203,12.48817561419472,2.293157415832575,101.96,5.26,0.9350871539421867,-0.2912793400214755,-0.11242811122730234,1.2217460365140473,0.24493090224363648,-0.4463945171144808,-0.15607097257525857,-0.6192722143019493,0.7347496809804603,0.5298031575645167,0,0,0,0,0,0,0,0,0,0
野澤　陸,Riku Nozawa,CB,センターバック,63.28860759493672,73.34333333333333,0.278853601859024,2.09140201394268,4.601084430673896,80.03128430296377,16.035127807900853,7.530023237800155,91.54166666666667,4.291666666666667,63.28860759493672,73.34333333333333,0.278853601859024,2.09140201394268,4.601084430673896,80.03128430296377,16.035127807900853,7.459544677891115,91.54166666666667,4.291666666666667,0.49030881099412904,0.8332929320985338,1.9369159908617113,0.0018470542895855258,0.4005823730520391,0.22509053107124216,0.8572460172555678,3.0015049619425613,0.13714579791558587,-0.37288665708843616,0,0,0,0,0,0,0,0,0,0
大嶋　春樹,Haruki Oshima,CB,センターバック,60.41006711409397,72.73030303030303,0.3331790837575197,2.124016658954188,4.7061545580749655,82.99567486950036,12.077491901897272,2.457528921795465,101.77777777777777,4.777777777777778,60.41006711409397,72.73030303030303,0.3331790837575197,2.124016658954188,4.7061545580749655,82.99567486950036,12.077491901897272,2.457528921795465,101.77777777777777,4.777777777777778,0.20230650430701425,0.7836384273817716,2.502163027778295,0.053195166169112504,0.49200733844841876,0.7253729824835167,-0.2733978381180869,-0.5040751593722668,0.7242972694385589,0.08027088038794568,0,0,0,0,0,0,0,0,0,0
大森　博,Hiroshi  Omori,CB,センターバック,60.81891891891892,47.82608695652174,0.07194244604316546,2.446043165467626,5.107913669064748,90.22122416534181,29.637769784172658,1.8705035971223023,103.74,6.02,60.81891891891892,47.82608695652174,0.07194244604316546,2.446043165467626,5.107913669064748,88.83761591807635,23.452480465116285,1.8705035971223023,103.74,6.02,0.2432127426129982,-1.2335644880207934,-0.21595801306200374,0.5601898944205097,0.8415911233782085,1.7112824040622647,2.976284858675582,-0.9154821619141577,0.8368518961641569,1.2382825990133062,0,0,0,0,0,0,0,0,0,0
深川　大輔,Daisuke  Fukagawa,CB,センターバック,66.66021505376344,57.45319148936171,0.12391005048187241,2.4368976594768244,3.634694814134924,75.99626666666666,7.766062413951353,3.139013308857274,90.88636363636364,4.454545454545454,66.66021505376344,57.45319148936171,0.12391005048187241,2.4368976594768244,3.634694814134924,75.99626666666666,7.766062413951353,3.139013308857274,90.88636363636364,4.454545454545454,0.8276432107873488,-0.45378393708930426,0.3247557256493621,0.5457913178103747,-0.4403049413245933,-0.45587524225360765,-1.5051158066730306,-0.026468083193233967,0.09955709510068225,-0.22104945621972694,0,0,0,0,0,0,0,0,0,0
澤田　雄大,Yudai Sawada,CB,センターバック,48.93617021276596,62.8,0.21251475796930341,3.0283353010625738,4.250295159386068,83.40649558941459,12.27198347107438,5.206558441558442,115.8,7.0285714285714285,48.93617021276596,62.8,0.21251475796930341,3.0283353010625738,4.250295159386068,83.40649558941459,12.27198347107438,5.206558441558442,115.8,7.0285714285714285,-0.9456741463959224,-0.0207007320687018,1.2466720458342349,1.4769437549806406,0.0953491180613883,0.7947047362577061,-0.21783418778873326,1.4225367721564948,1.528623084431224,2.1784827600336927,0,0,0,0,0,0,0,0,0,0
畑尾　大翔,Hiroto Hatao,CB,センターバック,58.53821138211382,60.0,0.07901668129938542,1.106233538191396,3.555750658472344,87.05982203969883,12.801057945566285,3.63472783143108,77.95348837209302,3.744186046511628,58.53821138211382,60.0,0.07901668129938542,1.106233538191396,3.555750658472344,87.05982203969883,12.801057945566285,3.63472783143108,77.95348837209302,3.744186046511628,0.015024521585705409,-0.2474963937508001,-0.14235184561924621,-1.5491905576547051,-0.5089968414699844,1.4112547728788476,-0.06668465866911939,0.32094525193352863,-0.6422829123018258,-0.8832534517877506,0,0,0,0,0,0,0,0,0,0
常田　克人,Masato Tokida,CB,センターバック,72.37368421052632,55.17931034482759,0.11925795053003535,2.1068904593639575,5.207597173144877,79.45448275862068,13.953975265017666,3.816969964664312,106.63157894736842,7.421052631578948,72.37368421052632,55.17931034482759,0.11925795053003535,2.1068904593639575,5.207597173144877,79.45448275862068,13.953975265017666,3.816969964664312,106.63157894736842,7.035380952380953,1.3992843974527673,-0.6379647866468264,0.2763514479270048,0.026231879819683758,0.9283290110779892,0.12774718710038227,0.2626884605241219,0.44866664080558116,1.0027151635264366,2.1848306648035662,0,0,0,0,0,0,0,0,0,0
二階堂　正哉,Seiya Nikaido,CB,センターバック,57.51592920353982,70.37777777777778,0.0,1.8078175895765471,4.348534201954397,86.49421364985163,15.099674267100976,4.34799674267101,89.375,4.3,57.51592920353982,70.37777777777778,0.0,1.8078175895765471,4.348534201954397,86.49421364985163,15.099674267100976,4.34799674267101,89.375,4.3,-0.08725634869347314,0.5930875269280891,-0.9645064480379035,-0.4446249138862289,0.18083013240430507,1.3158004305913185,0.5899994026065365,0.8208279868784276,0.012864075313707882,-0.36511824216027006,0,0,0,0,0,0,0,0,0,0
江川　慶城,Genki Egawa,CB,センターバック,63.041304347826085,59.09090909090909,0.0,1.9883720930232558,5.337209302325582,81.63008631319359,8.894982558139535,2.511627906976744,85.26086956521739,4.413043478260869,63.041304347826085,59.09090909090909,0.0,1.9883720930232558,5.337209302325582,81.63008631319359,8.894982558139535,2.511627906976744,85.26086956521739,4.413043478260869,0.4655657489829863,-0.32113134884239036,-0.9645064480379035,-0.16036203627211518,1.041108777491182,0.4949107760921751,-1.1825983607660817,-0.46616077919389853,-0.22312571735256667,-0.259738004873837,0,0,0,0,0,0,0,0,0,0
