player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Jumpei Tanaka,Jumpei Tanaka,宮崎,2024|宮崎,2024|宮崎|6.45,2024-2025,6.45,LDM,6.45,100.0,Midfield,,,,,LDM(6min/100.0%),CMF,セントラルMF,LDM (Position Group: Midfield)
Jun Kobayashi,Jun Kobayashi,高知,2025|高知,2025|高知|8.10,2024-2025,8.1,Right Center Back,8.1,100.0,Central Defender,,,,,Right Center Back(8min/100.0%),CB,センターバック,Right Center Back (Position Group: Central Defender)
Junsei Ishikura,Junsei Ishikura,讃岐,2025|讃岐,2025|讃岐|39.27,2024-2025,39.27,Right Midfield,23.3,59.33,Midfield,Left Midfield,13.82,35.19,Midfield,"Right Midfield(23min/59.3%), Left Midfield(14min/35.2%), Left Wing Back(2min/5.5%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Junya Imase,Junya Imase,富山,2024|富山,2024|富山|1171.71,2024-2025,1171.71,LCB,1105.04,94.31,Central Defender,RCB,66.67,5.69,Central Defender,"LCB(1105min/94.3%), RCB(67min/5.7%)",CB,センターバック,LCB (Position Group: Central Defender)
Junya Kato,Junya Kato,今治,2024|今治,2024|今治|765.64,2024-2025,765.64,AM,437.15,57.1,Midfield,RF,150.99,19.72,Wide Attacker,"AM(437min/57.1%), RF(151min/19.7%), RM(90min/11.7%), RWB(88min/11.5%)",ST,セカンドトップ,AM (Position Group: Midfield)
Junya Suzuki,Junya Suzuki,琉球,2025|琉球; 2024|琉球,2025|琉球|3262.71; 2024|琉球|2386.76,2024-2025,5649.47,Center Back,1883.93,33.35,Central Defender,Left Center Back,1378.78,24.41,Central Defender,"Center Back(1884min/33.3%), Left Center Back(1379min/24.4%), LCB(906min/16.0%), RCB(893min/15.8%), CB(588min/10.4%)",CB,センターバック,Center Back (Position Group: Central Defender)
Justin Homma,Justin Homma,松本,2025|松本,2025|松本|98.72,2024-2025,98.72,Right Wing Back,98.72,100.0,Full Back,,,,,Right Wing Back(99min/100.0%),SB,サイドバック,Right Wing Back (Position Group: Full Back)
Justin Kinjo,Justin Kinjo,相模原,2024|相模原,2024|相模原|379.37,2024-2025,379.37,LCB,197.43,52.04,Central Defender,CB,122.47,32.28,Central Defender,"LCB(197min/52.0%), CB(122min/32.3%), LM(33min/8.8%), DM(26min/6.9%)",CB,センターバック,LCB (Position Group: Central Defender)
Kagetora Hoshi,Kagetora Hoshi,鳥取,2025|鳥取,2025|鳥取|17.28,2024-2025,17.28,Center Forward,17.28,100.0,Center Forward,,,,,Center Forward(17min/100.0%),FW,フォワード,Center Forward (Position Group: Center Forward)
Kai Miki,Kai Miki,相模原,2025|相模原; 2024|相模原,2025|相模原|830.55; 2024|相模原|435.40,2024-2025,1265.95,Right Wing Back,790.63,62.45,Full Back,RWB,435.4,34.39,Full Back,"Right Wing Back(791min/62.5%), RWB(435min/34.4%), Center Forward(23min/1.8%), Left Wing Back(17min/1.3%)",SB,サイドバック,Right Wing Back (Position Group: Full Back)
Kai Sasaki,Kai Sasaki,岐阜,2025|岐阜; 2024|八戸; 2025|八戸,2025|岐阜|1248.06; 2024|八戸|1204.26; 2025|八戸|273.04,2024-2025,2725.36,Center Forward,1345.17,49.36,Center Forward,CF,1204.26,44.19,Center Forward,"Center Forward(1345min/49.4%), CF(1204min/44.2%), Attacking Midfield(52min/1.9%), Right Midfield(32min/1.2%), Left Wing Back(30min/1.1%), Center Midfield(27min/1.0%), Defensive Midfield(19min/0.7%), Left Midfield(16min/0.6%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Kaiga Murakoshi,Kaiga Murakoshi,松本,2025|松本; 2024|松本,2025|松本|2284.56; 2024|松本|1962.49,2024-2025,4247.05,Right Winger,1839.92,43.32,Wide Attacker,RF,753.07,17.73,Wide Attacker,"Right Winger(1840min/43.3%), RF(753min/17.7%), LW(549min/12.9%), RW(492min/11.6%), Left Winger(408min/9.6%), LF(162min/3.8%), Left Midfield(37min/0.9%), LB(7min/0.2%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Kaima Akahoshi,Kaima Akahoshi,讃岐,2024|讃岐,2024|讃岐|1024.76,2024-2025,1024.76,CF,813.88,79.42,Center Forward,RF,97.61,9.53,Wide Attacker,"CF(814min/79.4%), RF(98min/9.5%), AM(60min/5.9%), LM(53min/5.2%)",FW,フォワード,CF (Position Group: Center Forward)
Kaisei Ishii,Kaisei Ishii,琉球,2024|琉球,2024|琉球|63.43,2024-2025,63.43,CF,63.43,100.0,Center Forward,,,,,CF(63min/100.0%),FW,フォワード,CF (Position Group: Center Forward)
Kaisei Kano,Kaisei Kano,福島,2025|福島,2025|福島|1965.48,2024-2025,1965.48,Left Midfield,1438.63,73.19,Midfield,Right Midfield,465.48,23.68,Midfield,"Left Midfield(1439min/73.2%), Right Midfield(465min/23.7%), Right Forward(36min/1.8%), Defensive Midfield(13min/0.6%), Left Winger(12min/0.6%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Kaishin Sekiguchi,Kaishin Sekiguchi,大宮,2024|大宮,2024|大宮|221.76,2024-2025,221.76,RWB,190.39,85.85,Full Back,LM,17.32,7.81,Midfield,"RWB(190min/85.9%), LM(17min/7.8%), LWB(14min/6.3%)",SB,サイドバック,RWB (Position Group: Full Back)
Kaito Hayashida,Kaito Hayashida,讃岐,2025|讃岐; 2024|FC大阪; 2025|FC大阪,2025|讃岐|941.39; 2024|FC大阪|502.80; 2025|FC大阪|49.19,2024-2025,1493.38,Right Center Back,546.67,36.61,Central Defender,Center Back,394.72,26.43,Central Defender,"Right Center Back(547min/36.6%), Center Back(395min/26.4%), LCB(309min/20.7%), RCB(149min/10.0%), LB(33min/2.2%), Right Back(25min/1.7%), Right Winger(16min/1.1%), RB(12min/0.8%), Left Back(8min/0.6%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Kaito Kamiya,Kaito Kamiya,琉球,2025|琉球,2025|琉球|804.31,2024-2025,804.31,Left Center Back,577.91,71.85,Central Defender,Center Back,120.83,15.02,Central Defender,"Left Center Back(578min/71.9%), Center Back(121min/15.0%), Left Wing Back(69min/8.6%), Right Winger(19min/2.3%), Right Wing Back(13min/1.6%), Left Back(5min/0.6%)",CB,センターバック,Left Center Back (Position Group: Central Defender)
Kaito Konomi,Kaito Konomi,北九州,2025|北九州,2025|北九州|1451.61,2024-2025,1451.61,Left Back,1200.12,82.68,Full Back,Left Wing Back,119.8,8.25,Full Back,"Left Back(1200min/82.7%), Left Wing Back(120min/8.3%), Right Winger(60min/4.1%), Attacking Midfield(30min/2.0%), Left Winger(18min/1.3%), Right Defensive Midfield(12min/0.8%), Center Forward(12min/0.8%)",SB,サイドバック,Left Back (Position Group: Full Back)
Kaito Miyake,Kaito Miyake,MIO Biwako Shiga,2025|MIO Biwako Shiga,2025|MIO Biwako Shiga|65.56,2024-2025,65.56,Center Forward,65.56,100.0,Center Forward,,,,,Center Forward(66min/100.0%),FW,フォワード,Center Forward (Position Group: Center Forward)
Kaito Miyazaki,Kaito Miyazaki,沼津,2025|沼津; 2025|金沢,2025|沼津|1494.13; 2025|金沢|45.62,2024-2025,1539.75,Center Back,1092.25,70.94,Central Defender,Left Center Back,203.77,13.23,Central Defender,"Center Back(1092min/70.9%), Left Center Back(204min/13.2%), Right Center Back(198min/12.9%), Right Wing Back(46min/3.0%)",CB,センターバック,Center Back (Position Group: Central Defender)
Kaito Satori,Kaito Satori,相模原,2025|相模原,2025|相模原|79.58,2024-2025,79.58,Center Forward,79.58,100.0,Center Forward,,,,,Center Forward(80min/100.0%),FW,フォワード,Center Forward (Position Group: Center Forward)
Kaito Utaka,Kaito Utaka,FC大阪,2024|FC大阪,2024|FC大阪|185.99,2024-2025,185.99,LW,100.62,54.1,Wide Attacker,CF,45.69,24.57,Center Forward,"LW(101min/54.1%), CF(46min/24.6%), RW(40min/21.3%)",SH,サイドハーフ,LW (Position Group: Wide Attacker)
Kaiyo Yanagimachi,Kaiyo Yanagimachi,沼津,2025|沼津; 2024|沼津,2025|沼津|2678.82; 2024|沼津|457.62,2024-2025,3136.44,Left Midfield,936.19,29.85,Midfield,Right Winger,570.84,18.2,Wide Attacker,"Left Midfield(936min/29.8%), Right Winger(571min/18.2%), Left Winger(450min/14.4%), Right Midfield(283min/9.0%), Center Forward(224min/7.1%), CF(148min/4.7%), RM(138min/4.4%), Right Forward(97min/3.1%), Left Forward(95min/3.0%), AM(85min/2.7%), LM(32min/1.0%), Right Wing Back(23min/0.7%), RW(21min/0.7%), LF(18min/0.6%), RDM(16min/0.5%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Kakeru Higuchi,Kakeru Higuchi,長野,2025|長野,2025|長野|569.92,2024-2025,569.92,Left Winger,150.88,26.47,Wide Attacker,Right Midfield,130.15,22.84,Midfield,"Left Winger(151min/26.5%), Right Midfield(130min/22.8%), Right Winger(124min/21.7%), Center Forward(71min/12.4%), Left Forward(43min/7.6%), Left Wing Back(37min/6.5%), Left Midfield(14min/2.4%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker)
Kakeru Sakamoto,Kakeru Sakamoto,北九州,2024|北九州; 2025|北九州; 2025|FC大阪,2024|北九州|1038.63; 2025|北九州|199.56; 2025|FC大阪|18.57,2024-2025,1256.76,RB,924.14,73.53,Full Back,Right Back,145.38,11.57,Full Back,"RB(924min/73.5%), Right Back(145min/11.6%), RCB(99min/7.9%), Left Back(73min/5.8%), LCB(13min/1.1%), RW(2min/0.2%)",SB,サイドバック,RB (Position Group: Full Back)
Kakeru Watai,Kakeru Watai,沼津,2025|沼津,2025|沼津|788.11,2024-2025,788.11,Right Midfield,511.81,64.94,Midfield,Left Midfield,183.44,23.28,Midfield,"Right Midfield(512min/64.9%), Left Midfield(183min/23.3%), Right Winger(67min/8.5%), Left Winger(19min/2.5%), Left Wing Back(7min/0.8%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Kanta Jojo,Kanta Jojo,福島,2025|福島; 2024|福島,2025|福島|3025.99; 2024|福島|1445.14,2024-2025,4471.13,Right Midfield,2898.04,64.82,Midfield,RM,1296.16,28.99,Midfield,"Right Midfield(2898min/64.8%), RM(1296min/29.0%), RW(95min/2.1%), Defensive Midfield(88min/2.0%), Center Forward(40min/0.9%), CF(35min/0.8%), LM(19min/0.4%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Kanta Komatsu,Kanta Komatsu,岩手,2024|岩手,2024|岩手|395.32,2024-2025,395.32,LF,297.37,75.22,Wide Attacker,CF,56.7,14.34,Center Forward,"LF(297min/75.2%), CF(57min/14.3%), AM(27min/6.9%), RCB(14min/3.6%)",SH,サイドハーフ,LF (Position Group: Wide Attacker)
Kanta Usui,Kanta Usui,讃岐,2024|讃岐,2024|讃岐|43.40,2024-2025,43.4,RWB,14.68,33.82,Full Back,LCB,12.92,29.77,Central Defender,"RWB(15min/33.8%), LCB(13min/29.8%), RB(12min/27.3%), LWB(4min/9.1%)",SB,サイドバック,RWB (Position Group: Full Back)
Kaoru Yamawaki,Kaoru Yamawaki,北九州,2025|北九州; 2024|北九州,2025|北九州|3428.59; 2024|北九州|1569.03,2024-2025,4997.62,Right Back,2845.32,56.93,Full Back,RB,1423.71,28.49,Full Back,"Right Back(2845min/56.9%), RB(1424min/28.5%), Right Wing Back(481min/9.6%), Left Back(102min/2.0%), RCB(60min/1.2%), LW(34min/0.7%), LWB(25min/0.5%), RW(13min/0.3%), RWB(13min/0.3%)",SB,サイドバック,Right Back (Position Group: Full Back)
Katsuya Nakano,Katsuya Nakano,栃木SC,2025|栃木SC; 2024|大宮,2025|栃木SC|1932.40; 2024|大宮|418.44,2024-2025,2350.84,Right Winger,1833.2,77.98,Wide Attacker,RW,329.7,14.02,Wide Attacker,"Right Winger(1833min/78.0%), RW(330min/14.0%), Left Winger(99min/4.2%), RF(53min/2.2%), LM(21min/0.9%), RM(15min/0.6%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Kazuak Ihori,Kazuak Ihori,鹿児島,2025|鹿児島,2025|鹿児島|125.90,2024-2025,125.9,Left Midfield,86.15,68.43,Midfield,Right Midfield,22.23,17.66,Midfield,"Left Midfield(86min/68.4%), Right Midfield(22min/17.7%), Right Winger(18min/13.9%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Kazuaki Mawatari,Kazuaki Mawatari,松本,2024|松本; 2025|松本,2024|松本|589.09; 2025|松本|496.63,2024-2025,1085.72,RB,562.48,51.81,Full Back,Left Wing Back,261.41,24.08,Full Back,"RB(562min/51.8%), Left Wing Back(261min/24.1%), Right Wing Back(206min/19.0%), Right Midfield(29min/2.7%), LWB(15min/1.4%), LF(11min/1.0%)",SB,サイドバック,RB (Position Group: Full Back)
Kazuaki Saso,Kazuaki Saso,松本,2024|松本; 2025|松本,2024|松本|1034.59; 2025|松本|835.85,2024-2025,1870.44,Right Winger,664.51,35.53,Wide Attacker,RWB,603.59,32.27,Full Back,"Right Winger(665min/35.5%), RWB(604min/32.3%), RW(273min/14.6%), RF(79min/4.2%), Right Wing Back(78min/4.2%), Left Winger(53min/2.8%), RB(37min/2.0%), Right Center Back(29min/1.5%), AM(28min/1.5%), CF(14min/0.7%), Center Forward(12min/0.6%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Kazuki Chibu,Kazuki Chibu,鹿児島,2025|鹿児島,2025|鹿児島|3479.20,2024-2025,3479.2,Left Center Back,2680.03,77.03,Central Defender,Right Center Back,799.17,22.97,Central Defender,"Left Center Back(2680min/77.0%), Right Center Back(799min/23.0%)",CB,センターバック,Left Center Back (Position Group: Central Defender)
Kazuki Dohana,Kazuki Dohana,福島,2024|福島,2024|福島|977.50,2024-2025,977.5,LCB,977.5,100.0,Central Defender,,,,,LCB(978min/100.0%),CB,センターバック,LCB (Position Group: Central Defender)
Kazuki Fukui,Kazuki Fukui,相模原,2025|相模原; 2024|相模原,2025|相模原|1186.62; 2024|相模原|1017.32,2024-2025,2203.94,RM,419.92,19.05,Midfield,Right Winger,417.85,18.96,Wide Attacker,"RM(420min/19.1%), Right Winger(418min/19.0%), CF(204min/9.2%), Right Midfield(194min/8.8%), Right Wing Back(180min/8.2%), RW(168min/7.6%), AM(139min/6.3%), Left Winger(110min/5.0%), Attacking Midfield(98min/4.5%), Left Midfield(82min/3.7%), Center Forward(77min/3.5%), RF(60min/2.7%), Left Wing Back(28min/1.2%), DM(27min/1.2%)",SH,サイドハーフ,RM (Position Group: Midfield)
Kazuki Iwamoto,Kazuki Iwamoto,讃岐,2025|讃岐; 2024|讃岐,2025|讃岐|2315.67; 2024|讃岐|860.29,2024-2025,3175.96,Left Midfield,2153.25,67.8,Midfield,LM,727.33,22.9,Midfield,"Left Midfield(2153min/67.8%), LM(727min/22.9%), RM(133min/4.2%), Right Midfield(128min/4.0%), Right Wing Back(34min/1.1%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Kazuki Nishiya,Kazuki Nishiya,金沢,2025|金沢; 2024|金沢,2025|金沢|3534.32; 2024|金沢|1497.65,2024-2025,5031.97,Left Wing Back,2309.13,45.89,Full Back,Left Winger,802.35,15.95,Wide Attacker,"Left Wing Back(2309min/45.9%), Left Winger(802min/15.9%), LF(670min/13.3%), LW(384min/7.6%), AM(358min/7.1%), Right Winger(191min/3.8%), Right Wing Back(86min/1.7%), CF(86min/1.7%), Right Midfield(77min/1.5%), Center Forward(68min/1.4%)",SB,サイドバック,Left Wing Back (Position Group: Full Back)
Kazuki Someya,Kazuki Someya,沼津,2024|沼津,2024|沼津|72.05,2024-2025,72.05,RF,44.32,61.51,Wide Attacker,RW,27.73,38.49,Wide Attacker,"RF(44min/61.5%), RW(28min/38.5%)",SH,サイドハーフ,RF (Position Group: Wide Attacker)
Kazuki Sota,Kazuki Sota,琉球,2025|琉球,2025|琉球|1952.20,2024-2025,1952.2,Right Winger,1383.92,70.89,Wide Attacker,Center Forward,339.1,17.37,Center Forward,"Right Winger(1384min/70.9%), Center Forward(339min/17.4%), Right Midfield(107min/5.5%), Attacking Midfield(51min/2.6%), Left Defensive Midfield(46min/2.3%), Left Midfield(25min/1.3%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Kazuma Nagata,Kazuma Nagata,八戸,2025|八戸; 2024|八戸,2025|八戸|2958.68; 2024|八戸|1559.33,2024-2025,4518.01,Left Midfield,1534.0,33.95,Midfield,LM,1361.56,30.14,Midfield,"Left Midfield(1534min/34.0%), LM(1362min/30.1%), Left Wing Back(818min/18.1%), Right Midfield(534min/11.8%), LW(174min/3.8%), Center Forward(72min/1.6%), CF(24min/0.5%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Kazuma Takai,Kazuma Takai,相模原,2025|相模原; 2024|松本,2025|相模原|250.64; 2024|松本|128.42,2024-2025,379.06,Center Forward,183.21,48.33,Center Forward,LM,37.2,9.81,Midfield,"Center Forward(183min/48.3%), LM(37min/9.8%), LW(26min/6.9%), CF(26min/6.7%), RW(25min/6.5%), Left Wing Back(24min/6.5%), Right Wing Back(23min/6.0%), Left Midfield(20min/5.4%), LF(15min/3.9%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Kazuma Yagi,Kazuma Yagi,栃木SC,2025|栃木SC,2025|栃木SC|275.32,2024-2025,275.32,Right Winger,211.92,76.97,Wide Attacker,Left Winger,39.27,14.26,Wide Attacker,"Right Winger(212min/77.0%), Left Winger(39min/14.3%), Right Wing Back(24min/8.8%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Kazuma Yamaguchi,Kazuma Yamaguchi,松本,2024|松本; 2025|群馬,2024|松本|535.66; 2025|群馬|289.86,2024-2025,825.52,LW,185.51,22.47,Wide Attacker,CF,144.9,17.55,Center Forward,"LW(186min/22.5%), CF(145min/17.6%), Center Forward(130min/15.8%), LF(79min/9.5%), AM(72min/8.8%), Left Winger(69min/8.4%), Right Winger(58min/7.1%), Left Wing Back(32min/3.9%), RF(25min/3.0%), DM(16min/2.0%), LM(13min/1.5%)",SH,サイドハーフ,LW (Position Group: Wide Attacker)
Kazumasa Shimizu,Kazumasa Shimizu,福島,2025|福島; 2024|福島,2025|福島|2063.83; 2024|福島|553.49,2024-2025,2617.32,Center Forward,693.36,26.49,Center Forward,Right Forward,598.46,22.87,Wide Attacker,"Center Forward(693min/26.5%), Right Forward(598min/22.9%), Right Winger(524min/20.0%), LF(367min/14.0%), Left Forward(248min/9.5%), RF(76min/2.9%), LW(71min/2.7%), LM(22min/0.8%), CF(18min/0.7%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Kazushi Fujii,Kazushi Fujii,大宮,2024|大宮,2024|大宮|763.34,2024-2025,763.34,CF,507.18,66.44,Center Forward,RW,139.32,18.25,Wide Attacker,"CF(507min/66.4%), RW(139min/18.3%), AM(63min/8.2%), LF(41min/5.4%), LWB(13min/1.7%)",FW,フォワード,CF (Position Group: Center Forward)
Kazuto Takezawa,Kazuto Takezawa,琉球,2024|琉球,2024|琉球|939.18,2024-2025,939.18,RW,702.43,74.79,Wide Attacker,RM,82.55,8.79,Midfield,"RW(702min/74.8%), RM(83min/8.8%), AM(63min/6.8%), LW(62min/6.6%), RWB(19min/2.0%), CF(10min/1.0%)",SH,サイドハーフ,RW (Position Group: Wide Attacker)
Kazuya Ando,Kazuya Ando,長野,2025|長野; 2024|長野,2025|長野|2015.05; 2024|長野|621.06,2024-2025,2636.11,Right Wing Back,1927.5,73.12,Full Back,LWB,399.15,15.14,Full Back,"Right Wing Back(1928min/73.1%), LWB(399min/15.1%), RWB(198min/7.5%), Left Winger(40min/1.5%), Left Forward(29min/1.1%), RW(17min/0.6%), Left Wing Back(11min/0.4%), Left Midfield(7min/0.3%), LW(7min/0.3%)",SB,サイドバック,Right Wing Back (Position Group: Full Back)
Kazuya Mima,Kazuya Mima,FC大阪,2024|FC大阪; 2025|FC大阪,2024|FC大阪|2505.11; 2025|FC大阪|684.32,2024-2025,3189.43,RB,2505.11,78.54,Full Back,Right Back,659.5,20.68,Full Back,"RB(2505min/78.5%), Right Back(660min/20.7%), Right Winger(25min/0.8%)",SB,サイドバック,RB (Position Group: Full Back)
Kazuya Sunamori,Kazuya Sunamori,長野,2025|長野; 2024|長野,2025|長野|1527.84; 2024|長野|437.36,2024-2025,1965.2,Left Center Back,1270.5,64.65,Central Defender,LCB,322.25,16.4,Central Defender,"Left Center Back(1270min/64.6%), LCB(322min/16.4%), Right Center Back(192min/9.7%), LB(90min/4.6%), Right Wing Back(66min/3.3%), LWB(25min/1.3%)",CB,センターバック,Left Center Back (Position Group: Central Defender)
Kei Ikoma,Kei Ikoma,奈良,2025|奈良; 2024|奈良,2025|奈良|2219.01; 2024|奈良|2188.37,2024-2025,4407.38,RB,1044.72,23.7,Full Back,Right Back,673.74,15.29,Full Back,"RB(1045min/23.7%), Right Back(674min/15.3%), Center Back(598min/13.6%), RWB(394min/8.9%), RCB(351min/8.0%), Left Back(335min/7.6%), CB(301min/6.8%), Right Center Back(288min/6.5%), Left Center Back(228min/5.2%), LM(98min/2.2%), Right Winger(32min/0.7%), Center Forward(27min/0.6%), Left Wing Back(25min/0.6%), Left Midfield(12min/0.3%)",SB,サイドバック,RB (Position Group: Full Back)
Kei Munechika,Kei Munechika,讃岐,2024|讃岐,2024|讃岐|2294.51,2024-2025,2294.51,CB,1497.77,65.28,Central Defender,RCB,496.16,21.62,Central Defender,"CB(1498min/65.3%), RCB(496min/21.6%), LCB(301min/13.1%)",CB,センターバック,CB (Position Group: Central Defender)
Kei Oshiro,Kei Oshiro,鳥取,2024|鳥取,2024|鳥取|786.72,2024-2025,786.72,RCB,371.95,47.28,Central Defender,CB,311.45,39.59,Central Defender,"RCB(372min/47.3%), CB(311min/39.6%), LCB(103min/13.1%)",CB,センターバック,RCB (Position Group: Central Defender)
Kei Sakamoto,Kei Sakamoto,鳥取,2024|鳥取,2024|鳥取|34.38,2024-2025,34.38,LB,27.25,79.26,Full Back,LCB,7.13,20.74,Central Defender,"LB(27min/79.3%), LCB(7min/20.7%)",SB,サイドバック,LB (Position Group: Full Back)
Keigo Hashimoto,Keigo Hashimoto,宮崎,2025|宮崎; 2024|宮崎,2025|宮崎|3318.84; 2024|宮崎|2226.53,2024-2025,5545.37,Center Forward,3318.84,59.85,Center Forward,CF,2126.26,38.34,Center Forward,"Center Forward(3319min/59.8%), CF(2126min/38.3%), AM(100min/1.8%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Keiji Kagiyama,Keiji Kagiyama,琉球,2024|琉球,2024|琉球|361.81,2024-2025,361.81,RM,272.04,75.19,Midfield,LM,51.7,14.29,Midfield,"RM(272min/75.2%), LM(52min/14.3%), DM(21min/5.8%), LCB(13min/3.5%), LWB(5min/1.3%)",SH,サイドハーフ,RM (Position Group: Midfield)
Keijiro Kumano,Keijiro Kumano,栃木Ｃ,2025|栃木Ｃ,2025|栃木Ｃ|18.38,2024-2025,18.38,Center Midfield,13.3,72.36,Midfield,Left Winger,5.08,27.64,Wide Attacker,"Center Midfield(13min/72.4%), Left Winger(5min/27.6%)",CMF,セントラルMF,Center Midfield (Position Group: Midfield)
Keishi Kusumi,Keishi Kusumi,今治,2024|今治,2024|今治|250.12,2024-2025,250.12,DM,100.75,40.28,Midfield,LM,90.62,36.23,Midfield,"DM(101min/40.3%), LM(91min/36.2%), RM(24min/9.4%), LW(23min/9.3%), AM(12min/4.8%)",CMF,セントラルMF,DM (Position Group: Midfield)
Keisuke Ito,Keisuke Ito,相模原,2024|相模原; 2025|長野,2024|相模原|1185.16; 2025|長野|735.85,2024-2025,1921.01,CF,954.62,49.69,Center Forward,Center Forward,329.66,17.16,Center Forward,"CF(955min/49.7%), Center Forward(330min/17.2%), Left Winger(275min/14.3%), LF(156min/8.1%), Attacking Midfield(62min/3.2%), RF(41min/2.1%), Right Winger(40min/2.1%), Center Midfield(29min/1.5%), RM(20min/1.0%), LW(14min/0.7%)",FW,フォワード,CF (Position Group: Center Forward)
Keisuke Ogasawara,Keisuke Ogasawara,相模原,2024|相模原; 2025|相模原,2024|相模原|1062.31; 2025|相模原|487.73,2024-2025,1550.04,RCB,997.51,64.35,Central Defender,Center Back,287.4,18.54,Central Defender,"RCB(998min/64.4%), Center Back(287min/18.5%), Center Forward(105min/6.8%), RWB(65min/4.2%), Left Center Back(50min/3.2%), Right Wing Back(34min/2.2%), Left Wing Back(10min/0.7%)",CB,センターバック,RCB (Position Group: Central Defender)
Keisuke Oyama,Keisuke Oyama,金沢,2025|金沢; 2024|金沢,2025|金沢|2000.31; 2024|金沢|1249.14,2024-2025,3249.45,Left Midfield,1674.49,51.53,Midfield,LM,1180.44,36.33,Midfield,"Left Midfield(1674min/51.5%), LM(1180min/36.3%), Right Midfield(236min/7.3%), Center Midfield(89min/2.8%), RM(69min/2.1%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Keisuke Tao,Keisuke Tao,讃岐,2024|讃岐,2024|讃岐|11.85,2024-2025,11.85,LB,11.85,100.0,Full Back,,,,,LB(12min/100.0%),SB,サイドバック,LB (Position Group: Full Back)
Keisuke Yoshida,Keisuke Yoshida,長野,2025|長野,2025|長野|362.76,2024-2025,362.76,Left Midfield,307.36,84.73,Midfield,Right Midfield,55.4,15.27,Midfield,"Left Midfield(307min/84.7%), Right Midfield(55min/15.3%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Keita Fujimura,Keita Fujimura,鹿児島,2025|鹿児島,2025|鹿児島|736.89,2024-2025,736.89,Left Midfield,223.04,30.27,Midfield,Left Center Back,196.83,26.71,Central Defender,"Left Midfield(223min/30.3%), Left Center Back(197min/26.7%), Right Center Back(127min/17.2%), Right Midfield(122min/16.6%), Center Forward(68min/9.2%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Keita Nakano,Keita Nakano,宮崎,2025|宮崎; 2024|八戸,2025|宮崎|177.46; 2024|八戸|11.52,2024-2025,188.98,Right Winger,171.96,90.99,Wide Attacker,LM,7.82,4.14,Midfield,"Right Winger(172min/91.0%), LM(8min/4.1%), Left Winger(6min/2.9%), RM(4min/2.0%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Keita Saito,Keita Saito,栃木Ｃ,2025|栃木Ｃ,2025|栃木Ｃ|617.61,2024-2025,617.61,Left Forward,200.21,32.42,Wide Attacker,Left Winger,187.53,30.36,Wide Attacker,"Left Forward(200min/32.4%), Left Winger(188min/30.4%), Right Winger(66min/10.7%), Center Forward(65min/10.6%), Right Midfield(40min/6.5%), Left Midfield(35min/5.7%), Right Forward(23min/3.7%)",SH,サイドハーフ,Left Forward (Position Group: Wide Attacker)
Keita Shirawachi,Keita Shirawachi,沼津,2025|沼津,2025|沼津|1847.15,2024-2025,1847.15,Center Forward,1800.45,97.47,Center Forward,Left Winger,36.58,1.98,Wide Attacker,"Center Forward(1800min/97.5%), Left Winger(37min/2.0%), Left Wing Back(10min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Keita Tanaka,Keita Tanaka,鳥取,2024|鳥取; 2025|鳥取,2024|鳥取|1438.04; 2025|鳥取|728.63,2024-2025,2166.67,RWB,741.79,34.24,Full Back,Right Wing Back,684.0,31.57,Full Back,"RWB(742min/34.2%), Right Wing Back(684min/31.6%), RB(665min/30.7%), Left Wing Back(45min/2.1%), CF(31min/1.4%)",SB,サイドバック,RWB (Position Group: Full Back)
