player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Shuma Mihara,Shuma Mihara,沼津,2025|沼津,2025|沼津|2400.24,2024-2025,2400.24,Right Back,1430.5,59.6,Full Back,Left Back,750.14,31.25,Full Back,"Right Back(1430min/59.6%), Left Back(750min/31.3%), Right Wing Back(96min/4.0%), Left Wing Back(78min/3.2%), Left Winger(29min/1.2%), Left Midfield(17min/0.7%)",SB,サイドバック,Right Back (Position Group: Full Back)
Shumpei Fukahori,Shumpei Fukahori,岩手,2024|岩手,2024|岩手|752.82,2024-2025,752.82,CF,471.7,62.66,Center Forward,RW,125.32,16.65,Wide Attacker,"CF(472min/62.7%), RW(125min/16.6%), RF(76min/10.0%), LWB(50min/6.6%), RWB(31min/4.1%)",FW,フォワード,CF (Position Group: Center Forward)
Shun Akiyama,Shun Akiyama,MIO Biwako Shiga,2025|MIO Biwako Shiga,2025|MIO Biwako Shiga|160.52,2024-2025,160.52,Left Wing Back,160.52,100.0,Full Back,,,,,Left Wing Back(161min/100.0%),SB,サイドバック,Left Wing Back (Position Group: Full Back)
Shun Hirayama,Shun Hirayama,北九州,2024|北九州,2024|北九州|249.51,2024-2025,249.51,CF,145.09,58.15,Center Forward,AM,57.72,23.13,Midfield,"CF(145min/58.1%), AM(58min/23.1%), LW(43min/17.2%), RW(4min/1.5%)",FW,フォワード,CF (Position Group: Center Forward)
Shun Kudo,Shun Kudo,長野,2024|長野,2024|長野|297.95,2024-2025,297.95,LCB,197.42,66.26,Central Defender,CB,100.53,33.74,Central Defender,"LCB(197min/66.3%), CB(101min/33.7%)",CB,センターバック,LCB (Position Group: Central Defender)
Shun Obu,Shun Obu,宮崎,2024|宮崎,2024|宮崎|398.97,2024-2025,398.97,LCB,361.68,90.65,Central Defender,LM,12.28,3.08,Midfield,"LCB(362min/90.7%), LM(12min/3.1%), CF(11min/2.8%), RCB(10min/2.6%), LW(3min/0.8%)",CB,センターバック,LCB (Position Group: Central Defender)
Shun Utsugi,Shun Utsugi,栃木Ｃ,2025|栃木Ｃ,2025|栃木Ｃ|1188.86,2024-2025,1188.86,Left Midfield,484.72,40.77,Midfield,Center Midfield,472.34,39.73,Midfield,"Left Midfield(485min/40.8%), Center Midfield(472min/39.7%), Right Midfield(136min/11.4%), Defensive Midfield(96min/8.1%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Shunji Masuda,Shunji Masuda,FC大阪,2025|FC大阪; 2024|FC大阪,2025|FC大阪|2617.63; 2024|FC大阪|1544.02,2024-2025,4161.65,Center Forward,1229.04,29.53,Center Forward,Left Midfield,875.8,21.04,Midfield,"Center Forward(1229min/29.5%), Left Midfield(876min/21.0%), CF(870min/20.9%), LW(434min/10.4%), AM(208min/5.0%), Left Winger(136min/3.3%), Left Forward(93min/2.2%), Center Midfield(80min/1.9%), Right Midfield(76min/1.8%), Attacking Midfield(75min/1.8%), Right Winger(53min/1.3%), RM(32min/0.8%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Shunji Takemura,Shunji Takemura,讃岐,2024|讃岐; 2025|讃岐,2024|讃岐|86.73; 2025|讃岐|50.08,2024-2025,136.81,LM,84.2,61.55,Midfield,Right Midfield,50.08,36.61,Midfield,"LM(84min/61.5%), Right Midfield(50min/36.6%), DM(3min/1.8%)",SH,サイドハーフ,LM (Position Group: Midfield)
Shunki Takahashi,Shunki Takahashi,岩手,2024|岩手,2024|岩手|958.51,2024-2025,958.51,LB,370.8,38.69,Full Back,RB,291.72,30.43,Full Back,"LB(371min/38.7%), RB(292min/30.4%), LWB(138min/14.4%), RWB(98min/10.2%), AM(60min/6.3%)",SB,サイドバック,LB (Position Group: Full Back)
Shunnosuke Matsuki,Shunnosuke Matsuki,鳥取,2024|鳥取,2024|鳥取|1208.24,2024-2025,1208.24,CF,1156.25,95.7,Center Forward,LW,29.19,2.42,Wide Attacker,"CF(1156min/95.7%), LW(29min/2.4%), LM(23min/1.9%)",FW,フォワード,CF (Position Group: Center Forward)
Shunsuke Motegi,Shunsuke Motegi,琉球,2025|琉球,2025|琉球|1909.43,2024-2025,1909.43,Right Winger,860.11,45.05,Wide Attacker,Left Wing Back,757.28,39.66,Full Back,"Right Winger(860min/45.0%), Left Wing Back(757min/39.7%), Left Winger(212min/11.1%), Right Wing Back(70min/3.7%), Left Center Back(10min/0.5%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Shunsuke Nishikubo,Shunsuke Nishikubo,相模原,2025|相模原,2025|相模原|1608.22,2024-2025,1608.22,Right Wing Back,1436.56,89.33,Full Back,Right Winger,91.98,5.72,Wide Attacker,"Right Wing Back(1437min/89.3%), Right Winger(92min/5.7%), Right Midfield(80min/5.0%)",SB,サイドバック,Right Wing Back (Position Group: Full Back)
Shunsuke Tachino,Shunsuke Tachino,FC大阪,2024|FC大阪; 2025|FC大阪,2024|FC大阪|2454.50; 2025|FC大阪|2061.45,2024-2025,4515.95,LB,2454.5,54.35,Full Back,Left Back,1657.35,36.7,Full Back,"LB(2454min/54.4%), Left Back(1657min/36.7%), Right Back(380min/8.4%), Right Defensive Midfield(24min/0.5%)",SB,サイドバック,LB (Position Group: Full Back)
Shunsuke Yamamoto,Shunsuke Yamamoto,奈良,2025|奈良,2025|奈良|604.43,2024-2025,604.43,Center Forward,233.16,38.58,Center Forward,Left Winger,157.59,26.07,Wide Attacker,"Center Forward(233min/38.6%), Left Winger(158min/26.1%), Right Winger(139min/23.1%), Attacking Midfield(39min/6.5%), Right Forward(35min/5.8%)",FW,フォワード,Center Forward (Position Group: Center Forward)
