player_name,team_name,match_id,match_date,competition_name,season_name,position,position_group,minutes_full_all,source_year
Sho Hiramatsu,FC Ryūkyū,1612520,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,92.6,2025
Ryota Araki,FC Ryūkyū,1612520,2025-04-13,J3 League,2025,Right Back,Full Back,99.07,2025
Atsuhito Ihara,FC Ryūkyū,1612520,2025-04-13,J3 League,2025,Center Forward,Center Forward,78.9,2025
Shunsuke Motegi,FC Ryūkyū,1612520,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,78.9,2025
Kazuki Sota,FC Ryūkyū,1612520,2025-04-13,J3 League,2025,Left Defensive Midfield,Midfield,36.5,2025
Daigo Araki,FC Gifu,1612523,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,97.52,2025
Jiro Nakamura,FC Gifu,1612523,2025-04-13,J3 League,2025,Center Midfield,Midfield,24.93,2025
Riku Nozawa,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.52,2025
Jin Izumisawa,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,56.37,2025
Shohei Aihara,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,41.15,2025
Luiz Eduardo dos Santos Gonzaga,FC Gifu,1612523,2025-04-13,J3 League,2025,Center Forward,Center Forward,50.33,2025
Ryo Toyama,FC Gifu,1612523,2025-04-13,J3 League,2025,Right Back,Full Back,50.33,2025
Kai  Sasaki,FC Gifu,1612523,2025-04-13,J3 League,2025,Center Forward,Center Forward,47.18,2025
Ryoma Ishida,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Back,Full Back,5.17,2025
Kentaro Kai,FC Gifu,1612523,2025-04-13,J3 League,2025,Right Center Back,Central Defender,97.52,2025
Kodai Hagino,FC Gifu,1612523,2025-04-13,J3 League,2025,Right Midfield,Midfield,97.52,2025
In-Ju Mun,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Back,Full Back,92.35,2025
Ryoma  Kita,FC Gifu,1612523,2025-04-13,J3 League,2025,Left Midfield,Midfield,97.52,2025
Tatsuya Hakozaki,FC Gifu,1612523,2025-04-13,J3 League,2025,Center Midfield,Midfield,72.58,2025
Shohei Ogushi,FC Gifu,1612523,2025-04-13,J3 League,2025,Right Back,Full Back,47.18,2025
Taiyo Igarashi,Tochigi SC,1612523,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,97.52,2025
Hidenori Takahashi,Tochigi SC,1612523,2025-04-13,J3 League,2025,Left Wing Back,Full Back,17.78,2025
Yota Horiuchi,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Midfield,Midfield,3.85,2025
Kenta Fukumori,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Wing Back,Full Back,79.73,2025
Wataru Hiramatsu,Tochigi SC,1612523,2025-04-13,J3 League,2025,Center Back,Central Defender,97.52,2025
Akito Tanahashi,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,97.52,2025
Ryunosuke Sugawara,Tochigi SC,1612523,2025-04-13,J3 League,2025,Center Forward,Center Forward,26.85,2025
Sora Kobori,Tochigi SC,1612523,2025-04-13,J3 League,2025,Center Forward,Center Forward,70.67,2025
Taichi Aoshima,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Midfield,Midfield,93.67,2025
Hiroshi  Omori,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Center Back,Central Defender,97.52,2025
Riita Mori,Tochigi SC,1612523,2025-04-13,J3 League,2025,Right Wing Back,Full Back,17.78,2025
Haruto Yoshino,Tochigi SC,1612523,2025-04-13,J3 League,2025,Left Midfield,Midfield,97.52,2025
Rennosuke Kawana,Tochigi SC,1612523,2025-04-13,J3 League,2025,Left Wing Back,Full Back,79.73,2025
Hiroshi  Iwasaki,Tochigi SC,1612523,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.52,2025
Manabu Saito,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Forward,Wide Attacker,28.08,2025
Gustavo Martini Rissi,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Left Center Back,Central Defender,95.07,2025
Kaiyo Yanagimachi,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Left Forward,Wide Attacker,95.07,2025
Kengo Kawamata,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,28.08,2025
Kenshiro Suzuki,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Left Midfield,Midfield,79.43,2025
Takuya Sugai,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Center Midfield,Midfield,79.43,2025
Kosei Numata,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Midfield,Midfield,4.45,2025
Haruki Toyama,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Center Midfield,Midfield,15.63,2025
Yuta Nakamura,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Center Back,Central Defender,95.07,2025
Wadi Ibrahim Suzuki,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,66.98,2025
Shuma Mihara,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Left Back,Full Back,95.07,2025
Kengo Fujii,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Forward,Wide Attacker,66.98,2025
Haruto Nakano,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Left Midfield,Midfield,15.63,2025
Daichi Ichimaru Daichi Ichimaru,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Back,Full Back,95.07,2025
Kakeru Watai,FC Azul Claro Numazu,1612511,2025-04-13,J3 League,2025,Right Midfield,Midfield,90.62,2025
Rodrigo Luiz Angelotti,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,75.83,2025
Makoto Okazaki,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Right Center Back,Central Defender,95.07,2025
Toshiya Tanaka,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,24.87,2025
Shuto Inaba,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Midfield,Midfield,19.23,2025
Keito  Kawamura,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,85.73,2025
Yoshihito  Kondo,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,9.33,2025
Koju Yoshio,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,85.73,2025
Hayate Sugii,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Back,Full Back,95.07,2025
Charles Nduka,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Center Forward,Center Forward,19.23,2025
Takumi Yamaguchi,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Right Midfield,Midfield,95.07,2025
Eisuke Watanabe,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Midfield,Midfield,75.83,2025
Rei Yonezawa,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,9.33,2025
Mikuto Fukuda,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,70.2,2025
Yoshitaka Aoki,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Right Back,Full Back,95.07,2025
Kazuki Chibu,Kagoshima United FC,1612511,2025-04-13,J3 League,2025,Left Center Back,Central Defender,95.07,2025
 Jimpei   Yoshida,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Midfield,Midfield,26.8,2025
Mizuki  Uchida,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Right Wing Back,Full Back,97.55,2025
Shohei Kawakami,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Wing Back,Full Back,89.02,2025
Akito Ueno,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Wing Back,Full Back,8.53,2025
Yuya Tsukegi,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Center Back,Central Defender,97.55,2025
Shota Kawanishi,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Center Forward,Center Forward,51.25,2025
Yuto Mori,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,8.53,2025
Kazuki Iwamoto,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Midfield,Midfield,70.75,2025
Taiga Maekawa,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,70.75,2025
Yuki Morikawa,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,89.02,2025
Hayato Hasegawa,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Right Midfield,Midfield,97.55,2025
Soshi Iwagishi,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Center Forward,Center Forward,46.3,2025
Shuto Sago,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Right Center Back,Central Defender,97.55,2025
Yota Fujii,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.55,2025
Eduardo Figueiredo da Cruz,Kamatamare Sanuki,1612512,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,26.8,2025
Daiki Ogawa,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Wing Back,Full Back,89.78,2025
Kosuke Yamamoto,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Midfield,Midfield,97.55,2025
Reo Yasunaga,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Midfield,Midfield,27.15,2025
Kazuaki Saso,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,70.4,2025
Ryuhei Yamamoto,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Wing Back,Full Back,75.35,2025
Kaiga Murakoshi,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,27.15,2025
Taiki Miyabe,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Center Back,Central Defender,7.77,2025
Yusuke Kikui,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,97.55,2025
Jiyo Ninomiya,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Center Back,Central Defender,97.55,2025
Daiki Higuchi,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Wing Back,Full Back,22.2,2025
Aozora Ishiyama,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Wing Back,Full Back,7.77,2025
Sora Tanaka,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Center Forward,Center Forward,97.55,2025
Hayato Sugita,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Right Center Back,Central Defender,89.78,2025
Gen  Matsumura,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.55,2025
Hisashi  Ohashi,Matsumoto Yamaga FC,1612512,2025-04-13,J3 League,2025,Left Midfield,Midfield,70.4,2025
Yusei  Uchida,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,19.23,2025
Shunya Suzuki,Kochi United SC,1612514,2025-04-13,J3 League,2025,Left Center Back,Central Defender,94.3,2025
Reo Sugiyama,Kochi United SC,1612514,2025-04-13,J3 League,2025,Right Midfield,Midfield,46.1,2025
Daisuke  Fukagawa,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Back,Central Defender,46.1,2025
Tomoki Yoshida,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Back,Central Defender,48.2,2025
Yui Takano,Kochi United SC,1612514,2025-04-13,J3 League,2025,Left Wing Back,Full Back,94.3,2025
Toshiki Toya,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,75.07,2025
Shosei Kozuki,Kochi United SC,1612514,2025-04-13,J3 League,2025,Right Wing Back,Full Back,94.3,2025
Konosuke  Fukumiya,Kochi United SC,1612514,2025-04-13,J3 League,2025,Right Center Back,Central Defender,94.3,2025
Manato Kudo,Kochi United SC,1612514,2025-04-13,J3 League,2025,Defensive Midfield,Midfield,94.3,2025
Masaki  Shintani,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,29.67,2025
Rinta  Miyoshi,Kochi United SC,1612514,2025-04-13,J3 League,2025,Left Midfield,Midfield,48.2,2025
Naoki   Suto,Kochi United SC,1612514,2025-04-13,J3 League,2025,Left Midfield,Midfield,46.1,2025
Asahi  Kanehara,Kochi United SC,1612514,2025-04-13,J3 League,2025,Right Midfield,Midfield,48.2,2025
Kokoro  Kobayashi,Kochi United SC,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,64.63,2025
Joe Caletti,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Midfield,Midfield,21.0,2025
Peter Utaka,Tochigi City,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,21.0,2025
Ryo Okui,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Back,Full Back,94.3,2025
Kunitomo Suzuki,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Forward,Wide Attacker,30.58,2025
Yoshiki Sato,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Center Back,Central Defender,94.3,2025
Yuki Okaniwa,Tochigi City,1612514,2025-04-13,J3 League,2025,Center Midfield,Midfield,94.3,2025
Genya Sekino,Tochigi City,1612514,2025-04-13,J3 League,2025,Right Midfield,Midfield,94.3,2025
Masahide Hiraoka,Tochigi City,1612514,2025-04-13,J3 League,2025,Center Forward,Center Forward,73.3,2025
Ryuga Suzuki,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Forward,Wide Attacker,63.72,2025
Paulo Junichi Tanaka,Tochigi City,1612514,2025-04-13,J3 League,2025,Right Forward,Wide Attacker,94.3,2025
Hiroto  Suzuki,Tochigi City,1612514,2025-04-13,J3 League,2025,Right Back,Full Back,94.3,2025
Riku  Tosa,Tochigi City,1612514,2025-04-13,J3 League,2025,Left Midfield,Midfield,73.3,2025
Keitaro Konishi,Tochigi City,1612514,2025-04-13,J3 League,2025,Right Center Back,Central Defender,94.3,2025
Masakazu Tashiro,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Center Back,Central Defender,98.37,2025
Toshio Shimakawa,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Defensive Midfield,Midfield,98.37,2025
Yuki Muto,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Left Midfield,Midfield,79.32,2025
Ryo Takano,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Right Midfield,Midfield,98.37,2025
Origbaajo Ismaila,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,32.5,2025
Ryosuke Kawano,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,88.25,2025
Rafael Victor de Oliveira Furtado,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,10.12,2025
Daiki Nakashio,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,65.87,2025
Akito Takagi,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,88.25,2025
Yudai Tokunaga,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,32.5,2025
Daisuke Kato,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Right Center Back,Central Defender,98.37,2025
Kazuki Fukui,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,10.12,2025
Masato Tokida,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Left Center Back,Central Defender,98.37,2025
Takumi Kato,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,65.87,2025
Takato  Takeuchi,SC Sagamihara,1612517,2025-04-13,J3 League,2025,Left Midfield,Midfield,19.05,2025
Ren Fujimura,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Midfield,Midfield,94.47,2025
Koki Kazama,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Center Midfield,Midfield,43.3,2025
Shota Aoki,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,84.87,2025
Atsuki Yamanaka,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,94.47,2025
Gijo Sehata,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Midfield,Midfield,3.9,2025
Riku Yamauchi,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Right Back,Full Back,98.37,2025
Shota Tanaka,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Center Forward,Center Forward,13.5,2025
Taiyo Shimokawa,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Back,Full Back,50.18,2025
Shuto  Adachi,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Center Midfield,Midfield,55.07,2025
Yasufumi Nishimura,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Right Midfield,Midfield,98.37,2025
Ryuya Ohata,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Center Back,Central Defender,98.37,2025
Yuma Funabashi,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Back,Full Back,48.18,2025
Toranosuke Onozeki,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,3.9,2025
Hiroto  Konishi,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,98.37,2025
Shoya  Nose,ThespaKusatsu Gunma,1612517,2025-04-13,J3 League,2025,Right Center Back,Central Defender,98.37,2025
Anderson Patric Aguiar Oliveira,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Center Forward,Center Forward,75.75,2025
Norimichi Yamamoto,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Center Back,Central Defender,97.27,2025
Daisuke Matsumoto,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Center Back,Central Defender,97.27,2025
Keisuke Oyama,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Midfield,Midfield,21.52,2025
Tomoya Osawa,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,85.68,2025
Yusei  Toshida,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Center Forward,Center Forward,21.52,2025
Yuki  Nishiya,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Midfield,Midfield,97.27,2025
Kazuki Nishiya,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,85.68,2025
Andrew Kumagai,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Midfield,Midfield,75.75,2025
Shunya Mouri,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Wing Back,Full Back,63.0,2025
Shintaro Shimada,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,11.58,2025
Fuga  Sakurai,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Right Wing Back,Full Back,34.27,2025
Hayato Otani,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,11.58,2025
Yusei Shinomiya,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Wing Back,Full Back,97.27,2025
Hayate Nagakura,Ishikawa FC Zweigen Kanazawa,1612521,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.27,2025
Riku Kamigaki,Nara Club,1612521,2025-04-13,J3 League,2025,Right Midfield,Midfield,68.17,2025
Nagi Kawatani,Nara Club,1612521,2025-04-13,J3 League,2025,Left Wing Back,Full Back,68.17,2025
Ryosuke Tamura,Nara Club,1612521,2025-04-13,J3 League,2025,Right Midfield,Midfield,29.1,2025
Daisei Suzuki,Nara Club,1612521,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,7.8,2025
Yuki Okada,Nara Club,1612521,2025-04-13,J3 League,2025,Left Winger,Wide Attacker,89.47,2025
Yuzuru Yoshimura,Nara Club,1612521,2025-04-13,J3 League,2025,Right Wing Back,Full Back,97.27,2025
Hayato Horiuchi,Nara Club,1612521,2025-04-13,J3 League,2025,Left Midfield,Midfield,97.27,2025
Kei Ikoma,Nara Club,1612521,2025-04-13,J3 League,2025,Center Back,Central Defender,97.27,2025
Manato Hyakuda,Nara Club,1612521,2025-04-13,J3 League,2025,Center Forward,Center Forward,47.82,2025
Yudai Sawada,Nara Club,1612521,2025-04-13,J3 League,2025,Right Center Back,Central Defender,97.27,2025
Yuto Kunitake,Nara Club,1612521,2025-04-13,J3 League,2025,Center Forward,Center Forward,49.45,2025
Yudai Okuda,Nara Club,1612521,2025-04-13,J3 League,2025,Left Center Back,Central Defender,97.27,2025
Ye-chan Yu,Nara Club,1612521,2025-04-13,J3 League,2025,Left Wing Back,Full Back,29.1,2025
Shota Tamura,Nara Club,1612521,2025-04-13,J3 League,2025,Right Winger,Wide Attacker,97.27,2025
Asahi Haga,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Midfield,Midfield,51.77,2025
Riku Hashimoto,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Back,Full Back,99.02,2025
Ryu Kawakami,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Center Back,Central Defender,99.02,2025
Shunsuke Tachino,FC Osaka,1612546,2025-04-18,J3 League,2025,Right Back,Full Back,99.02,2025
Sang-Ho Woo,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Midfield,Midfield,47.25,2025
Seigo Takei,FC Osaka,1612546,2025-04-18,J3 League,2025,Right Midfield,Midfield,99.02,2025
Takumi Shimada,FC Osaka,1612546,2025-04-18,J3 League,2025,Center Forward,Center Forward,85.83,2025
Shunji Masuda,FC Osaka,1612546,2025-04-18,J3 League,2025,Center Forward,Center Forward,64.23,2025
Rui Tone,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Winger,Wide Attacker,64.23,2025
Takahiro Kitsui,FC Osaka,1612546,2025-04-18,J3 League,2025,Center Forward,Center Forward,34.78,2025
Yuto Minakuchi,FC Osaka,1612546,2025-04-18,J3 League,2025,Right Center Back,Central Defender,99.02,2025
Sora Mochizuki,FC Osaka,1612546,2025-04-18,J3 League,2025,Center Forward,Center Forward,13.18,2025
Soichiro Tsutsumi,FC Osaka,1612546,2025-04-18,J3 League,2025,Right Winger,Wide Attacker,51.77,2025
Masaki Nishimura,FC Osaka,1612546,2025-04-18,J3 League,2025,Left Winger,Wide Attacker,34.78,2025
Ryo Sato,FC Osaka,1612546,2025-04-18,J3 League,2025,Right Winger,Wide Attacker,47.25,2025
Ren Fujimura,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Center Midfield,Midfield,85.83,2025
Shota Aoki,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Center Forward,Center Forward,99.02,2025
Atsuki Yamanaka,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Winger,Wide Attacker,75.47,2025
Ryota Tagashira,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Back,Full Back,35.47,2025
Riku Yamauchi,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Back,Full Back,99.02,2025
Shota Tanaka,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Midfield,Midfield,13.18,2025
Taiyo Shimokawa,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Midfield,Midfield,75.47,2025
Toi Kagami,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Winger,Wide Attacker,23.55,2025
Shuto  Adachi,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Back,Full Back,63.55,2025
Yasufumi Nishimura,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Midfield,Midfield,85.83,2025
Ryuya Ohata,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Center Back,Central Defender,99.02,2025
Yuma Funabashi,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Center Midfield,Midfield,13.18,2025
Hiroto  Konishi,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Winger,Wide Attacker,99.02,2025
Shoya  Nose,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Right Center Back,Central Defender,99.02,2025
Taishi  Tamashiro,ThespaKusatsu Gunma,1612546,2025-04-18,J3 League,2025,Left Midfield,Midfield,23.55,2025
Manabu Saito,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Winger,Wide Attacker,20.9,2025
Kaiyo Yanagimachi,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Left Winger,Wide Attacker,98.15,2025
Kengo Kawamata,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Center Forward,Center Forward,35.37,2025
Kotaro Tokunaga,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Left Midfield,Midfield,20.9,2025
Takuya Sugai,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Back,Full Back,6.35,2025
Kosei Numata,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Center Midfield,Midfield,98.15,2025
Haruki Toyama,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Left Midfield,Midfield,77.25,2025
Terukazu Shinozaki,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Left Center Back,Central Defender,98.15,2025
Yuta Nakamura,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Center Back,Central Defender,98.15,2025
Wadi Ibrahim Suzuki,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Center Forward,Center Forward,62.78,2025
Shuma Mihara,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Left Back,Full Back,98.15,2025
Kengo Fujii,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Winger,Wide Attacker,77.25,2025
Haruto Nakano,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Midfield,Midfield,35.37,2025
Daichi Ichimaru Daichi Ichimaru,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Back,Full Back,91.8,2025
Kakeru Watai,FC Azul Claro Numazu,1612547,2025-04-19,J3 League,2025,Right Midfield,Midfield,62.78,2025
Riku Kamigaki,Nara Club,1612547,2025-04-19,J3 League,2025,Left Midfield,Midfield,85.8,2025
Nagi Kawatani,Nara Club,1612547,2025-04-19,J3 League,2025,Center Forward,Center Forward,28.58,2025
Ryosuke Tamura,Nara Club,1612547,2025-04-19,J3 League,2025,Right Winger,Wide Attacker,69.57,2025
Kensei Nakashima,Nara Club,1612547,2025-04-19,J3 League,2025,Right Winger,Wide Attacker,28.58,2025
Daisei Suzuki,Nara Club,1612547,2025-04-19,J3 League,2025,Right Center Back,Central Defender,83.13,2025
Yuki Okada,Nara Club,1612547,2025-04-19,J3 League,2025,Center Forward,Center Forward,69.57,2025
Yuzuru Yoshimura,Nara Club,1612547,2025-04-19,J3 League,2025,Right Back,Full Back,98.15,2025
Hayato Horiuchi,Nara Club,1612547,2025-04-19,J3 League,2025,Right Midfield,Midfield,98.15,2025
